0	Index      	 *	Score 	Summary	Detail	
1	15533 31521	 * 	215.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5TLV|6RCR|7CDMG|8DMG|aAART
2	11326 43341	 * 	210.80	DCR|3DMG|2VULN|1AART|2DUR	1RPLT|29DUR|3MLV|489DMG|59VULN|6AART|7RMIN|9BPWR|aRCR
3	44322 36211	 * 	207.46	DCR|3VULN|2DMG|1AART|1DUR	17LIT|2AART|3LEGI|4BEXP|579VULN|67DMG|7BPWR|8RCR|aDUR
4	15533 31523	 * 	207.34	DCR|4VULN|1DMG|1CDMG|2ZMB	1RPLT|24ZMB|349aVULN|4BPWR|5TLV|6RCR|7CDMG|8DMG
5	23211 25551	 * 	205.63	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1aLWND|2aASPD|3DUR|4VULN|5BELT|6RPLT|7RCR|8AART|9aDMG|aBPWR
6	44313 11631	 * 	205.54	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9ZMB|aDUR
7	23324 64341	 * 	203.39	DCR|2VULN|2DMG|1AART|1ASPD	1aLWND|2ASPD|3RPLT|4aDMG|5MBVNT|6aVULN|7RCR|8BELT|9AART|aBPWR
8	53324 64341	   	203.39	DCR|2VULN|2DMG|1AART|1ASPD	1aLHND|2ASPD|3RPLT|4aDMG|5MBVNT|6aVULN|7RCR|8BELT|9AART|aBPWR
9	44222 11114	 * 	203.27	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3ERES|4DUR|59VULN|6ASPD|7RCR|8DMG|aMDPS
10	15533 31533	 * 	202.03	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB|1DUR	1RPLT|24ZMB|34VULN|4BPWR|5TLV|6RCR|7CDMG|8DMG|9DUR|aASPD
11	44313 11114	   	201.90	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4RMIN|59VULN|6ASPD|7RCR|8DMG|aMDPS
