0	Index      	 *	Score 	Summary	Detail	
1	36111 25144	 * 	223.60	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9AART|aDMG
2	36111 25148	 * 	216.46	DCR|3ASPD|2VULN|1MDPS|1AART|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58aASPD|68VULN|7RCR|8BPWR|9AART
3	36111 25141	   	203.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9AART|aLIT
4	36111 25143	   	203.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9AART|aAME
5	36111 25146	   	203.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9AART|aLHND
6	36111 25142	   	203.44	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9AART|aDUST
7	36111 25147	   	203.44	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9AART|aMSLREG
8	16326 24132	 * 	202.13	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2DUST|3DUR|45DMG|6CDMG|7VULN|8AART|9RCR|aMDPS
9	36111 25444	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3MBVNT|4CGEN|5ASPD|68VULN|7RCR|9AART|aDMG
10	36111 25121	   	199.82	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9FEWX|aDMG
11	36111 25127	 * 	199.82	DCR|2VULN|1MDPS|2ASPD|2CDMG|1NUKE	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9FEWX|aNUKE
12	36111 25131	   	199.82	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9BEXP|aDMG
13	36111 25137	   	199.82	DCR|2VULN|1MDPS|2ASPD|2CDMG|1NUKE	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9BEXP|aNUKE
14	36111 25111	   	199.72	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9DUST|aDMG
15	36111 25117	   	199.72	DCR|2VULN|1MDPS|2ASPD|2CDMG|1NUKE	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9DUST|aNUKE
16	36111 25184	   	199.72	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68VULN|7RCR|8BPWR|9DLOT|aDMG
17	23443 33161	 * 	199.39	DCR|2VULN|2DMG|1ASPD|2DUR|1ZMB	1DUST|26DMG|37DUR|4LWND|56VULN|6BPWR|8ASPD|9RCR|aZMB
18	53638 43334	 * 	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|23DMG|4MBVNT|57VULN|6ASPD|8BEXP|9RCR|aAART
19	53638 43421	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|23DMG|4MBVNT|57VULN|6ASPD|8AART|9RCR|aRMIN
20	53638 43422	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|23DMG|4MBVNT|57VULN|6ASPD|8AART|9RCR|aMLV
21	53638 43423	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|23DMG|4MBVNT|57VULN|6ASPD|8AART|9RCR|aAME
22	53638 43424	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|23DMG|4MBVNT|57VULN|6ASPD|8AART|9RCR|aBELT
23	16326 24131	 * 	198.95	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2DUST|3DUR|45aDMG|6CDMG|7VULN|8AART|9RCR
24	63112 33611	 * 	197.93	DCR|2VULN|2DMG|1AART|3DUR	1LWND|26DMG|3BEXP|4aVULN|567DUR|6BPWR|8AART|9RCR
25	63512 33611	   	197.93	DCR|2VULN|2DMG|1AART|3DUR	1LWND|26DMG|3FEWX|4aVULN|567DUR|6BPWR|8AART|9RCR
26	36134 54322	   	197.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3MBVNT|45VULN|6DMG|7LIT|8ASPD|9RCR|aAART
27	36111 25126	 * 	197.59	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68aVULN|7RCR|8BPWR|9FEWX
28	36111 25136	   	197.59	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68aVULN|7RCR|8BPWR|9BEXP
29	13163 23421	 * 	197.58	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1aLIT|2MDPS|3BEXP|4aDMG|5MLV|6CDMG|7aVULN|8RCR|9AART|aBPWR
30	36111 25116	   	197.49	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|28CDMG|3MBVNT|4CGEN|58ASPD|68aVULN|7RCR|8BPWR|9DUST
31	23411 52511	 * 	197.04	DCR|3VULN|2DMG|1MDPS|2ZMB|1DUR	17DUST|27DMG|3DUR|49aVULN|5MDPS|67ZMB|7BPWR|8RCR
32	12233 33622	   	196.02	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	18LIT|2RPLT|38VULN|4AELBLL|5DMG|68ASPD|7MDPS|8BPWR|9RCR|aAART
33	36111 25448	   	195.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2CDMG|3MBVNT|4CGEN|5aASPD|68VULN|7RCR|9AART
34	36111 55434	   	195.59	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	1MDPS|2CDMG|3MBVNT|4CGEN|5aASPD|6DMG|7RCR|8VULN|9AART
35	36111 25544	   	195.59	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	1MDPS|2CDMG|3MBVNT|4CGEN|58ASPD|6VULN|7RCR|9AART|aDMG
36	23211 36635	 * 	193.66	DCR|2VULN|2DMG|1ASPD|1CDMG	15DUST|24DMG|34CGEN|4BPWR|6CDMG|7aVULN|8RCR|9ASPD
