0	Index      	 *	Score 	Summary	Detail	
1	35333 13625	 * 	240.54	DCR|3VULN|3DMG|2AART|2DUR	1DMSP|289DMG|36AART|458VULN|78DUR|8BPWR|aRCR
2	35333 53125	 * 	234.97	DCR|4VULN|3DMG|1AART|1DUR	1DMSP|269DMG|3AART|4568VULN|6BPWR|7DUR|aRCR
3	35333 11625	   	226.99	DCR|3VULN|3DMG|2AART	1DMSP|289DMG|36AART|458VULN|78BEXP|8BPWR|aRCR
4	35333 51125	   	226.66	DCR|4VULN|3DMG|1AART	1DMSP|269DMG|3AART|4568VULN|6BPWR|7BEXP|aRCR
5	23253 14511	 * 	224.36	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	158VULN|2MDPS|3LWND|478DMG|68ZMB|8BPWR|9AART|aRCR
6	35333 13425	   	217.26	DCR|3DMG|2VULN|2AART|1DUR	1DMSP|289DMG|36AART|45VULN|7DUR|aRCR
7	35335 13125	   	217.26	DCR|3DMG|2VULN|2AART|1DUR	1DMSP|259DMG|36AART|48VULN|7DUR|aRCR
8	22133 13242	 * 	216.72	DCR|4VULN|1MDPS|1AART|1ZMB|1DUR	1258VULN|2BPWR|3CGEN|4AART|6DUR|7RCR|9ZMB|aMDPS
9	22144 13242	   	216.72	DCR|4VULN|1MDPS|1AART|1ZMB|1DUR	1248VULN|2BPWR|3CGEN|5AART|6DUR|7RCR|9ZMB|aMDPS
10	22234 13242	   	216.72	DCR|4VULN|1MDPS|1AART|1ZMB|1DUR	1248VULN|2BPWR|3MLV|5AART|6DUR|7RCR|9ZMB|aMDPS
11	22133 13143	 * 	216.71	DCR|4VULN|1SPLARM|1AART|1DUR	1259VULN|2BPWR|3CGEN|4AART|6DUR|7RCR|8LWND|aSPLARM
12	22133 13213	   	216.71	DCR|4VULN|1SPLARM|1AART|1DUR	1258VULN|2BPWR|3CGEN|4AART|6DUR|7RCR|9LWND|aSPLARM
13	22144 13143	   	216.71	DCR|4VULN|1SPLARM|1AART|1DUR	1249VULN|2BPWR|3CGEN|5AART|6DUR|7RCR|8LWND|aSPLARM
14	22144 13213	   	216.71	DCR|4VULN|1SPLARM|1AART|1DUR	1248VULN|2BPWR|3CGEN|5AART|6DUR|7RCR|9LWND|aSPLARM
15	22234 13143	   	216.71	DCR|4VULN|1SPLARM|1AART|1DUR	1249VULN|2BPWR|3MLV|5AART|6DUR|7RCR|8LWND|aSPLARM
16	22234 13213	   	216.71	DCR|4VULN|1SPLARM|1AART|1DUR	1248VULN|2BPWR|3MLV|5AART|6DUR|7RCR|9LWND|aSPLARM
17	35363 12612	 * 	214.97	ACR|4VULN|3DMG|1AART|1DUR	1DMSP|278DMG|3AART|4RCR|578aVULN|678LHND|78BPWR|9DUR
18	35333 56311	   	214.81	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9LWND|aCGEN
19	35333 56312	   	214.81	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9LWND|aRMIN
20	35333 56313	   	214.81	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9LWND|aLHND
21	35333 56321	   	214.71	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9LEGI|aCGEN
22	35333 56322	   	214.71	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9LEGI|aRMIN
23	35333 56323	   	214.71	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9LEGI|aLHND
24	35333 56331	   	214.71	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9DUST|aCGEN
25	35333 56332	   	214.71	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9DUST|aRMIN
26	35333 56333	   	214.71	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8RCR|9DUST|aLHND
27	22234 12162	 * 	211.90	DCR|5VULN|2AART|1DUR	12489VULN|2BPWR|3MLV|57AART|6DUR|aRCR
28	24534 11132	 * 	211.87	DCR|5VULN|2ASPD|2ZMB	13489VULN|23ZMB|38BPWR|5DMSP|68MLV|78ASPD|aRCR
29	35353 13612	 * 	211.13	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1DMSP|2aDMG|3AART|4CDMG|5aDUR|6LIT|7TLV|8RCR|9aVULN|aBPWR
30	22431 52241	   	211.11	DCR|4VULN|2DMG|1AART	1278VULN|27BPWR|37LHND|4AART|5RPLT|67DMG|9LIT|aRCR
31	22531 52241	   	210.91	DCR|4VULN|2DMG|1AART	1278VULN|27BPWR|3LEGI|4AART|5RPLT|67DMG|9LIT|aRCR
32	23253 24511	   	210.81	DCR|3VULN|3DMG|1MDPS|1AART	158VULN|2MDPS|38LWND|478DMG|6RMIN|8BPWR|9AART|aRCR
33	35333 56132	   	210.81	DCR|3VULN|3DMG|1AART	1DMSP|267DMG|3AART|456VULN|6BPWR|8LWND|9BELT|aRCR
34	22133 22425	   	210.71	DCR|3VULN|3DMG|1AART	125VULN|2BPWR|3CGEN|4AART|689DMG|7MLV|aRCR
