0	Index      	 *	Score 	Summary	Detail	
1	61361 23353	 * 	227.94	DCR|3DMG|2VULN|2ASPD|1CDMG	1RCVC|24aDMG|34LHND|4aBPWR|5aASPD|6LIT|7CDMG|8RCR|9aVULN
2	21133 62522	 * 	226.12	ACR|3VULN|3DMG|1MDPS|2ASPD|2AAC	1aAAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9MDPS
3	61611 23353	 * 	225.11	DCR|3ASPD|2VULN|2DMG|1CDMG	1RCVC|2aDMG|3LIT|46aASPD|5LHND|7CDMG|8RCR|9aVULN|aBPWR
4	34131 12522	 * 	223.89	ACR|3VULN|3ASPD|1MDPS|2DMG|1AAC	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9MDPS|aAAC
5	34122 13353	   	221.01	DCR|3ASPD|2VULN|2DMG|1CDMG	1LEGI|25aASPD|3aDMG|46LIT|7CDMG|8RCR|9aVULN|aBPWR
6	34125 23353	   	221.01	DCR|3ASPD|2VULN|2DMG|1CDMG	1LEGI|26aASPD|3aDMG|45LIT|7CDMG|8RCR|9aVULN|aBPWR
7	21133 62512	   	219.95	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9CGEN|aMDPS
8	21133 62536	   	219.95	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9FEWX|aMDPS
9	21133 62521	   	219.85	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9MDPS|aMBVNT
10	21133 62523	   	219.85	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9MDPS|aLIT
11	21133 62524	   	219.85	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC|1MSE	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9MDPS|aMSE
12	21133 62525	   	219.85	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9MDPS|aFEWX
13	21133 62526	   	219.85	ACR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1AAC|258VULN|358DMG|4RCR|58BPWR|68ASPD|7RMIN|9MDPS|aRPLT
14	34131 12512	   	217.12	ACR|3VULN|3ASPD|2DMG|1MDPS	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9CGEN|aMDPS
15	34131 12536	   	217.12	ACR|3VULN|3ASPD|2DMG|1MDPS	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9FEWX|aMDPS
16	34131 12521	   	217.02	ACR|3VULN|3ASPD|1MDPS|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9MDPS|aMBVNT
17	34131 12523	   	217.02	ACR|3VULN|3ASPD|2DMG|1MDPS	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9MDPS|aCGEN
18	34131 12524	   	217.02	ACR|3VULN|3ASPD|1MDPS|2DMG|1MSE	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9MDPS|aMSE
19	34131 12525	   	217.02	ACR|3VULN|3ASPD|2DMG|1MDPS	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9MDPS|aFEWX
20	34131 12526	   	217.02	ACR|3VULN|3ASPD|1MDPS|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9MDPS|aRPLT
21	21112 42156	 * 	216.51	DCR|3VULN|1MDPS|2DMG|2CDMG|1AAC|2DUR	1AAC|28aVULN|3aDMG|4MDPS|58DUR|6RCR|78DUST|8aBPWR|9aCDMG
22	21133 65252	 * 	215.58	ACR|5VULN|2DMG|2ASPD|1AAC	1AAC|2589aVULN|35DMG|4RCR|5aBPWR|6aASPD|7aLHND
23	34115 43111	 * 	212.25	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1ZMB	1LEGI|28ASPD|3DMG|4MDPS|58VULN|6RCR|78LHND|8BPWR|9ZMB|aAART
24	34126 33623	 * 	212.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2ASPD|3DMG|4LIT|5AART|6CDMG|7RCR|89VULN|aZMB
25	61611 13353	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	1RCVC|2aDMG|36LIT|4aASPD|5LHND|7CDMG|8RCR|9aVULN|aBPWR
26	34115 42111	   	212.05	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1ZMB	1LEGI|28ASPD|3DMG|4MDPS|58VULN|6RCR|78DUST|8BPWR|9ZMB|aAART
27	21131 62562	   	211.55	ACR|4VULN|2DMG|2ASPD|1AAC|1ZMB	1AAC|2589VULN|38DMG|4RCR|68ASPD|7RMIN|8BPWR|aZMB
28	21112 42356	   	211.16	DCR|3VULN|1MDPS|2DMG|2CDMG|1AAC|1DUR	1AAC|29aVULN|3aDMG|4MDPS|5DUR|6RCR|7DUST|8aCDMG|aBPWR
29	21433 65221	 * 	210.23	ACR|3ASPD|2VULN|1AART|2CDMG|1DMG|1AAC	1AAC|25VULN|356ASPD|4RCR|5BPWR|7AART|89CDMG|aDMG
30	21131 62561	   	209.52	ACR|4VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|2589VULN|38DMG|4RCR|68ASPD|7RMIN|8BPWR|aDUR
31	14124 21242	 * 	208.81	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1AME|2VULN|359DMG|4LIT|6ASPD|7AART|8CDMG|aRCR
