0	Index      	 *	Score 	Summary	Detail	
1	63622 22333	 * 	220.55	DCR|3VULN|3DMG|1ASPD|2DUR	17DUR|2DUST|357VULN|478DMG|6LEGI|7BPWR|9ASPD|aRCR
2	11243 16621	 * 	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LWND|2AART|36DUR|49VULN|5DMG|7ASPD|8RCR|aCDMG
3	11263 16621	   	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LWND|2AART|36DUR|4DMG|59VULN|7ASPD|8RCR|aCDMG
4	11351 43221	 * 	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ASPD|aDUR
5	11233 27178	 * 	210.53	DCR|2AART|2DMG|1VULN|1ASPD|2DUR	1LWND|27AART|36DUR|4MBVNT|56DMG|6BPWR|8RCR|9ASPD|aVULN
6	11243 16611	 * 	209.20	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1LWND|29AART|36DUR|4VULN|5DMG|7ASPD|8RCR|aCDMG
7	11263 16611	   	209.20	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1LWND|29AART|36DUR|4DMG|5VULN|7ASPD|8RCR|aCDMG
8	11243 26621	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	16LWND|2AART|3DUR|49VULN|5DMG|7ASPD|8RCR|aCDMG
9	11263 26621	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	16LWND|2AART|3DUR|4DMG|59VULN|7ASPD|8RCR|aCDMG
10	11333 53225	   	205.49	DCR|2VULN|2DMG|1AART|1ASPD	1aLWND|2AART|3aDMG|4RPLT|58CGEN|6RCR|7ASPD|9aVULN|aBPWR
11	11243 26611	   	203.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	16LWND|29AART|3DUR|4VULN|5DMG|7ASPD|8RCR|aCDMG
12	11263 26611	   	203.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	16LWND|29AART|3DUR|4DMG|5VULN|7ASPD|8RCR|aCDMG
13	11312 31153	 * 	203.46	DCR|3VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4BASARM|5DUR|678VULN|8BPWR|9LIT|aRCR
14	11342 31153	   	203.46	DCR|3VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4AIRARM|5DUR|678VULN|8BPWR|9LIT|aRCR
15	11351 43222	   	203.39	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ASPD|aRPLT
16	11351 43223	   	203.39	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ASPD|aRCVC
17	11351 43224	   	203.39	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ASPD|aCGEN
18	11351 43225	   	203.39	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ASPD|aRMIN
19	11333 51136	   	203.26	DCR|3VULN|2DMG|1AART	18LWND|2AART|3aDMG|4RPLT|58CGEN|6RCR|789VULN|8BPWR
20	11333 51236	   	203.06	DCR|3VULN|2DMG|1AART	1LWND|2AART|3aDMG|4RPLT|5CGEN|6RCR|789VULN
21	11233 27171	 * 	203.00	DCR|2AART|2DMG|1ASPD|1CDMG|2DUR	1LWND|27AART|36DUR|4MBVNT|56DMG|6BPWR|8RCR|9ASPD|aCDMG
22	15333 27171	   	203.00	DCR|2AART|2DMG|1ASPD|1CDMG|2DUR	1LWND|26DUR|37AART|4MBVNT|56DMG|6BPWR|8RCR|9ASPD|aCDMG
23	63625 22333	   	202.62	DCR|3DMG|2VULN|1ASPD|2DUR	17DUR|25DUST|37VULN|478DMG|6LEGI|7BPWR|9ASPD|aRCR
24	11243 16622	 * 	202.31	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	1LWND|2AART|36aDUR|49VULN|5DMG|7ASPD|8RCR
25	11263 16622	   	202.31	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	1LWND|2AART|36aDUR|4DMG|59VULN|7ASPD|8RCR
26	65134 82133	   	202.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2AART|3FEWX|4MBVNT|5ZMB|6RCR|7CDMG|8DMG|9VULN|aASPD
27	11351 43235	 * 	202.05	DCR|2VULN|2DMG|1MDPS|1AART	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ERES|aMDPS
28	11333 51134	 * 	201.92	DCR|3VULN|1AART|1DMG|1CDMG	18LWND|2AART|3DMG|4RPLT|58CGEN|6RCR|789VULN|8BPWR|aCDMG
29	11333 51234	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3DMG|4RPLT|5CGEN|6RCR|789VULN|aCDMG
30	11333 51164	 * 	201.68	DCR|2VULN|2DMG|1AART|1CDMG	18LWND|2AART|39DMG|4RPLT|58CGEN|6RCR|78VULN|8BPWR|aCDMG
31	11333 51264	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|39DMG|4RPLT|5CGEN|6RCR|78VULN|aCDMG
32	11312 32135	 * 	201.29	DCR|3DMG|2VULN|1AART|1DUR	189LWND|2AART|378DMG|4BASARM|5DUR|68VULN|8BPWR|aRCR
33	11342 32135	   	201.29	DCR|3DMG|2VULN|1AART|1DUR	189LWND|2AART|378DMG|4AIRARM|5DUR|68VULN|8BPWR|aRCR
34	11333 51166	   	201.08	DCR|3DMG|2VULN|1AART	18LWND|2AART|39aDMG|4RPLT|58CGEN|6RCR|78VULN|8BPWR
35	11333 51266	   	200.88	DCR|3DMG|2VULN|1AART	1LWND|2AART|39aDMG|4RPLT|5CGEN|6RCR|78VULN
36	11351 43263	 * 	199.30	DCR|2VULN|2AART|2DMG	18LWND|2aAART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9BASFIG
37	11351 43251	   	198.98	DCR|3DMG|2VULN|1AART	18LWND|2AART|389DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|aBEXP
38	11351 43252	   	198.98	DCR|3DMG|2VULN|1AART	18LWND|2AART|389DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|aDMSP
39	11351 43253	   	198.88	DCR|3DMG|2VULN|1AART|1SELL	18LWND|2AART|389DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|aSELL
40	11351 43214	   	198.41	DCR|2VULN|2DMG|1AART|1AAC|1DUR	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9DUR|aAAC
41	11234 31477	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LWND|2AART|3DUR|4MBVNT|5ZMB|6ASPD|7CDMG|8RCR|9DMG|aVULN
42	15334 31477	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3AART|4MBVNT|5ZMB|6ASPD|7CDMG|8RCR|9DMG|aVULN
43	11243 16612	 * 	198.00	DCR|2AART|1VULN|1ASPD|1DMG|3DUR	1LWND|29AART|36aDUR|4VULN|5DMG|7ASPD|8RCR
44	11263 16612	   	198.00	DCR|2AART|1VULN|1ASPD|1DMG|3DUR	1LWND|29AART|36aDUR|4DMG|5VULN|7ASPD|8RCR
45	11243 26622	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	16LWND|2AART|3aDUR|49VULN|5DMG|7ASPD|8RCR
46	11263 26622	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	16LWND|2AART|3aDUR|4DMG|59VULN|7ASPD|8RCR
47	11243 16623	   	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1LWND|2AART|36DUR|49VULN|5DMG|7ASPD|8RCR|aDUST
48	11263 16623	   	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1LWND|2AART|36DUR|4DMG|59VULN|7ASPD|8RCR|aDUST
49	65133 83312	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2AART|3FEWX|4MBVNT|5DMG|6RCR|7aVULN|8LIT|9ASPD
50	65512 12332	 * 	195.83	DCR|2VULN|2DMG|1AART|3DUR	159DUR|2AART|3RMIN|4BASARM|6LEGI|79DMG|89VULN|9BPWR|aRCR
51	11314 31153	   	195.16	DCR|3VULN|2DMG|1AART	18LWND|2AART|38DMG|4BASARM|5BEXP|678VULN|8BPWR|9LIT|aRCR
52	11344 31153	   	195.16	DCR|3VULN|2DMG|1AART	18LWND|2AART|38DMG|4AIRARM|5BEXP|678VULN|8BPWR|9LIT|aRCR
53	11332 36321	   	195.13	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3DMG|4RPLT|5DUR|6SPLREG|7CDMG|8RCR|9aVULN
54	11233 27174	   	193.53	DCR|2AART|2DMG|1ASPD|2DUR|1AAC	1LWND|27AART|36DUR|4MBVNT|56DMG|6BPWR|8RCR|9ASPD|aAAC
55	15333 27174	   	193.53	DCR|2AART|2DMG|1ASPD|2DUR|1AAC	1LWND|26DUR|37AART|4MBVNT|56DMG|6BPWR|8RCR|9ASPD|aAAC
56	11243 16631	   	193.12	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LWND|2AART|36DUR|4VULN|5DMG|7ASPD|8RCR|9CGEN|aCDMG
57	11263 16631	   	193.12	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LWND|2AART|36DUR|4DMG|5VULN|7ASPD|8RCR|9CGEN|aCDMG
58	11314 32135	   	192.98	DCR|3DMG|2VULN|1AART	189LWND|2AART|378DMG|4BASARM|5BEXP|68VULN|8BPWR|aRCR
59	11315 32135	   	192.98	DCR|3DMG|2VULN|1AART	189LWND|2AART|378DMG|4BASARM|5LHND|68VULN|8BPWR|aRCR
60	11344 32135	   	192.98	DCR|3DMG|2VULN|1AART	189LWND|2AART|378DMG|4AIRARM|5BEXP|68VULN|8BPWR|aRCR
61	11345 32135	   	192.98	DCR|3DMG|2VULN|1AART	189LWND|2AART|378DMG|4AIRARM|5LHND|68VULN|8BPWR|aRCR
62	41331 41233	 * 	192.98	DCR|3DMG|2VULN|1MDPS|1AART	19MULARM|2FEWX|3AART|4BELT|5MDPS|689DMG|79VULN|9BPWR|aRCR
63	51331 41233	   	192.98	DCR|3DMG|2VULN|1MDPS|1AART	19VENFST|2FEWX|3AART|4BELT|5MDPS|689DMG|79VULN|9BPWR|aRCR
64	11243 26612	   	192.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	16LWND|29AART|3aDUR|4VULN|5DMG|7ASPD|8RCR
65	11263 26612	   	192.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	16LWND|29AART|3aDUR|4DMG|5VULN|7ASPD|8RCR
66	11316 32135	   	192.88	DCR|3DMG|2VULN|1AART	189LWND|2AART|378DMG|4BASARM|5DUST|68VULN|8BPWR|aRCR
67	11346 32135	   	192.88	DCR|3DMG|2VULN|1AART	189LWND|2AART|378DMG|4AIRARM|5DUST|68VULN|8BPWR|aRCR
68	11233 17178	   	192.85	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1LWND|27AART|36DUR|4MBVNT|5DMG|8RCR|9ASPD|aVULN
69	11243 16613	   	192.85	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1LWND|29AART|36DUR|4VULN|5DMG|7ASPD|8RCR|aDUST
70	11263 16613	   	192.85	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1LWND|29AART|36DUR|4DMG|5VULN|7ASPD|8RCR|aDUST
71	11234 31433	 * 	192.27	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2AART|3DUR|4MBVNT|5ZMB|6aASPD|7CDMG|8RCR|9VULN
72	15334 31433	   	192.27	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2DUR|3AART|4MBVNT|5ZMB|6aASPD|7CDMG|8RCR|9VULN
73	65134 31433	   	192.27	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2AART|3FEWX|4MBVNT|5ZMB|6aASPD|7CDMG|8RCR|9VULN
74	65133 27312	 * 	192.10	DCR|3DMG|2AART|2DUR|2ZMB	19DUR|27AART|36FEWX|4MBVNT|569DMG|69BPWR|89ZMB|aRCR
75	11143 15412	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2AART|3FEWX|4aVULN|5DMG|6DUR|7LIT|8RCR|9ASPD
76	11163 15412	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2AART|3FEWX|4DMG|5aVULN|6DUR|7LIT|8RCR|9ASPD
77	11261 41412	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2AART|3DUR|4DMG|5LIT|6aVULN|7FEWX|8RCR|9ASPD
78	11243 26623	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	16LWND|2AART|3DUR|49VULN|5DMG|7ASPD|8RCR|aDUST
79	11261 16412	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2AART|3DUR|4DMG|5LIT|6DUST|7aVULN|8RCR|9ASPD
