0	Index      	 *	Score 	Summary	Detail	
1	42321 51263	 * 	212.89	DCR|3DMG|2VULN|1AART|2DUR	126DMG|29BPWR|39DUR|4DLOT|5RCVC|79VULN|8RCR|aAART
2	53124 26126	 * 	211.58	DCR|3DMG|2VULN|2CDMG|3DUR	179DUR|2MBVNT|37CDMG|4LEGI|5RMIN|679DMG|79BPWR|89VULN|aRCR
3	42313 25124	 * 	210.22	DCR|3DMG|2AART|2CDMG|2DUR	12aDMG|2aBPWR|3aDUR|4LIT|5LHND|6RCR|78AART|9aCDMG
4	45423 21111	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	159DMG|2aVULN|3DUR|45LIT|5BPWR|6RCR|7TSLFST|8AART
5	42321 51243	   	207.55	DCR|3DMG|2VULN|1AART|1DUR	126DMG|2BPWR|3DUR|4DLOT|5RCVC|79VULN|8RCR|aAART
6	45241 23131	 * 	206.99	DCR|4VULN|2DMG|1ASPD|1NUKE	16DMG|2589VULN|35MSLREG|4NUKE|5BPWR|7ASPD|aRCR
7	53423 51213	 * 	206.95	DCR|2VULN|2AART|2DMG|2DUR	18DUR|2MBVNT|3BELT|48DMG|58VULN|67AART|8BPWR|9RMIN|aRCR
8	42321 51261	 * 	206.94	DCR|3VULN|3DMG|2DUR	126DMG|29BPWR|39DUR|4DLOT|5RCVC|79aVULN|8RCR
9	53211 42317	 * 	206.77	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2MBVNT|358DMG|4VULN|6MULFIG|7RCR|9ASPD|aAART
10	43353 36131	 * 	205.08	DCR|3VULN|3DMG|1CDMG|1AAC	145DMG|2AAC|367VULN|8CDMG|9RCR|aAELBLL
11	43353 36133	   	205.08	DCR|3VULN|3DMG|1CDMG|1AAC	145DMG|2AAC|367VULN|8CDMG|9RCR|aMLV
12	43353 36132	   	204.98	DCR|3VULN|3DMG|1CDMG|1AAC	145DMG|2AAC|367VULN|8CDMG|9RCR|aCANSTR
13	53572 23141	 * 	204.07	DCR|3VULN|1AART|1DMG|3DUR	135DUR|2MBVNT|45aVULN|5BPWR|6RCR|7DMG|8BEXP|9AART
14	42321 51241	   	201.60	DCR|3VULN|3DMG|1DUR	126DMG|2BPWR|3DUR|4DLOT|5RCVC|79aVULN|8RCR
15	45123 21141	 * 	201.38	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2aVULN|3DUST|45LIT|5BPWR|6RCR|7TSLFST|8AART|9CDMG
16	33772 26432	 * 	201.02	DCR|4VULN|1AART|1DMG	135DUST|2MBVNT|4579VULN|5BPWR|6RCR|8AART|aDMG
17	45623 21111	   	200.88	DCR|3DMG|2VULN|1AART	159DMG|2aVULN|3BEXP|45LIT|5BPWR|6RCR|7TSLFST|8AART
18	45123 21111	   	200.78	DCR|3DMG|2VULN|1AART	159DMG|2aVULN|3DUST|45LIT|5BPWR|6RCR|7TSLFST|8AART
19	53211 42318	 * 	199.24	DCR|3DMG|1VULN|1ASPD|1CDMG|1DUR	1DUR|2MBVNT|358DMG|4VULN|6MULFIG|7RCR|9ASPD|aCDMG
20	53171 44132	 * 	199.15	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	18DUR|2MBVNT|38CDMG|4CANARM|5LHND|68VULN|7RCR|8BPWR|9DMG|aASPD
21	53171 44137	 * 	199.15	DCR|2VULN|2CDMG|1DMG|1NUKE|2DUR	18DUR|2MBVNT|38CDMG|4CANARM|5LHND|68VULN|7RCR|8BPWR|9DMG|aNUKE
