0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21531 15243	9	 * 	309.43	橙4易伤3时间2攻速1伤害1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a伤害
2	21561 15224	10	 * 	308.99	橙5易伤3时间2伤害	1367a易伤2基地爆炸47伤害567时间67序列升级8核9加一
3	21561 15232	10	   	305.80	橙4易伤3时间2伤害1等级	1367易伤29基地爆炸47伤害567时间67序列升级8核a等级
4	21561 15321	8	   	303.20	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8低血量敌人9核a暴击
5	21561 15321	7	   	303.20	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8最后敌人9核a暴击
6	21561 15211	9	   	303.10	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a暴击
7	21561 15221	9	   	303.10	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a暴击
8	22316 43511	7	 * 	301.34	橙3易伤3时间3暴击1伤害1等级	19a易伤2平台39a暴击4等级5全技能6伤害7核89a时间9a序列升级
9	21561 15212	10	   	299.11	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a全技能
10	21561 15222	10	   	299.11	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a全技能
11	21531 15242	9	   	299.02	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a全技能
12	21561 15211	8	   	297.86	橙4易伤3时间2伤害	1367易伤2a基地爆炸47伤害567时间67序列升级8核9雷电
13	21561 15213	8	   	297.86	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9雷电a低血量敌人
14	21561 15212	8	   	297.76	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9雷电a赏金塔
15	21531 15241	10	   	297.67	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a雷电
16	21531 15236	10	   	293.18	橙4易伤3时间2攻速1伤害	1367易伤29基地爆炸47攻速567时间67序列升级8核a伤害
17	26531 15212	10	   	293.18	橙4易伤3时间2攻速1伤害	1367易伤29低血量敌人47攻速567时间67序列升级8伤害a核
18	21531 15224	8	 * 	292.65	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9随机矿
19	21531 15326	8	   	292.65	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8低血量敌人9核
20	21531 15326	7	   	292.65	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8最后敌人9核
21	21531 15216	9	   	292.55	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9挖尘
22	21531 15224	10	   	292.55	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9加一
23	21531 15227	9	   	292.55	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9加一
24	21531 15234	8	   	292.55	橙5易伤3时间2攻速1核弹	1367a易伤2基地爆炸47攻速567时间67序列升级8核9核弹
25	22533 22243	4	 * 	291.98	橙4易伤3伤害2时间	1578易伤2平台358伤害4额外掉落58序列升级68时间9敌人爆炸a核
26	22533 63243	4	   	291.98	橙4易伤3伤害2时间	1568易伤2平台358伤害4额外掉落58序列升级78时间9敌人爆炸a核
27	22533 22233	4	   	291.88	橙4易伤3伤害2时间	1578易伤2平台358伤害4额外掉落58序列升级68时间9挖尘a核
28	22533 63233	4	   	291.88	橙4易伤3伤害2时间	1568易伤2平台358伤害4额外掉落58序列升级78时间9挖尘a核
29	21511 15234	8	   	291.50	橙5易伤3时间1伤害	1367a易伤2基地爆炸47策反567时间67序列升级8核9伤害
30	21561 15322	7	   	289.55	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8最后敌人9核a金币生成
