0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61243 31163	6	 * 	276.22	橙4易伤2伤害2时间	17低血量敌人2随机矿3a伤害47时间5678易伤7序列升级9核
2	61213 31163	3	 * 	269.24	橙3易伤3伤害2时间	17低血量敌人2随机矿35a伤害47时间678易伤7序列升级9核
3	61243 31163	4	   	269.24	橙3易伤3伤害2时间	17低血量敌人2随机矿35a伤害47时间678易伤7序列升级9核
4	62111 51163	1	   	269.24	橙3易伤3伤害2时间	17低血量敌人278易伤36a伤害4金币生成57时间7序列升级9核
5	61213 31166	3	 * 	266.81	橙3易伤3时间2伤害	17低血量敌人2随机矿35伤害47a时间678易伤7序列升级9核
6	31254 35223	5	 * 	265.45	橙4易伤2伤害3雷电	19a最后敌人2随机矿34伤害569a易伤7核89a雷电9a序列升级
7	51253 35223	4	   	265.45	橙4易伤2伤害3雷电	19a敌人爆炸2随机矿34伤害569a易伤7核89a雷电9a序列升级
8	53132 35132	3	 * 	263.39	橙5易伤1伤害1等级	1敌人爆炸2低血量敌人34568易伤7核9伤害a等级
9	23132 35132	3	   	263.29	橙5易伤1伤害1等级	1挖尘2低血量敌人34568易伤7核9伤害a等级
10	53122 31162	6	   	261.64	橙4易伤2伤害1时间	17敌人爆炸2低血量敌人3678易伤47伤害5随机矿7序列升级9核a时间
11	23122 31166	6	   	261.44	橙4易伤2伤害1时间	17挖尘2低血量敌人3678易伤47伤害5随机矿7序列升级9核a时间
12	53121 51235	10	   	261.44	橙4易伤2伤害1时间	1敌人爆炸2低血量敌人389a易伤47伤害5时间6核
13	23126 64233	10	   	261.34	橙4易伤2伤害1等级	17挖尘2低血量敌人3567易伤47伤害7序列升级8挖青9核a等级
14	23122 31163	6	 * 	260.84	橙4易伤3伤害	17挖尘2低血量敌人3678易伤47a伤害5随机矿7序列升级9核
15	23126 41163	6	   	260.84	橙4易伤3伤害	17挖尘2低血量敌人3578易伤47a伤害6随机矿7序列升级9核
16	33421 54213	2	 * 	260.31	橙3易伤2伤害2攻速1时间	148最后敌人2额外掉落36伤害568易伤68序列升级78攻速9时间a核
17	62212 42126	1	   	259.42	橙3易伤1伤害1时间1等级1暴击	1低血量敌人25a易伤3暴击4伤害6核7时间8雷电9等级
18	53122 31163	6	   	259.04	橙4易伤2伤害1暴击	17敌人爆炸2低血量敌人3678易伤47伤害5随机矿7序列升级9核a暴击
19	52212 13541	1	 * 	258.96	橙3易伤2伤害2暴击1时间	17敌人爆炸258易伤37暴击47伤害6立即金币7序列升级9时间a核
20	22212 13541	1	   	258.76	橙3易伤2伤害2暴击1时间	17挖尘258易伤37暴击47伤害6立即金币7序列升级9时间a核
21	61243 31161	6	   	258.64	橙4易伤2时间1伤害	17低血量敌人2随机矿3伤害47时间5678易伤7序列升级9核a敌人爆炸
22	61243 31162	6	   	258.64	橙4易伤2时间1伤害	17低血量敌人2随机矿3伤害47时间5678易伤7序列升级9核a矿等
23	52513 35223	3	 * 	258.64	橙4易伤2时间3雷电	19a敌人爆炸2双倍矿34时间569a易伤7核89a雷电9a序列升级
24	52531 35223	3	   	258.64	橙4易伤2时间3雷电	19a敌人爆炸2双倍矿35时间469a易伤7核89a雷电9a序列升级
25	31125 23431	9	   	257.50	橙4易伤1伤害1等级1暴击	1最后敌人2随机矿3等级4暴击5678易伤9伤害a核
26	32212 42315	1	   	257.40	橙4易伤1伤害1时间1暴击	1最后敌人259a易伤3暴击4伤害6核7时间8赏金塔
27	32212 42415	1	   	257.40	橙4易伤1伤害1时间1暴击	1最后敌人259a易伤3暴击4伤害6核7时间8赏金邻近
28	52212 42315	1	   	257.40	橙4易伤1伤害1时间1暴击	1敌人爆炸259a易伤3暴击4伤害6核7时间8赏金塔
29	62212 42315	1	   	257.40	橙4易伤1伤害1时间1暴击	1低血量敌人259a易伤3暴击4伤害6核7时间8赏金塔
30	22212 42315	1	   	257.30	橙4易伤1伤害1时间1暴击	1挖尘259a易伤3暴击4伤害6核7时间8赏金塔
31	22212 42415	1	   	257.30	橙4易伤1伤害1时间1暴击	1挖尘259a易伤3暴击4伤害6核7时间8赏金邻近
32	32132 14335	3	   	256.47	橙3易伤3伤害1全技能	189最后敌人2全技能389易伤4金币生成5雷电689伤害7赏金塔89序列升级a核
33	32132 14335	4	   	256.47	橙3易伤3伤害1全技能	189最后敌人2全技能389易伤4矿等5雷电689伤害7赏金邻近89序列升级a核
34	32132 45335	3	   	256.47	橙3易伤3伤害1全技能	189最后敌人2全技能389易伤4金币生成5雷电6赏金塔789伤害89序列升级a核
35	32132 45335	4	   	256.47	橙3易伤3伤害1全技能	189最后敌人2全技能389易伤4矿等5雷电6赏金邻近789伤害89序列升级a核
36	32332 14335	2	   	256.47	橙3易伤3伤害1全技能	189最后敌人2全技能389易伤4金币生成5雷电689伤害7赏金塔89序列升级a核
37	32332 45335	2	   	256.47	橙3易伤3伤害1全技能	189最后敌人2全技能389易伤4金币生成5雷电6赏金塔789伤害89序列升级a核
38	54132 13335	3	   	256.47	橙3易伤3伤害1全技能	189敌人爆炸2全技能389易伤4雷电5金币生成689伤害7赏金塔89序列升级a核
