0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34412 35332	9	 * 	277.04	橙5易伤1伤害1时间1暴击	1基地爆炸2345a易伤6时间7暴击8伤害9核
2	24412 31326	9	 * 	276.02	橙4易伤2伤害2时间	1低血量敌人2345易伤68时间7核9a伤害
3	24412 31412	9	   	273.23	橙5易伤1等级1时间1暴击	1低血量敌人2345a易伤6时间7核8等级9暴击
4	34412 31412	9	   	273.23	橙5易伤1时间1等级1暴击	1基地爆炸2345a易伤6时间7核8等级9暴击
5	24412 14213	10	   	273.15	橙5易伤1伤害1时间1全技能	17低血量敌人23457易伤6全技能7序列升级8时间9伤害a核
6	24412 11213	10	   	273.05	橙5易伤1伤害1时间1全技能	1低血量敌人23457易伤6全技能8时间9伤害a核
7	24412 11623	10	   	273.05	橙5易伤1伤害1时间1全技能	1低血量敌人23457易伤6全技能8伤害9时间a核
8	24451 11213	10	   	273.05	橙5易伤1伤害1时间1全技能	1低血量敌人23567易伤4全技能8时间9伤害a核
9	54431 11213	10	   	273.05	橙5易伤1伤害1时间1全技能	1最后敌人23567易伤4全技能8时间9伤害a核
10	34412 35331	9	   	272.09	橙4易伤2时间1伤害1暴击	1基地爆炸2345易伤6a时间7暴击8伤害9核
11	31434 23132	10	 * 	271.86	橙4易伤3时间1伤害	17基地爆炸2最后敌人347a易伤567时间7序列升级8伤害9核
12	53434 23132	10	   	271.76	橙4易伤3时间1伤害	17最后敌人2挖尘347a易伤567时间7序列升级8伤害9核
13	24412 31122	8	   	271.70	橙5易伤1伤害1时间	1低血量敌人23458易伤6时间7核9雷电a伤害
14	24412 31122	7	   	271.70	橙5易伤1伤害1时间	1低血量敌人23458易伤6时间7核9雷电a伤害
15	24412 31212	9	   	271.70	橙5易伤1伤害1时间	1低血量敌人23459易伤6时间7核8雷电a伤害
16	24412 31262	8	   	271.70	橙5易伤1伤害1时间	1低血量敌人23459易伤6时间7核8雷电a伤害
17	34412 31122	8	   	271.70	橙5易伤1伤害1时间	1基地爆炸23458易伤6时间7核9雷电a伤害
18	34412 31122	7	   	271.70	橙5易伤1伤害1时间	1基地爆炸23458易伤6时间7核9雷电a伤害
19	34412 31212	9	   	271.70	橙5易伤1伤害1时间	1基地爆炸23459易伤6时间7核8雷电a伤害
20	34412 31262	8	   	271.70	橙5易伤1伤害1时间	1基地爆炸23459易伤6时间7核8雷电a伤害
21	24412 31132	8	 * 	271.56	橙5易伤2时间1暴击	1低血量敌人23458易伤69时间7核a暴击
22	24412 31132	7	   	271.56	橙5易伤2时间1暴击	1低血量敌人23458易伤69时间7核a暴击
23	24412 31322	8	   	271.56	橙5易伤2时间1暴击	1低血量敌人23459易伤68时间7核a暴击
24	24412 31622	7	   	271.56	橙5易伤2时间1暴击	1低血量敌人23459易伤68时间7核a暴击
25	34412 31132	8	   	271.56	橙5易伤2时间1暴击	1基地爆炸23458易伤69时间7核a暴击
26	34412 31132	7	   	271.56	橙5易伤2时间1暴击	1基地爆炸23458易伤69时间7核a暴击
27	34412 31622	7	   	271.56	橙5易伤2时间1暴击	1基地爆炸23459易伤68时间7核a暴击
28	22344 33225	6	 * 	271.19	橙2易伤2伤害2时间2暴击1等级	1低血量敌人29伤害35易伤4雷电69时间7等级89暴击9序列升级a核
29	24412 31135	8	 * 	271.14	橙5易伤3时间	1低血量敌人23458易伤69a时间7核
30	24412 31135	7	   	271.14	橙5易伤3时间	1低血量敌人23458易伤69a时间7核
31	24412 31325	8	   	271.14	橙5易伤3时间	1低血量敌人23459易伤68a时间7核
32	34412 31135	8	   	271.14	橙5易伤3时间	1基地爆炸23458易伤69a时间7核
33	34412 31135	7	   	271.14	橙5易伤3时间	1基地爆炸23458易伤69a时间7核
34	24412 31321	9	   	269.44	橙4易伤2时间1伤害1攻速	1低血量敌人2345易伤68时间7核9伤害a攻速
35	24412 33251	6	   	269.44	橙4易伤2时间1伤害1攻速	1低血量敌人2345易伤69时间7伤害8核a攻速
36	24412 31133	7	   	268.92	橙5易伤2时间1攻速	1低血量敌人23458易伤69时间7核a攻速
37	24412 31133	8	   	268.92	橙5易伤2时间1攻速	1低血量敌人23458易伤69时间7核a攻速
38	24412 31323	8	   	268.92	橙5易伤2时间1攻速	1低血量敌人23459易伤68时间7核a攻速
39	24412 31623	7	   	268.92	橙5易伤2时间1攻速	1低血量敌人23459易伤68时间7核a攻速
40	34412 31133	8	   	268.92	橙5易伤2时间1攻速	1基地爆炸23458易伤69时间7核a攻速
41	34412 31133	7	   	268.92	橙5易伤2时间1攻速	1基地爆炸23458易伤69时间7核a攻速
42	34412 31141	9	   	268.92	橙5易伤2时间1攻速	1基地爆炸23458易伤6a时间7核9攻速
43	34412 31623	7	   	268.92	橙5易伤2时间1攻速	1基地爆炸23459易伤68时间7核a攻速
44	24412 31411	9	   	268.27	橙4易伤2时间1等级1暴击	1低血量敌人2345易伤6a时间7核8等级9暴击
45	34412 31411	9	   	268.27	橙4易伤2时间1等级1暴击	1基地爆炸2345易伤6a时间7核8等级9暴击
46	24412 31335	10	   	267.85	橙4易伤3时间1等级	1低血量敌人2345易伤689时间7核a等级
47	31434 23135	10	 * 	266.81	橙3易伤3时间2伤害	17基地爆炸2最后敌人347易伤567时间7序列升级8a伤害9核
48	24412 31324	10	   	266.74	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a雷电
