0	Index      	 *	Score 	Summary	Detail	
1	61423 11315	 * 	234.27	橙2散射对甲3易伤2全技能1时间	1双倍物品25a易伤3时间4a技能点69全技能7a散射对甲8核a序列升级
2	61125 33513	 * 	230.83	橙4易伤1散射对甲2伤害	1双倍物品237a易伤3a序列升级4a矿等5掉矿6核8散射对甲9a伤害
3	14321 52342	 * 	224.84	橙3易伤2伤害1全技能1核弹	1电球减费239易伤39序列升级4双倍矿5全技能69低血量敌人79伤害8核a核弹
4	61113 63351	 * 	223.30	橙3易伤1双倍秒伤2伤害1全技能	1双倍物品239易伤39序列升级49伤害5额外掉落6全技能79掉矿8核a双倍秒伤
5	14321 32345	 * 	221.02	橙3易伤2伤害1全技能1攻速	1电球减费239易伤39序列升级4双倍矿5全技能69基地爆炸79伤害8核a攻速
6	14325 41213	 * 	219.67	橙4易伤2伤害1全技能	1电球减费236a易伤3a序列升级4双倍矿5a伤害7a多重对紫8全技能9核
7	42156 12221	 * 	218.74	橙1散射对甲2易伤2攻速1全技能1时间	13易伤2平台47攻速5低血量敌人6时间8核9散射对甲a全技能
8	61113 13515	 * 	217.76	橙3易伤2伤害2时间1暴击	1双倍物品23a易伤3a序列升级4a伤害5额外掉落6最后敌人7核8暴击9a时间
9	52242 12335	 * 	217.32	橙3伤害2易伤2攻速1时间	1a技能点2a攻速3时间478伤害5矿等6a易伤9核a序列升级
10	14321 32342	   	215.78	橙3易伤2伤害1全技能1时间	1电球减费239易伤39序列升级4双倍矿5全技能69基地爆炸79伤害8核a时间
11	42151 43222	 * 	214.28	橙4易伤2攻速2时间	138a易伤2平台48攻速5额外掉落68时间7核8序列升级9金币生成
12	11143 34513	 * 	212.34	橙2易伤2攻速1全技能2时间1策反	1电球减费2a攻速3最后敌人4a时间5策反6散射对喷气7核8全技能9a易伤a序列升级
13	42151 43221	   	211.04	橙3易伤2攻速2时间1暴击	138易伤2平台48攻速5额外掉落68时间7核8序列升级9金币生成a暴击
14	62112 21323	 * 	210.22	橙3易伤1散射对甲1伤害2暴击	1双倍物品2技能点357易伤4a暴击6散射对甲8伤害9核
15	24613 63323	 * 	208.75	橙2易伤3全技能2伤害	1立即金币26a全技能39伤害48易伤5额外掉落7核
16	51262 23335	 * 	207.03	橙3伤害2易伤2时间1策反	1a技能点268伤害3a时间4策反5矿等7a易伤9核a序列升级
17	51422 12335	   	206.32	橙3伤害2易伤2攻速	1a技能点278伤害3a攻速4敌人爆炸5矿等6a易伤9核a序列升级
18	52422 12335	   	206.32	橙3伤害2易伤2攻速	1a技能点2a攻速378伤害4敌人爆炸5矿等6a易伤9核a序列升级
19	61111 15233	 * 	205.56	橙2易伤2攻速1全技能1伤害1时间	1双倍物品23易伤3序列升级4伤害5低血量敌人6全技能7时间89攻速a核
20	24111 32342	   	205.47	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5低血量敌人6技能点79伤害8核9序列升级a核弹
21	24111 52342	   	205.47	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5低血量敌人6金币生成79伤害8核9序列升级a核弹
22	24113 32342	   	205.47	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5最后敌人6技能点79伤害8核9序列升级a核弹
23	24113 52342	   	205.47	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5最后敌人6金币生成79伤害8核9序列升级a核弹
24	41336 41133	   	204.83	橙3易伤1全技能1伤害1时间	156易伤2掉矿3立即金币4时间7散射对绿8核9伤害a全技能
25	14321 32341	   	204.77	橙3易伤2伤害1全技能	1电球减费239易伤39序列升级4双倍矿5全技能69基地爆炸79伤害8核a低血量敌人
26	14321 52343	   	204.77	橙3易伤2伤害1全技能	1电球减费239易伤39序列升级4双倍矿5全技能69低血量敌人79伤害8核a敌人爆炸
27	31364 42131	   	204.76	橙2伤害1易伤1全技能1攻速1时间1策反	1等级29伤害3平台4策反5全技能6核7攻速8时间a易伤
28	14321 32343	   	204.67	橙3易伤2伤害1全技能1卖塔	1电球减费239易伤39序列升级4双倍矿5全技能69基地爆炸79伤害8核a卖塔
29	14321 32346	   	204.67	橙3易伤2伤害1全技能	1电球减费239易伤39序列升级4双倍矿5全技能69基地爆炸79伤害8核a挖尘
30	14321 52341	   	204.67	橙3易伤2伤害1全技能	1电球减费239易伤39序列升级4双倍矿5全技能69低血量敌人79伤害8核a挖青
31	42113 54223	 * 	204.64	橙2易伤2全技能1双倍秒伤1暴击1策反	13易伤2平台46全技能5最后敌人7暴击8策反9核a双倍秒伤
32	61113 63352	   	204.37	橙3易伤2伤害1全技能	1双倍物品239易伤39序列升级49伤害5额外掉落6全技能79a掉矿8核
33	61113 63353	   	204.37	橙3易伤2伤害1全技能1卖塔	1双倍物品239易伤39序列升级49伤害5额外掉落6全技能79掉矿8核a卖塔
