0	Index      	 *	Score 	Summary	Detail	
1	64261 22321	 * 	358.44	橙3易伤1双倍秒伤1暴击1时间1挖怪	1暴击23a易伤4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤
2	64261 22322	 * 	358.44	橙2易伤1双倍秒伤1暴击1时间1挖怪	1暴击23易伤4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤a低血量敌人
3	64261 22323	 * 	358.44	橙2易伤1双倍秒伤1暴击1时间1挖怪	1暴击23易伤4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤a基地爆炸
4	41241 63121	 * 	358.01	橙2双倍秒伤1易伤1时间	1易伤2平台3头目4基地爆炸5时间6核79双倍秒伤8技能点a敌人爆炸
5	41241 63122	   	358.01	橙2双倍秒伤1易伤1时间	1易伤2平台3头目4基地爆炸5时间6核79双倍秒伤8技能点a挖尘
6	41241 63123	   	358.01	橙2双倍秒伤1易伤1时间	1易伤2平台3头目4基地爆炸5时间6核79双倍秒伤8技能点a金币生成
7	41251 63121	   	358.01	橙2双倍秒伤1易伤1时间	1易伤2平台3头目4低血量敌人5时间6核79双倍秒伤8技能点a基地爆炸
8	41251 63122	   	358.01	橙2双倍秒伤1易伤1时间	1易伤2平台3头目4低血量敌人5时间6核79双倍秒伤8技能点a挖尘
9	41251 63123	   	358.01	橙2双倍秒伤1易伤1时间	1易伤2平台3头目4低血量敌人5时间6核79双倍秒伤8技能点a金币生成
10	63123 22536	 * 	353.90	橙4易伤2暴击1时间	13暴击26烈焰减费4678易伤5技能6序列升级9核a时间
11	45123 51211	 * 	351.01	橙2易伤1双倍秒伤1伤害1时间	15易伤2伤害3掉矿45暴雪减费5序列升级6核7时间8低血量敌人9双倍秒伤a立即金币
12	45123 51212	   	351.01	橙2易伤1双倍秒伤1伤害1时间	15易伤2伤害3掉矿45暴雪减费5序列升级6核7时间8低血量敌人9双倍秒伤a雷电
13	45123 51213	   	351.01	橙2易伤1双倍秒伤1伤害1时间	15易伤2伤害3掉矿45暴雪减费5序列升级6核7时间8低血量敌人9双倍秒伤a赏金塔
14	32621 13246	 * 	344.73	橙1双倍秒伤1易伤1暴击1等级1时间1全技能	1策反2暴击3火球减费4全技能5易伤6时间7核8矿等9等级a双倍秒伤
15	36251 31331	 * 	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a赏金邻近
16	36251 31332	   	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a掉矿
17	36251 31333	   	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a雷电
18	36251 31334	   	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a最后敌人
19	36251 31335	   	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a加农对甲
20	36251 31336	   	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a技能点
21	36251 31337	   	344.22	紫橙1双倍秒伤1易伤1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a挖尘
22	36251 31338	 * 	344.22	紫橙1双倍秒伤1易伤1暴击1等级1时间	1策反27核3加一4矿等5时间6等级8易伤9双倍秒伤a暴击
23	32623 13436	 * 	343.63	橙1双倍秒伤1易伤2暴击2时间1全技能	18策反28暴击3火球减费4全技能5敌人爆炸68时间7核8序列升级9易伤a双倍秒伤
24	11313 13514	 * 	343.60	橙2易伤1双倍秒伤2时间	17风暴减费2散射对甲37易伤4随机矿57时间6技能7序列升级8核9最后敌人a双倍秒伤
25	11313 13554	   	343.60	橙2易伤1双倍秒伤2时间	17风暴减费2散射对甲37易伤4随机矿57时间6技能7序列升级8核9敌人爆炸a双倍秒伤
26	11313 13564	   	343.60	橙2易伤1双倍秒伤2时间	17风暴减费2散射对甲37易伤4随机矿57时间6技能7序列升级8核9基地爆炸a双倍秒伤
27	15313 13514	   	343.60	橙2易伤1双倍秒伤2时间	17风暴减费2防空对头目37易伤4随机矿57时间6技能7序列升级8核9最后敌人a双倍秒伤
28	51313 13514	   	343.60	橙2易伤1双倍秒伤2时间	17暴雪减费2散射对甲37易伤4随机矿57时间6技能7序列升级8核9最后敌人a双倍秒伤
29	11313 13524	   	343.50	橙2易伤1双倍秒伤2时间1挖怪	17风暴减费2散射对甲37易伤4随机矿57时间6技能7序列升级8核9挖怪a双倍秒伤
30	15313 13524	   	343.50	橙2易伤1双倍秒伤2时间1挖怪	17风暴减费2防空对头目37易伤4随机矿57时间6技能7序列升级8核9挖怪a双倍秒伤
31	51313 13524	   	343.50	橙2易伤1双倍秒伤2时间1挖怪	17暴雪减费2散射对甲37易伤4随机矿57时间6技能7序列升级8核9挖怪a双倍秒伤
32	64322 21612	 * 	341.55	4易伤1双倍秒伤1暴击1时间	1暴击2456易伤36策反6序列升级7随机技能8时间9暴雪减费a双倍秒伤
33	64322 21621	 * 	341.55	5易伤1双倍秒伤1暴击1时间	1暴击2456a易伤36策反6序列升级7随机技能8时间9双倍秒伤
34	64322 21622	   	341.55	4易伤1双倍秒伤1暴击1时间	1暴击2456易伤36策反6序列升级7随机技能8时间9双倍秒伤a矿等
35	64322 21623	   	341.55	4易伤1双倍秒伤1暴击1时间	1暴击2456易伤36策反6序列升级7随机技能8时间9双倍秒伤a低血量敌人
36	63122 61631	 * 	339.99	3易伤1双倍秒伤3暴击2时间	139暴击2烈焰减费479易伤5随机技能6低血量敌人89时间9序列升级a双倍秒伤
37	63322 61631	   	339.99	3易伤1双倍秒伤3暴击2时间	139暴击23烈焰减费39序列升级479易伤5随机技能6低血量敌人89时间a双倍秒伤
38	64213 11113	 * 	339.18	2双倍秒伤2易伤1暴击1时间	1暴击23易伤4掉矿5随机技能6时间7矿等8a双倍秒伤9平台
39	45333 25231	 * 	339.09	橙3易伤2伤害1等级1时间	157易伤25伤害3立即金币4随机矿5序列升级6等级8时间9核a最后敌人
40	45333 25233	   	339.09	橙3易伤2伤害1等级1时间	157易伤25伤害3立即金币4a随机矿5序列升级6等级8时间9核
41	45333 25232	   	338.99	橙3易伤2伤害1等级1时间	157易伤25伤害3立即金币4随机矿5序列升级6等级8时间9核a挖青
42	45311 51132	   	338.59	橙1双倍秒伤1易伤1暴击1伤害1时间1全技能	1易伤2伤害3立即金币4最后敌人5掉矿6核7时间8全技能9暴击a双倍秒伤
