0	Index      	 *	Score 	Summary	Detail	
1	42166 23221	 * 	375.80	4易伤1双倍秒伤3时间2伤害	1赏金邻近2789易伤347时间57伤害6头目7序列升级a双倍秒伤
2	42254 31323	 * 	374.83	橙3易伤1双倍秒伤1时间	1赏金邻近249易伤3赏金塔5头目6核7时间8最后敌人a双倍秒伤
3	62113 12254	 * 	371.00	橙2易伤1双倍秒伤1暴击2时间	1挖尘25易伤3技能4头目68时间7核9暴击a双倍秒伤
4	62213 12254	   	370.90	橙2易伤1双倍秒伤1暴击2时间	1挖尘25易伤3掉矿4头目68时间7核9暴击a双倍秒伤
5	62113 12354	   	358.44	橙2易伤1双倍秒伤1暴击1时间	18挖尘25易伤3技能4头目6时间7核9暴击a双倍秒伤
6	62213 12354	   	358.34	橙2易伤1双倍秒伤1暴击1时间	18挖尘25易伤3掉矿4头目6时间7核9暴击a双倍秒伤
7	41113 61263	 * 	357.45	橙2易伤1双倍秒伤1等级1时间	1赏金邻近26基地爆炸3时间4金币生成56易伤6序列升级7最后敌人8等级9核a双倍秒伤
8	22112 22485	   	357.35	橙2易伤1双倍秒伤1等级1时间	1随机技能2矿等3等级47易伤5雷电6加一8时间9核a双倍秒伤
9	43313 61263	   	357.35	橙2易伤1双倍秒伤1等级1时间	1赏金邻近2挖青3时间46金币生成56易伤6序列升级7最后敌人8等级9核a双倍秒伤
10	42112 61263	   	357.25	橙2易伤1双倍秒伤1等级1时间	1赏金邻近26易伤3时间4金币生成56挖尘6序列升级7最后敌人8等级9核a双倍秒伤
11	52533 43331	 * 	354.29	橙1双倍秒伤1易伤2等级1伤害1时间1全技能	1伤害2时间3易伤4全技能5寒冰对黄67等级8核9低血量敌人a双倍秒伤
12	52533 43321	   	354.19	橙1双倍秒伤1易伤2等级1伤害1时间1全技能1挖怪	1伤害2时间3易伤4全技能5寒冰对黄67等级8核9挖怪a双倍秒伤
