0	Index      	 *	Score 	Summary	Detail	
1	25111 55132	 * 	303.36	DCR|2VULN|2MLV|2TLV|2ASPD|1DMG	1aVULN|2DMG|3aTLV|4BEXP|5MBVNT|6RCR|78ASPD|9aMLV|aBPWR
2	25141 54244	 * 	302.58	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9AART|aMLV
3	41252 31352	   	300.93	DCR|DCR|1TLV|1MLV|1DMG|1AAC|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5BEXP|6MLV|7DUR|89RCR|aAAC
4	41341 14136	 * 	300.59	DCR|2VULN|2MLV|2DMG|1TLV|1ASPD	1TLV|2aDMG|3DUR|4LWND|5MBVNT|6aMLV|7RCR|8ASPD|9aVULN|aBPWR
5	22178 15134	 * 	299.93	DCR|3MLV|2VULN|3DMG|1AAC	19VULN|2MBVNT|36LSRHEA|4AAC|569MLV|69BPWR|7RCR|89aDMG
6	25111 54242	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9DMSP|aMLV
7	25111 54254	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9CGEN|aMLV
8	22172 15131	   	292.83	DCR|2VULN|2MLV|2DMG|1TLV|1AAC	19VULN|2MBVNT|3LSRHEA|4AAC|5RCVC|69MLV|7RCR|89DMG|9BPWR|aTLV
9	41252 33352	   	292.62	DCR|DCR|1TLV|1MLV|1DMG|1AAC|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5BEXP|6MLV|7LWND|89RCR|aAAC
10	22178 15132	   	292.59	DCR|3MLV|2VULN|2DMG|1AAC	19VULN|2MBVNT|36LSRHEA|4AAC|569MLV|69BPWR|7RCR|89DMG|aDUR
11	15141 14136	   	292.29	DCR|2VULN|2MLV|2DMG|1TLV|1ASPD	1FEWX|2aDMG|3TLV|4LWND|5MBVNT|6aMLV|7RCR|8ASPD|9aVULN|aBPWR
12	25111 54223	   	290.14	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9ASPD|aDUR
13	65111 14232	   	289.49	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	1DUST|2aDMG|3TLV|4BEXP|5MBVNT|6aMLV|7RCR|8CDMG|9aVULN|aBPWR
14	22386 44184	   	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1VULN|2MBVNT|3CGEN|4CDMG|5MDPS|6TBNT|7TLV|8MLV|9aRCR
