0	Index      	 *	Score 	Summary	Detail	
1	14212 25361	 * 	327.72	DCR|DCR|2VULN|2ASPD|1MLV|1DMG	16ASPD|2DMG|3LHND|46VULN|5RCVC|6BPWR|79RCR|8DUR|aMLV
2	14332 15361	 * 	318.91	DCR|DCR|2DMG|1VULN|2ASPD|1MLV	13ASPD|23DMG|3BPWR|45BEXP|6VULN|79RCR|8DUR|aMLV
3	11326 25263	 * 	315.93	DCR|DCR|2TLV|1VULN|2ASPD|1AAC	16ASPD|2DUST|3AME|46TLV|5AAC|6BPWR|79RCR|8VULN|aDUR
4	13112 65262	 * 	315.18	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2LHND|3TLV|46VULN|5RCVC|79RCR|8DMG|aRAT
5	12223 55222	 * 	315.16	DCR|DCR|2VULN|2DMG|2ASPD	14ASPD|2RAT|36VULN|5ERES|79DMG|8aRCR
6	16323 55222	   	315.16	DCR|DCR|2VULN|2DMG|2ASPD	14ASPD|26VULN|3RAT|5ERES|79DMG|8aRCR
7	11112 65262	   	315.08	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2DUST|3TLV|46VULN|5RCVC|79RCR|8DMG|aRAT
8	14354 13233	 * 	310.04	DCR|2VULN|3DMG|3ASPD|1TLV|1MLV	137ASPD|237DMG|37BPWR|4ERES|5TLV|67VULN|8RMIN|9MLV|aRCR
9	13112 65261	   	308.24	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2LHND|3TLV|46VULN|5RCVC|79RCR|8DMG|aTBNT
10	13112 65263	   	308.24	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2LHND|3TLV|46VULN|5RCVC|79RCR|8DMG|aFEWX
11	11112 65261	   	308.14	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2DUST|3TLV|46VULN|5RCVC|79RCR|8DMG|aTBNT
12	11112 65263	   	308.14	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2DUST|3TLV|46VULN|5RCVC|79RCR|8DMG|aFEWX
13	11326 25261	   	307.52	DCR|DCR|2TLV|1VULN|2ASPD|1AAC	16ASPD|2DUST|3AME|46TLV|5AAC|6BPWR|79RCR|8VULN|aBASICY
14	11326 25262	   	307.52	DCR|DCR|2TLV|1VULN|2ASPD|1AAC	16ASPD|2DUST|3AME|46TLV|5AAC|6BPWR|79RCR|8VULN|aMBVNT
15	14212 25362	   	306.07	DCR|DCR|2VULN|2ASPD|1DMG	16ASPD|2DMG|3LHND|46VULN|5RCVC|6BPWR|79RCR|8DUR|aRAT
16	14222 25361	 * 	304.32	DCR|DCR|2DMG|1TLV|1MLV|1ASPD	1ASPD|26DMG|3LHND|4TLV|56ERES|6BPWR|79RCR|8DUR|aMLV
17	12223 55212	   	304.18	DCR|DCR|2VULN|2ASPD|1DMG|2RAT	14ASPD|29RAT|36VULN|5ERES|7DMG|8aRCR
18	16323 55212	   	304.18	DCR|DCR|2VULN|2ASPD|1DMG|2RAT	14ASPD|26VULN|39RAT|5ERES|7DMG|8aRCR
19	11126 25263	   	301.75	DCR|DCR|1VULN|1TLV|2ASPD|1AAC	16ASPD|2DUST|3TLV|46AME|5AAC|6BPWR|79RCR|8VULN|aDUR
20	62233 55222	   	301.21	DCR|DCR|2VULN|2DMG|1AAC	1CGEN|2RAT|36VULN|4AAC|5AEFRZ|79DMG|8aRCR
21	62223 55222	   	300.57	DCR|DCR|2VULN|2DMG|1ASPD	1CGEN|2RAT|36VULN|4ASPD|5AEFRZ|79DMG|8aRCR
22	14212 25363	   	299.14	DCR|DCR|2VULN|2ASPD|1DMG	16ASPD|2DMG|3LHND|46VULN|5RCVC|6BPWR|79RCR|8DUR|aFEWX
23	14212 25162	   	297.77	DCR|DCR|2VULN|2ASPD|1DMG	16ASPD|2DMG|3LHND|46VULN|5RCVC|6BPWR|79RCR|8AME|aRAT
