0	Index      	 *	Score 	Summary	Detail	
1	21411 22433	 * 	300.43	DCR|DCR|2VULN|1TLV|2DUR|1CDMG	17FEWX|2LEGI|3TLV|47DUR|57VULN|6aRCR|7BPWR|8ERES|9CDMG
2	21364 22433	 * 	296.53	DCR|DCR|2MLV|1VULN|2DUR|1CDMG	17FEWX|2LEGI|3VULN|47DUR|57MLV|6aRCR|7BPWR|8ERES|9CDMG
3	21461 33114	   	287.97	DCR|DCR|2VULN|1TLV|1ASPD	1FEWX|2LEGI|3TLV|45VULN|6ASPD|7MDPS|8aRCR|9LWND
4	21461 33124	   	287.87	DCR|DCR|2VULN|1TLV|1ASPD	1FEWX|2LEGI|3TLV|45VULN|6ASPD|7MDPS|8aRCR|9BEXP
5	31461 33114	   	287.87	DCR|DCR|2VULN|1TLV|1ASPD	1BEXP|2LEGI|3TLV|45VULN|6ASPD|7MDPS|8aRCR|9LWND
6	21411 22113	   	286.88	DCR|DCR|2VULN|1TLV|2DUR	17FEWX|2LEGI|3TLV|47DUR|57VULN|6aRCR|7BPWR|89RCVC
7	21411 22133	   	286.78	DCR|DCR|2VULN|1TLV|2DUR	17FEWX|2LEGI|3TLV|47DUR|57VULN|6aRCR|7BPWR|8RCVC|9AEFBLL
8	21421 22433	   	285.57	DCR|DCR|2VULN|1TLV|1CDMG	17FEWX|2LEGI|3TLV|47LHND|57VULN|6aRCR|7BPWR|8ERES|9CDMG
9	21364 22113	   	282.98	DCR|DCR|2MLV|1VULN|2DUR	17FEWX|2LEGI|3VULN|47DUR|57MLV|6aRCR|7BPWR|89RCVC
10	21364 22133	   	282.88	DCR|DCR|2MLV|1VULN|2DUR	17FEWX|2LEGI|3VULN|47DUR|57MLV|6aRCR|7BPWR|8RCVC|9AEFBLL
11	14512 61333	   	281.48	DCR|DCR|2MLV|1VULN|1CDMG	1AEFRZ|2RCVC|34MLV|5ERES|6VULN|7aRCR|8BBNT|9CDMG
12	43123 13266	   	278.58	DCR|DCR|2VULN|1AAC|2RAT	18MULHEA|2RPLT|38RAT|4DUR|5LHND|68VULN|7aRCR|8BPWR|9AAC
13	21462 23233	 * 	273.35	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|2LEGI|37TLV|4VULN|5AME|6aRCR|8DUST|9CDMG
14	31462 23633	   	273.35	DCR|DCR|2TLV|1VULN|1CDMG	1BEXP|2LEGI|37TLV|4VULN|5AME|6aRCR|8FEWX|9CDMG
15	31462 23233	   	273.25	DCR|DCR|2TLV|1VULN|1CDMG	1BEXP|2LEGI|37TLV|4VULN|5AME|6aRCR|8DUST|9CDMG
16	21421 22113	   	272.02	DCR|DCR|2VULN|1TLV	17FEWX|2LEGI|3TLV|47LHND|57VULN|6aRCR|7BPWR|89RCVC
17	21421 22213	   	272.02	DCR|DCR|2VULN|1TLV	17FEWX|2LEGI|3TLV|478LHND|57VULN|6aRCR|7BPWR|9RCVC
18	21421 22133	   	271.92	DCR|DCR|2VULN|1TLV	17FEWX|2LEGI|3TLV|47LHND|57VULN|6aRCR|7BPWR|8RCVC|9AEFBLL
19	21421 22233	   	271.92	DCR|DCR|2VULN|1TLV	17FEWX|2LEGI|3TLV|478LHND|57VULN|6aRCR|7BPWR|9AEFBLL
