0	Index      	 *	Score 	Summary	Detail	
1	12143 15363	 * 	289.18	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|2LIT|3ASPD|4BELT|5aVULN|6RPLT|7DUR|89RCR
2	34121 11266	 * 	288.83	ACR|DCR|2MLV|1VULN|1TLV|1DMG	1aRCR|2CGEN|3TLV|4MDPS|5DMG|6VULN|7RAT|89MLV
3	36121 11266	   	288.73	ACR|DCR|2MLV|1VULN|1TLV|1DMG	1aRCR|2ERES|3TLV|4MDPS|5DMG|6VULN|7RAT|89MLV
4	13311 52313	 * 	284.97	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|57VULN|6aMLV|8DUR|9RCR
5	13311 56213	   	284.97	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|58VULN|6aMLV|7DUR|9RCR
6	21226 41353	 * 	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LHND|2ASPD|3VULN|4TLV|5BASICY|6DMG|7LIT|8CGEN|9aRCR
7	16232 72172	 * 	284.08	DCR|DCR|1VULN|2ASPD|1DMG|1AAC	1DMG|2BEXP|3VULN|4aASPD|5MBVNT|6RPLT|79RCR|8AAC
8	16223 52212	 * 	284.06	DCR|4VULN|2TLV|2DMG	18DMG|27BEXP|3468VULN|58TLV|8BPWR|9RPLT|aRCR
9	21236 11153	 * 	278.90	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|3VULN|4CGEN|5BASICY|6MLV|7LIT|8DMG|9aRCR
10	13311 52316	   	277.03	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4TLV|57VULN|6MLV|8DUR|9RCR|aASPD
11	13311 56216	   	277.03	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4TLV|58VULN|6MLV|7DUR|9RCR|aASPD
12	13311 52113	   	276.66	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|57VULN|6aMLV|8RCR|9CGEN
13	13311 52123	   	276.66	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|57VULN|6aMLV|8RCR|9RMIN
14	13311 52133	   	276.56	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|57VULN|6aMLV|8RCR|9AETHUN
15	13311 53213	   	276.56	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|58VULN|6aMLV|7LEGI|9RCR
16	13313 52213	   	276.56	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4TLV|5BEXP|6aMLV|78VULN|9RCR
17	13343 52213	   	276.56	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4BEXP|5TLV|6aMLV|78VULN|9RCR
18	13363 52213	   	276.56	DCR|2VULN|2MLV|2DMG|1TLV	13DMG|2FEWX|4DUST|5TLV|6aMLV|78VULN|9RCR
19	13311 52311	 * 	276.43	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4TLV|57VULN|6MLV|8DUR|9RCR
20	13311 56211	   	276.43	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4TLV|58VULN|6MLV|7DUR|9RCR
21	16224 52223	 * 	276.29	DCR|3VULN|3DMG|1MLV|1AAC	158DMG|278BEXP|348VULN|6AAC|8BPWR|9MLV|aRCR
22	16223 56213	 * 	275.14	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2BEXP|346VULN|5TLV|7LHND|8AAC|9RCR|aMLV
23	16223 51513	   	274.40	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1DMG|2BEXP|346VULN|5TLV|7DUST|8ASPD|9RCR|aMLV
24	41341 52213	 * 	273.62	DCR|2VULN|2TLV|1MLV|1DMG|1ASPD	1FEWX|2ASPD|3DMG|46TLV|5DUR|78VULN|9RCR|aMLV
25	16232 72171	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1DMG|2BEXP|3VULN|4ASPD|5MBVNT|6RPLT|79RCR|8AAC|aFEWX
26	16232 72173	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1DMG|2BEXP|3VULN|4ASPD|5MBVNT|6RPLT|79RCR|8AAC|aZMB
27	16232 72174	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1DMG|2BEXP|3VULN|4ASPD|5MBVNT|6RPLT|79RCR|8AAC|aCGEN
28	13311 55253	   	269.17	DCR|2MLV|2DMG|1VULN|1TLV|1CDMG	13DMG|2FEWX|4TLV|5VULN|6aMLV|7RAT|8CDMG|9RCR
29	16224 51313	   	269.17	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	15DMG|2BEXP|34VULN|6AAC|7DUST|8TLV|9RCR|aMLV
30	13311 52163	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9RCVC|aASPD
31	13311 52153	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9AEFRZ|aASPD
32	13311 53216	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4TLV|58VULN|6MLV|7LEGI|9RCR|aASPD
33	13313 52216	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4TLV|5BEXP|6MLV|78VULN|9RCR|aASPD
34	13343 52216	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4BEXP|5TLV|6MLV|78VULN|9RCR|aASPD
35	13363 52216	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	13DMG|2FEWX|4DUST|5TLV|6MLV|78VULN|9RCR|aASPD
36	15226 21353	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3VULN|4TLV|5BASICY|6ZMB|7LIT|8CGEN|9aRCR
37	13311 52131	   	268.03	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9AETHUN
38	13311 53211	   	268.03	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4TLV|58VULN|6MLV|7LEGI|9RCR
39	13313 52211	   	268.03	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4TLV|5BEXP|6MLV|78VULN|9RCR
40	13343 52211	   	268.03	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4BEXP|5TLV|6MLV|78VULN|9RCR
41	13363 52211	   	268.03	DCR|2VULN|3DMG|1TLV|1MLV	13aDMG|2FEWX|4DUST|5TLV|6MLV|78VULN|9RCR
42	34126 22236	 * 	267.54	ACR|DCR|2VULN|2TLV|1CDMG	19RCR|2aCGEN|3aTLV|4MDPS|5AME|6CDMG|7BELT|8aVULN|aBPWR
43	13111 52313	   	267.38	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|23FEWX|4TLV|57VULN|6aMLV|8DUR|9RCR
44	13111 56213	   	267.38	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|23FEWX|4TLV|58VULN|6aMLV|7DUR|9RCR
45	16221 55213	   	266.56	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|2BEXP|348VULN|5DUR|6TLV|7RMIN|9RCR|aMLV
46	16223 53313	   	266.56	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|2BEXP|346VULN|5TLV|7RMIN|8DUR|9RCR|aMLV
47	16223 62313	   	266.56	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|2BEXP|347VULN|5TLV|6RMIN|8DUR|9RCR|aMLV
48	16223 66213	   	266.56	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|2BEXP|348VULN|5TLV|6RMIN|7DUR|9RCR|aMLV
49	16221 56213	   	266.53	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|2DUR	1DMG|2BEXP|34VULN|57DUR|6TLV|8AAC|9RCR|aMLV
50	16223 56211	   	266.53	DCR|3VULN|2DMG|1TLV|1AAC	1aDMG|2BEXP|346VULN|5TLV|7LHND|8AAC|9RCR
51	36121 11436	 * 	266.42	ACR|DCR|2VULN|1TLV|1DMG	1aRCR|2ERES|3TLV|4MDPS|5DMG|68VULN|7RAT|9FEWX
