0	Index      	 *	Score 	Summary	Detail	
1	32133 31162	 * 	301.47	橙橙3易伤2等级1时间	18金币生成2时间368易伤48等级5赏金塔7a核8序列升级9烈焰减费
2	36133 31132	   	287.72	橙橙3易伤2等级	18金币生成29挖尘368易伤48等级5赏金塔7a核8序列升级
3	36133 31162	   	287.72	橙橙3易伤2等级	18金币生成2挖尘368易伤48等级5赏金塔7a核8序列升级9烈焰减费
4	55133 31162	   	287.72	橙橙3易伤2等级	18基地爆炸2掉矿368易伤48等级5赏金塔7a核8序列升级9烈焰减费
5	13122 53531	   	282.25	橙橙2易伤1等级1伤害	1伤害2低血量敌人36易伤4平台5攻速7赏金邻近89核a等级
6	32133 31562	 * 	281.25	橙橙2易伤2时间1等级	1金币生成28时间36易伤4等级5赏金塔7a核9烈焰减费
7	32133 31362	   	279.13	橙橙2易伤2等级1时间	1金币生成2时间36易伤48等级5赏金塔7a核9烈焰减费
8	13122 53532	   	278.18	橙橙3易伤1伤害	1伤害2低血量敌人36a易伤4平台5攻速7赏金邻近89核
9	11214 26532	 * 	273.63	橙橙2伤害1易伤1等级	1a伤害2攻速3赏金邻近4易伤5等级6金币生成7平台89核
10	11314 26532	   	273.63	橙橙2伤害1易伤1等级	1a伤害2攻速3赏金塔4易伤5等级6金币生成7平台89核
11	11214 36532	   	273.53	橙橙2伤害1易伤1等级	1a伤害2攻速3赏金邻近4易伤5等级6掉矿7平台89核
12	11314 36532	   	273.53	橙橙2伤害1易伤1等级	1a伤害2攻速3赏金塔4易伤5等级6掉矿7平台89核
13	11212 26532	   	271.65	橙橙2易伤1伤害1矿等	1伤害2攻速3赏金邻近4a易伤5矿等6金币生成7平台89核
14	11312 26532	   	271.65	橙橙2易伤1伤害1矿等	1伤害2攻速3赏金塔4a易伤5矿等6金币生成7平台89核
15	11212 26531	   	271.65	橙橙1易伤1等级1伤害1矿等	1伤害2攻速3赏金邻近4易伤5矿等6金币生成7平台89核a等级
16	11312 26531	   	271.65	橙橙1易伤1等级1伤害1矿等	1伤害2攻速3赏金塔4易伤5矿等6金币生成7平台89核a等级
17	11212 36532	   	271.55	橙橙2易伤1伤害1矿等	1伤害2攻速3赏金邻近4a易伤5矿等6掉矿7平台89核
18	11312 36532	   	271.55	橙橙2易伤1伤害1矿等	1伤害2攻速3赏金塔4a易伤5矿等6掉矿7平台89核
19	11212 36531	   	271.55	橙橙1易伤1等级1伤害1矿等	1伤害2攻速3赏金邻近4易伤5矿等6掉矿7平台89核a等级
20	11312 36531	   	271.55	橙橙1易伤1等级1伤害1矿等	1伤害2攻速3赏金塔4易伤5矿等6掉矿7平台89核a等级
