0	Index      	 *	Score 	Summary	Detail	
1	23631 11243	 * 	291.03	橙橙3易伤1等级1暴击	1金币生成2等级346易伤5暴击7双倍秒伤8随机技能9a核
2	23441 11243	 * 	279.23	橙橙2易伤2等级1暴击	1金币生成23等级46易伤5暴击7双倍秒伤8随机技能9a核
3	23632 41243	   	277.14	橙橙3易伤1等级1卖塔	1金币生成2等级345易伤6卖塔7双倍秒伤8随机技能9a核
4	23635 11243	   	277.14	橙橙3易伤1等级1卖塔	1金币生成2等级346易伤5卖塔7双倍秒伤8随机技能9a核
5	23631 13216	 * 	271.52	橙4易伤2时间1等级1伤害1暴击	19金币生成2等级3469易伤5暴击7伤害89时间9序列升级a核
6	33226 42531	 * 	269.69	橙橙1易伤1等级1伤害1暴击	1攻速2等级3易伤4双倍矿5基地爆炸69核7伤害8暴击a激光对绿
7	33226 42532	   	269.69	橙橙1易伤1等级1伤害1暴击	1攻速2等级3易伤4双倍矿5基地爆炸69核7伤害8暴击a雷电减费
8	33226 42533	   	269.69	橙橙1易伤1等级1伤害1暴击	1攻速2等级3易伤4双倍矿5基地爆炸69核7伤害8暴击a掉矿
9	22136 25312	   	268.89	橙橙2易伤1等级1时间	1金币生成2掉矿3时间48易伤5随机技能6等级79核a最后敌人
10	23134 65312	   	268.89	橙橙2易伤1等级1时间	1金币生成2等级3时间48易伤5技能点6随机技能79核a最后敌人
11	23136 55312	   	268.89	橙橙2易伤1等级1时间	1金币生成2等级3时间48易伤5随机技能6掉矿79核a最后敌人
12	23241 11243	   	268.89	橙橙2易伤1等级1暴击	1金币生成2等级3双倍矿46易伤5暴击7双倍秒伤8随机技能9a核
13	23611 11243	   	268.89	橙橙2易伤1等级1暴击	14金币生成2等级36易伤5暴击7双倍秒伤8随机技能9a核
14	22136 25311	   	268.79	橙橙2易伤1等级1时间	1金币生成2掉矿3时间48易伤5随机技能6等级79核a赏金塔
15	22136 25313	   	268.79	橙橙2易伤1等级1时间	1金币生成2掉矿3时间48易伤5随机技能6等级79核a赏金邻近
16	22136 25314	   	268.79	橙橙2易伤1等级1时间	1金币生成2掉矿3时间48易伤5随机技能6等级79核a雷电减费
17	22136 25315	   	268.79	橙橙2易伤1等级1时间	1金币生成2掉矿3时间48易伤5随机技能6等级79核a烈焰减费
18	22136 25316	   	268.79	橙橙2易伤1等级1时间1挖怪	1金币生成2掉矿3时间48易伤5随机技能6等级79核a挖怪
19	23134 65311	   	268.79	橙橙2易伤1等级1时间	1金币生成2等级3时间48易伤5技能点6随机技能79核a赏金塔
20	23134 65313	   	268.79	橙橙2易伤1等级1时间	1金币生成2等级3时间48易伤5技能点6随机技能79核a赏金邻近
21	23136 55311	   	268.79	橙橙2易伤1等级1时间	1金币生成2等级3时间48易伤5随机技能6掉矿79核a赏金塔
22	23136 55313	   	268.79	橙橙2易伤1等级1时间	1金币生成2等级3时间48易伤5随机技能6掉矿79核a赏金邻近
23	33321 46333	   	265.23	橙橙1易伤1等级1矿等1暴击	1攻速2等级3挖尘4双倍矿5暴击6矿等7平台8易伤9a核
24	34222 22433	   	263.38	橙橙2易伤1时间1暴击	1攻速2策反35易伤4双倍矿6a核7暴击8时间9敌人爆炸
25	34222 22543	   	263.28	橙橙2易伤1时间1暴击	1攻速2策反35易伤4双倍矿6a核7暴击8挖青9时间
26	23441 13216	 * 	262.69	橙3易伤2等级2时间1伤害1暴击	19金币生成23等级469易伤5暴击7伤害89时间9序列升级a核
27	14123 41531	   	262.51	橙橙1易伤1等级1伤害1全技能1卖塔	1雷电2等级3立即金币4卖塔5寒冰对黄6易伤78核9全技能a伤害
