0	Index      	 *	Score 	Summary	Detail	
1	32336 31643	 * 	216.70	ACR|3ASPD|2VULN|2DMG|2DUR|2ZMB	1LEGI|28aASPD|3RCR|4aVULN|5RMIN|68ZMB|78DMG|8aBPWR|9aDUR
2	61212 16136	 * 	215.10	DCR|3VULN|2AART|1ASPD|2DUR	18DUST|2BEXP|38DUR|458VULN|6RCR|7aAART|8BPWR|9ASPD
3	63212 16136	   	215.10	DCR|3VULN|2AART|1ASPD|2DUR	18DUST|2FEWX|38DUR|458VULN|6RCR|79AART|8BPWR|aASPD
4	41312 61621	 * 	214.49	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	18VULN|2BEXP|38ASPD|4MLV|5RPLT|6CDMG|78DMG|8BPWR|9RCR|aDUR
5	43332 16313	 * 	211.93	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB|1DUR	14aVULN|2FEWX|3aASPD|5MDPS|6DUR|7DMG|8aZMB|9RCR|aBPWR
6	43361 16313	   	211.93	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB|1DUR	15aVULN|2FEWX|3aASPD|4MDPS|6DUR|7DMG|8aZMB|9RCR|aBPWR
7	42222 31652	 * 	210.39	DCR|3VULN|3DMG|1DUR	157VULN|2RMIN|34RCVC|67aDMG|7BPWR|8DUR|9RCR
8	44222 31252	   	208.80	DCR|3VULN|3DMG|2ZMB	157VULN|27ZMB|34RCVC|67aDMG|7BPWR|8BEXP|9RCR
9	44222 31352	   	208.80	DCR|3VULN|3DMG|2ZMB	157VULN|27ZMB|34RCVC|67aDMG|7BPWR|8LWND|9RCR
10	32332 31624	 * 	206.71	ACR|2VULN|2DMG|2ASPD|1NUKE|1AAC|1ZMB	1LEGI|28ASPD|3RCR|48VULN|5AME|6ZMB|78DMG|8BPWR|9AAC|aNUKE
11	41221 16132	 * 	206.51	DCR|2VULN|1AART|1ASPD|1NUKE|3DUR	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9ASPD|aNUKE
12	41221 16152	 * 	206.51	DCR|2VULN|1AART|1DMG|1NUKE|3DUR	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9DMG|aNUKE
13	41221 16153	 * 	206.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9DMG|aASPD
14	41223 16132	   	206.51	DCR|2VULN|1AART|1ASPD|1NUKE|3DUR	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9ASPD|aNUKE
15	41223 16152	   	206.51	DCR|2VULN|1AART|1DMG|1NUKE|3DUR	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9DMG|aNUKE
16	41223 16153	   	206.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9DMG|aASPD
17	41312 61622	   	206.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|2aBEXP|38ASPD|4MLV|5RPLT|6CDMG|78DMG|8BPWR|9RCR
18	41312 61623	   	206.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|2BEXP|38ASPD|4MLV|5RPLT|6CDMG|78DMG|8BPWR|9RCR|aLWND
19	32332 31621	 * 	205.47	ACR|2VULN|1MDPS|2DMG|2ASPD|1AAC|1ZMB	1LEGI|28ASPD|3RCR|48VULN|5AME|6ZMB|78DMG|8BPWR|9AAC|aMDPS
