0	Index      	 *	Score 	Summary	Detail	
1	64112 31511	 * 	211.20	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1ZMB	1MULARM|2DUST|3AART|4ZMB|5ASPD|67DMG|8RCR|9VULN|aNUKE
2	63612 32633	 * 	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MULARM|2DUR|3MLV|49VULN|5CDMG|6RCR|7DMG|8AART|aZMB
3	63212 32633	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MULARM|2DUR|3TLV|49VULN|5CDMG|6RCR|7DMG|8AART|aZMB
4	13363 11543	 * 	202.16	DCR|2VULN|2DMG|2ASPD|1AAC|1ZMB	1AAC|2BELT|39DMG|4RMIN|59ASPD|69VULN|7RPLT|8RCR|9BPWR|aZMB
5	13343 11533	   	202.06	DCR|2VULN|2DMG|2ASPD|1AAC|1ZMB	1AAC|2BELT|39DMG|4ERES|59ASPD|69VULN|7RPLT|8RCR|9BPWR|aZMB
6	63112 13212	 * 	201.77	DCR|2VULN|2AART|1ASPD|2ZMB|1DUR	1aMULARM|2DUR|37AART|4aZMB|5ASPD|6MLV|8RCR|9aVULN|aBPWR
7	63112 33212	   	201.67	DCR|2VULN|2AART|1ASPD|2ZMB|1DUR	1aMULARM|2DUR|37AART|4aZMB|5ASPD|6TLV|8RCR|9aVULN|aBPWR
8	61243 11511	   	200.87	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1AAC	1MULARM|2AAC|37DMG|4LHND|5ASPD|6AART|8RCR|9VULN|aNUKE
9	63112 53362	 * 	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1MULARM|2DUR|3AART|4ZMB|58ASPD|6RCR|7BEXP|9DMG|aVULN
10	31333 15422	 * 	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1CGEN|256VULN|3ERES|4LWND|7ASPD|8AART|9RCR|aDMG
11	31343 15422	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1CGEN|256VULN|3ERES|4LHND|7ASPD|8AART|9RCR|aDMG
12	63112 13211	 * 	198.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1MULARM|2DUR|37AART|4ZMB|5ASPD|6MLV|8RCR|9VULN|aDMG
13	63112 33211	   	197.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1MULARM|2DUR|37AART|4ZMB|5ASPD|6TLV|8RCR|9VULN|aDMG
14	31461 23522	 * 	197.06	DCR|3VULN|2DMG|1AART	1CGEN|248VULN|34FEWX|4BPWR|5AART|6ERES|7aDMG|9RCR
15	31333 45423	   	196.96	DCR|3VULN|2DMG|1AART	1CGEN|25aVULN|3ERES|4LWND|67DMG|8AART|9RCR
16	31441 23522	   	196.96	DCR|3VULN|2DMG|1AART	1CGEN|248VULN|3FEWX|5AART|6ERES|7aDMG|9RCR
17	63112 53361	 * 	196.46	DCR|2ASPD|1AART|1DMG|1NUKE|1ZMB|1DUR	1MULARM|2DUR|3AART|4ZMB|58ASPD|6RCR|7BEXP|9DMG|aNUKE
18	31461 23523	 * 	195.32	DCR|4VULN|1AART|1DMG	1CGEN|248aVULN|34FEWX|4BPWR|5AART|6ERES|7DMG|9RCR
19	31441 23523	   	195.22	DCR|4VULN|1AART|1DMG	1CGEN|248aVULN|3FEWX|5AART|6ERES|7DMG|9RCR
20	66133 23423	 * 	194.91	ACR|3VULN|2DMG|1AART|1CDMG	1MULARM|2RCR|3AART|478VULN|5TLV|6CDMG|9aDMG
21	31333 45422	 * 	194.78	DCR|3DMG|2VULN|1AART	1CGEN|25VULN|3ERES|4LWND|67aDMG|8AART|9RCR
22	14151 13212	 * 	193.93	DCR|2VULN|2AART|2ASPD|1AAC	1AAC|2aAME|3aASPD|4MSLREG|5FEWX|67AART|8RCR|9aVULN|aBPWR
23	14153 13212	   	193.93	DCR|2VULN|2AART|2ASPD|1AAC	1AAC|2aAME|3aASPD|4MSLREG|5BEXP|67AART|8RCR|9aVULN|aBPWR
24	13363 61216	   	193.83	DCR|2VULN|2DMG|2ASPD|1AAC	1AAC|2BELT|38DMG|4RMIN|58ASPD|68CGEN|7RCR|8BPWR|9aVULN
25	13363 41216	   	193.63	DCR|2VULN|2DMG|2ASPD|1AAC	1AAC|2BELT|38DMG|4RMIN|58ASPD|68ERES|7RCR|8BPWR|9aVULN
26	16262 36221	 * 	193.58	DCR|3VULN|2AAC|1AART|1ASPD|1DUR	15AAC|247VULN|3RMIN|6RCR|7BPWR|8ASPD|9AART|aDUR
27	16162 32433	 * 	193.48	DCR|3VULN|2AAC|1AART|1DMG|1DUR	15AAC|24aVULN|3TLV|6RCR|7AART|8DUR|9DMG
28	62112 13212	   	193.46	DCR|2VULN|2AART|1ASPD|2ZMB	1aMULARM|2BEXP|37AART|4aZMB|5ASPD|6MLV|8RCR|9aVULN|aBPWR
29	66133 23521	 * 	193.40	ACR|3VULN|2AART|1DMG|1CDMG	1MULARM|2RCR|38AART|47aVULN|5TLV|6CDMG|9DMG
30	62112 33212	   	193.36	DCR|2VULN|2AART|1ASPD|2ZMB	1aMULARM|2BEXP|37AART|4aZMB|5ASPD|6TLV|8RCR|9aVULN|aBPWR
31	63632 53212	   	193.36	DCR|2VULN|2AART|1ASPD|1AAC|2DUR	1aMULARM|2aDUR|3MLV|47AART|5ASPD|6AAC|8RCR|9aVULN|aBPWR
32	63232 53212	   	193.26	DCR|2VULN|2AART|1ASPD|1AAC|2DUR	1aMULARM|2aDUR|3TLV|47AART|5ASPD|6AAC|8RCR|9aVULN|aBPWR
33	16162 32432	 * 	193.23	DCR|2VULN|2DMG|2AAC|1AART|1DUR	15AAC|24VULN|3TLV|6RCR|7AART|8DUR|9aDMG
