0	Index      	 *	Score 	Summary	Detail	
1	11542 36333	 * 	223.54	DCR|3VULN|3ASPD|1DMG|1ZMB|1DUR	19aVULN|236ASPD|4DMG|5ZMB|7DUR|8RCR
2	11542 36331	 * 	221.96	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB|1DUR	19VULN|236ASPD|4DMG|5ZMB|7DUR|8RCR|aCDMG
3	41532 36331	 * 	216.81	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1AME|278VULN|3ASPD|4AART|5RMIN|6ZMB|9RCR|aDMG
4	41532 36333	 * 	216.81	DCR|3VULN|1AART|1ASPD|1NUKE|1ZMB	1AME|278VULN|3ASPD|4AART|5RMIN|6ZMB|9RCR|aNUKE
5	11542 34333	   	215.23	DCR|3VULN|3ASPD|1DMG|1ZMB	19aVULN|236ASPD|4DMG|5ZMB|7FEWX|8RCR
6	11512 36431	 * 	215.19	DCR|3ASPD|2VULN|2DMG|1ZMB	1aVULN|23aASPD|4CGEN|5ZMB|6aDMG|7BELT|8RCR|9DMSP|aBPWR
7	11521 36431	   	215.19	DCR|3ASPD|2VULN|2DMG|1ZMB	1aVULN|23aASPD|4ZMB|5MLV|6aDMG|7BELT|8RCR|9DMSP|aBPWR
8	11532 36431	   	215.19	DCR|3ASPD|2VULN|2DMG|1ZMB	1aVULN|23aASPD|4AME|5ZMB|6aDMG|7BELT|8RCR|9DMSP|aBPWR
9	11523 36431	   	215.09	DCR|3ASPD|2VULN|2DMG|1ZMB	1aVULN|23aASPD|4ZMB|5TLV|6aDMG|7BELT|8RCR|9DMSP|aBPWR
10	11526 26133	 * 	214.06	DCR|4VULN|2ASPD|1DMG|1AAC|1ZMB	1569VULN|23ASPD|4ZMB|7AAC|8DMG|aRCR
11	11542 34331	   	213.65	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB	19VULN|236ASPD|4DMG|5ZMB|7FEWX|8RCR|aCDMG
12	12253 33413	 * 	213.47	DCR|4VULN|1AART|2CDMG|1ZMB	1258VULN|3CGEN|48BEXP|68CDMG|7RCR|8BPWR|9ZMB|aAART
13	12643 33413	   	213.37	DCR|4VULN|1AART|2CDMG|1ZMB	1258VULN|3DUST|48CGEN|68CDMG|7RCR|8BPWR|9ZMB|aAART
14	12123 33666	 * 	212.99	DCR|5VULN|1DMG|1CDMG	1259aVULN|3LHND|4RMIN|6CDMG|7RCR|8DMG
15	12143 44323	 * 	212.72	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	125VULN|3LHND|4CGEN|6ASPD|7DMG|8AART|9SPLARM|aMDPS
16	11543 23632	 * 	212.53	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	156VULN|23ASPD|4DMG|7CGEN|8CDMG|9DUR|aRCR
17	11541 43232	 * 	212.29	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	18VULN|23ASPD|46DMG|5MLV|7CDMG|9DUR|aRCR
18	11543 42312	   	211.82	DCR|4VULN|2ASPD|1DMG	159aVULN|23ASPD|4DMG|6RCR|7FEWX|8MLV
19	11543 43212	   	211.72	DCR|4VULN|2ASPD|1DMG	159aVULN|23ASPD|4DMG|6RCR|7TLV|8LWND
20	12213 33413	   	211.17	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	128VULN|34CGEN|58DUR|68CDMG|7RCR|8BPWR|9ZMB|aAART
21	11646 11333	 * 	210.29	DCR|3VULN|1ASPD|1DMG|1NUKE|1DUR	159VULN|2ASPD|3DUR|4LWND|6DMG|7RMIN|8RCR|aNUKE
22	13252 42363	 * 	210.09	DCR|3VULN|1AART|2CDMG|1DMG	158VULN|2BEXP|37CDMG|4RMIN|6DMG|9RCR|aAART
23	11522 44112	   	209.53	DCR|3VULN|2ASPD|1DMG|2ZMB	19aVULN|23ASPD|45ZMB|6RCR|7DMG|8BEXP
24	11522 44212	   	209.53	DCR|3VULN|2ASPD|1DMG|2ZMB	19aVULN|23ASPD|45ZMB|6RCR|7DMG|8LWND
25	11541 23128	 * 	209.01	1SPLARM|2VULN|1MDPS|2ASPD|1AART|1DMG	17VULN|23ASPD|4DMG|5MLV|6AART|8MBVNT|9SPLARM|aMDPS
26	41532 52331	 * 	208.70	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AME|28VULN|3ASPD|4AART|5RMIN|6DMG|7DMSP|9RCR|aNUKE
27	11321 63366	 * 	208.24	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	18VULN|28ASPD|3DUST|4ZMB|58ERES|6RCR|7DLOT|8BPWR|9CDMG|aAART
28	11663 23622	 * 	208.23	DCR|3VULN|2ASPD|2CDMG|2DUR	158VULN|26ASPD|38DUR|4RCVC|78CDMG|8BPWR|9LHND|aRCR
29	12143 33436	 * 	207.72	DCR|4VULN|2CDMG|1DMG|1DUR	1258VULN|3LHND|48CGEN|68CDMG|7RCR|8BPWR|9DUR|aDMG
30	12263 33436	   	207.72	DCR|4VULN|2CDMG|1DMG|1DUR	1258VULN|3CGEN|48LWND|68CDMG|7RCR|8BPWR|9DUR|aDMG
31	12123 33664	   	207.04	DCR|4VULN|1DMG|1CDMG|1DUR	1259VULN|3LHND|4RMIN|6CDMG|7RCR|8DMG|aDUR
32	11351 62322	 * 	206.65	DCR|3VULN|2ASPD|3CDMG	19aVULN|2aASPD|389DUST|4MLV|5ERES|6RCR|79aCDMG|9aBPWR
33	41532 52332	   	206.47	DCR|3VULN|1AART|1ASPD|1DMG	1AME|28aVULN|3ASPD|4AART|5RMIN|6DMG|7DMSP|9RCR
34	11321 61315	   	205.96	DCR|2VULN|2DMG|2ASPD|1ZMB	18VULN|28ASPD|3DUST|4ZMB|58ERES|6RCR|7BELT|8BPWR|9aDMG
35	12333 33413	   	205.93	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	128VULN|38AELBLL|4MLV|5DUR|68CDMG|7RCR|8BPWR|9ZMB|aAART
36	11521 26335	   	205.71	DCR|3ASPD|2VULN|1DMG|1ZMB|1DUR	19VULN|236ASPD|4ZMB|5MLV|7DUR|8RCR|aDMG
37	11542 36332	   	205.71	DCR|3ASPD|2VULN|1DMG|1ZMB|1DUR	19VULN|236ASPD|4DMG|5ZMB|7DUR|8RCR|aLIT
38	13225 31261	 * 	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2BEXP|34CDMG|5AART|6ASPD|8DMG|9RCR|aAME
39	13225 31262	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2BEXP|34CDMG|5AART|6ASPD|8DMG|9RCR|aAELBLL
40	13225 31263	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2aBEXP|34CDMG|5AART|6ASPD|8DMG|9RCR
41	13225 31265	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2BEXP|34CDMG|5AART|6ASPD|8DMG|9RCR|aMLV
42	13225 31264	   	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2BEXP|34CDMG|5AART|6ASPD|8DMG|9RCR|aERES
43	16225 31261	   	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2DUST|34CDMG|5AART|6ASPD|8DMG|9RCR|aAME
44	16225 31262	   	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2DUST|34CDMG|5AART|6ASPD|8DMG|9RCR|aAELBLL
45	16225 31263	   	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	17VULN|2DUST|34CDMG|5AART|6ASPD|8DMG|9RCR|aBEXP
46	12123 14532	 * 	204.80	DCR|3VULN|2DMG|1CDMG|1ZMB	125VULN|3LHND|4RMIN|67DMG|8CDMG|9ZMB|aRCR
47	12623 14532	   	204.70	DCR|3VULN|2DMG|1CDMG|1ZMB	125VULN|3DUST|4RMIN|67DMG|8CDMG|9ZMB|aRCR
48	12243 21532	   	204.43	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1256VULN|3CGEN|4DMG|7DUR|8CDMG|9ZMB|aRCR
49	11543 23622	   	204.22	DCR|3VULN|2ASPD|1DMG|1CDMG	156VULN|23ASPD|4DMG|7CGEN|8CDMG|9LHND|aRCR
50	12623 12134	 * 	204.16	DCR|4VULN|1AART|1DMG	125aVULN|3DUST|4RMIN|6DMG|7FEWX|8RCR|9AART
