0	Index      	 *	Score 	Summary	Detail	
1	13221 51452	 * 	222.74	DCR|4VULN|1MDPS|1ASPD|1DMG|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8DMG|aMDPS
2	31235 24123	 * 	215.13	DCR|2AART|2DMG|1MDPS|1VULN|1NUKE|1CDMG	15AART|2MDPS|3CDMG|48DMG|6RCVC|7RCR|9VULN|aNUKE
3	31261 14112	 * 	215.13	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8aDMG|9VULN
4	31263 24112	   	215.13	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8aDMG|9VULN
5	31265 14112	   	215.13	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD|1CDMG	14AART|2MDPS|3CDMG|5RCVC|6ASPD|7RCR|8aDMG|9VULN
6	13221 11452	   	214.43	DCR|4VULN|1MDPS|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6FEWX|7RCR|8DMG|aMDPS
7	13221 31452	   	214.33	DCR|4VULN|1MDPS|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6DUST|7RCR|8DMG|aMDPS
8	13223 41452	   	214.33	DCR|4VULN|1MDPS|1ASPD|1DMG	1ASPD|2RPLT|3469VULN|5DUST|7RCR|8DMG|aMDPS
9	33163 63114	 * 	213.56	ACR|3VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RCR|3LIT|4ASPD|6DMG|7CDMG|89aVULN
10	31231 16562	 * 	213.03	DCR|3DMG|2VULN|1MDPS|1AART|1CDMG	1AART|2MDPS|3CDMG|49aDMG|5MLV|67VULN|8RCR
11	36335 11123	   	212.53	DCR|2AART|2DMG|1VULN|1NUKE|2DUR	15AART|26DUR|3RPLT|48DMG|7RCR|9VULN|aNUKE
12	33242 15116	 * 	212.03	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|56DUR|7DMG|89VULN|aMDPS
13	33244 35312	 * 	211.91	ACR|3VULN|2ASPD|1AART|1DMG|1CDMG	1AART|2RCR|3aASPD|4CDMG|5aCGEN|6AME|7DMG|89aVULN|aBPWR
14	13221 51416	 * 	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2RPLT|345VULN|6DUR|7RCR|8DMG|9LWND|aAART
15	13221 51362	 * 	211.38	DCR|3VULN|1MDPS|2ASPD|1ZMB|1DUR	18ASPD|2RPLT|345VULN|6DUR|7RCR|9ZMB|aMDPS
16	33242 15115	   	211.04	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|56DUR|7DMG|89aVULN
17	12332 11166	 * 	210.27	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1CDMG	17ASPD|27LHND|3CDMG|4LIT|57VULN|6MDPS|7BPWR|8AART|9DMG|aRCR
18	13224 15513	   	209.22	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	17ASPD|2RPLT|34VULN|5CDMG|6DMG|8RCR|9MLV|aMDPS
19	13224 15523	   	209.22	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	17ASPD|2RPLT|34VULN|5CDMG|6DMG|8RCR|9AME|aMDPS
20	31325 16523	 * 	208.32	DCR|3VULN|2AART|1MDPS|3CDMG	14AART|2MDPS|3aLHND|59aCDMG|67aVULN|8RCR|aBPWR
21	33252 41372	 * 	208.04	ACR|3ASPD|2VULN|2DMG|1MDPS|1AART	1AART|2RCR|39aASPD|4MBVNT|5MSLREG|69VULN|79DMG|8MDPS|9BPWR
22	35243 34123	 * 	207.64	DCR|1VULN|1AART|2CDMG|1DMG|1NUKE|1ZMB|1DUR	1AART|2RMIN|3DUR|46CDMG|5VULN|7RCR|8DMG|9ZMB|aNUKE
23	36335 41123	   	207.29	DCR|2AART|2DMG|1VULN|1NUKE|1DUR	15AART|2DUR|3RPLT|48DMG|6RCVC|7RCR|9VULN|aNUKE
24	14121 21452	   	207.23	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1ASPD|2ZMB|3BEXP|4AAC|5CDMG|69VULN|7RCR|8DMG|aMDPS
25	14321 21452	   	207.13	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1ASPD|2ZMB|3DUST|4AAC|5CDMG|69VULN|7RCR|8DMG|aMDPS
26	13221 51425	   	206.89	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1ASPD|2RPLT|345VULN|6DUR|7RCR|8DMG|9RMIN|aMDPS
27	33243 36116	   	206.79	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RCR|3ASPD|4CDMG|59VULN|6DMSP|7DUR|8DMG|aMDPS
28	13241 41341	 * 	206.66	DCR|3ASPD|2VULN|2DMG	158ASPD|2RPLT|36VULN|4LHND|7RCR|9aDMG
29	13251 41341	   	206.66	DCR|3ASPD|2VULN|2DMG	158ASPD|2RPLT|36VULN|4BEXP|7RCR|9aDMG
30	13261 41341	   	206.56	DCR|3ASPD|2VULN|2DMG	158ASPD|2RPLT|36VULN|4DUST|7RCR|9aDMG
31	13221 51355	   	206.29	DCR|3VULN|1MDPS|2ASPD|2DUR	18ASPD|2RPLT|345VULN|69DUR|7RCR|aMDPS
32	33243 35323	   	206.07	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG|1ZMB	1aAART|2RCR|3ASPD|4CDMG|58VULN|6DMSP|7DMG|9ZMB
33	33243 45323	   	206.07	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG|1ZMB	1aAART|2RCR|3ASPD|4CDMG|58VULN|6RCVC|7DMG|9ZMB
