0	Index      	 *	Score 	Summary	Detail	
1	24122 16233	 * 	414.40	橙3易伤1双倍秒伤1暴击2时间2卖塔	13时间236易伤3序列升级4雷电减费57卖塔8核9暴击a双倍秒伤
2	24122 41512	 * 	398.89	橙3易伤1双倍秒伤3时间1卖塔	137时间237易伤37序列升级4雷电减费5卖塔67敌人爆炸8核9矿等a双倍秒伤
3	24122 41522	 * 	398.89	橙3易伤1双倍秒伤3时间1卖塔	137时间237易伤37序列升级4雷电减费5卖塔67敌人爆炸8核9技能a双倍秒伤
4	24122 51512	 * 	398.89	橙3易伤1双倍秒伤3时间1卖塔	137时间237易伤37序列升级4雷电减费5卖塔67低血量敌人8核9矿等a双倍秒伤
5	24122 51522	 * 	398.89	橙3易伤1双倍秒伤3时间1卖塔	137时间237易伤37序列升级4雷电减费5卖塔67低血量敌人8核9技能a双倍秒伤
6	24122 24212	 * 	398.20	橙2易伤1双倍秒伤2等级3时间1卖塔	139时间23易伤39序列升级4雷电减费5卖塔6核79等级89最后敌人a双倍秒伤
7	26242 22361	 * 	397.88	紫2双倍秒伤2易伤2时间1等级	1a时间2基地爆炸36易伤4核5赏金邻近7等级89双倍秒伤
8	26242 22362	   	397.88	紫2双倍秒伤2易伤1等级1时间	1时间2基地爆炸36易伤4核5赏金邻近7等级89双倍秒伤a攻速
9	26242 22363	   	397.88	紫2双倍秒伤2易伤1等级1时间	1时间2基地爆炸36易伤4核5赏金邻近7等级89双倍秒伤a金币生成
10	24233 54321	 * 	394.99	橙3易伤1双倍秒伤1伤害1时间	1时间248易伤3寒冰对黄5基地爆炸6技能7核9伤害a双倍秒伤
11	23217 41148	   	394.89	橙3易伤1双倍秒伤1伤害1时间	1时间2赏金塔389易伤4加一5随机技能6核7伤害a双倍秒伤
12	24122 25323	   	390.92	橙2易伤1双倍秒伤1暴击2时间1伤害1卖塔	13时间23易伤3序列升级4雷电减费5卖塔6核7暴击8伤害9策反a双倍秒伤
13	24122 25361	   	390.92	橙2易伤1双倍秒伤1暴击2时间1伤害1卖塔	13时间23易伤3序列升级4雷电减费5卖塔6核7暴击8伤害9喷火对甲a双倍秒伤
14	24232 24241	   	387.58	橙3易伤1双倍秒伤2时间	19时间249易伤3寒冰对黄5策反69最后敌人7核8技能9序列升级a双倍秒伤
15	23233 25553	   	384.75	橙2易伤1双倍秒伤1暴击1等级1时间	1时间2赏金塔35易伤4低血量敌人6矿等7暴击8核9等级a双倍秒伤
16	23233 15543	   	384.65	橙2易伤1双倍秒伤1暴击1等级1时间	1时间2赏金塔35易伤4低血量敌人6等级7暴击8核9掉矿a双倍秒伤
