0	Index      	 *	Score 	Summary	Detail	
1	43214 63122	 * 	415.98	橙3易伤1双倍秒伤1暴击1时间1全技能	1时间2全技能345易伤6核7暴击8低血量敌人9挖尘a双倍秒伤
2	43111 31521	 * 	400.64	橙2易伤1双倍秒伤2等级2时间1全技能	19时间2全技能3基地爆炸49易伤5最后敌人6核7随机技能89等级9序列升级a双倍秒伤
3	43313 31521	   	400.54	橙2易伤1双倍秒伤2等级2时间1全技能	19时间2全技能3最后敌人49易伤5挖尘6核7随机技能89等级9序列升级a双倍秒伤
4	63252 21116	 * 	391.94	紫2双倍秒伤2易伤1伤害1时间	14易伤2时间3核5低血量敌人6基地爆炸7伤害8技能9a双倍秒伤
5	63252 31116	   	391.94	紫2双倍秒伤2易伤1伤害1时间	14易伤2时间3核5低血量敌人6敌人爆炸7伤害8技能9a双倍秒伤
6	43231 61334	   	390.96	橙2易伤1双倍秒伤1等级1伤害1时间1全技能	1时间2全技能38易伤4等级5攻速6核7挖青9伤害a双倍秒伤
7	61324 24211	 * 	390.53	橙2双倍秒伤1易伤2时间1伤害	1易伤2伤害34时间5头目6核7a双倍秒伤8随机技能9激光对绿
8	43214 61331	   	388.58	橙3易伤1双倍秒伤1全技能1时间	1时间2全技能345易伤6核7基地爆炸8雷电9双倍秒伤a攻速
9	43214 61332	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能345易伤6核7基地爆炸8雷电9双倍秒伤a技能点
10	43214 61333	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能345易伤6核7基地爆炸8雷电9双倍秒伤a暴雪减费
11	43214 62321	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能345易伤6核7技能8赏金塔9随机技能a双倍秒伤
12	43315 62221	   	388.58	橙3易伤1双倍秒伤2时间1全技能	1a时间2全技能35最后敌人458易伤5序列升级6核7散射对喷气9双倍秒伤
13	43315 62222	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能35最后敌人458易伤5序列升级6核7散射对喷气9双倍秒伤a额外掉落
14	43315 62223	 * 	388.58	橙4易伤1双倍秒伤1时间1全技能	1时间2全技能35最后敌人458a易伤5序列升级6核7散射对喷气9双倍秒伤
15	43315 62233	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能35最后敌人458易伤5序列升级6核7散射对喷气9赏金塔a双倍秒伤
16	43315 63221	   	388.58	橙3易伤1双倍秒伤2时间1全技能	1a时间2全技能35最后敌人458易伤5序列升级6核7加农对毒9双倍秒伤
17	43315 63222	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能35最后敌人458易伤5序列升级6核7加农对毒9双倍秒伤a额外掉落
18	43315 63223	   	388.58	橙4易伤1双倍秒伤1时间1全技能	1时间2全技能35最后敌人458a易伤5序列升级6核7加农对毒9双倍秒伤
19	43315 63233	   	388.58	橙3易伤1双倍秒伤1时间1全技能	1时间2全技能35最后敌人458易伤5序列升级6核7加农对毒9赏金塔a双倍秒伤
