0	Index      	 *	Score 	Summary	Detail	
1	22141 53314	 * 	281.45	橙橙2易伤2伤害	1金币生成2赏金塔3随机矿47易伤59伤害6a核8掉矿
2	22141 53114	   	263.96	橙橙2易伤1伤害	1金币生成2赏金塔38随机矿47易伤5伤害6a核9等级
3	45232 22383	   	263.76	橙橙2易伤1伤害	1电塔对甲2技能3随机矿45易伤69核7伤害8加一a额外掉落
4	45133 22383	   	263.76	橙橙2易伤1伤害	14电塔对甲2技能34易伤4序列升级5随机矿69核7伤害8加一a额外掉落
5	45232 22381	   	263.66	橙橙2易伤1伤害1挖怪	1电塔对甲2技能3随机矿45易伤69核7伤害8加一a挖怪
6	45232 22382	   	263.66	橙橙2易伤1伤害	1电塔对甲2技能3随机矿45易伤69核7伤害8加一a加农对甲
7	45232 22384	   	263.66	橙橙2易伤1伤害1策反	1电塔对甲2技能3随机矿45易伤69核7伤害8加一a策反
8	45133 22381	   	263.66	橙橙2易伤1伤害1挖怪	14电塔对甲2技能34易伤4序列升级5随机矿69核7伤害8加一a挖怪
9	45133 22382	   	263.66	橙橙2易伤1伤害	14电塔对甲2技能34易伤4序列升级5随机矿69核7伤害8加一a加农对甲
10	45133 22384	   	263.66	橙橙2易伤1伤害1策反	14电塔对甲2技能34易伤4序列升级5随机矿69核7伤害8加一a策反
11	24212 22154	   	263.63	橙橙1易伤1矿等2时间1攻速	1金币生成2攻速35时间4矿等6随机矿7a核8双倍秒伤9易伤
12	16112 62234	   	257.08	橙橙1易伤1矿等1攻速	1最后敌人2立即金币3挖尘4矿等5时间6攻速7a核8基地爆炸9易伤
13	23315 12154	   	256.98	橙橙1易伤1矿等1攻速	1金币生成2激光减费3攻速4矿等5随机矿6时间7a核8双倍秒伤9易伤
14	13322 32154	   	255.24	橙橙2伤害1易伤	1最后敌人2金币生成3立即金币46伤害5低血量敌人7a核8双倍秒伤9易伤
15	33324 32154	   	255.24	橙橙2伤害1易伤	1低血量敌人2金币生成3立即金币46伤害5最后敌人7a核8双倍秒伤9易伤
16	11321 32134	   	255.14	橙橙2伤害1易伤	1最后敌人2掉矿3立即金币46伤害5敌人爆炸7a核8双倍秒伤9易伤
17	11322 32134	   	255.14	橙橙2伤害1易伤	1最后敌人2掉矿3立即金币46伤害5低血量敌人7a核8双倍秒伤9易伤
18	13122 32154	   	255.14	橙橙2伤害1易伤	1最后敌人2金币生成3激光减费46伤害5低血量敌人7a核8双倍秒伤9易伤
19	23122 32154	   	255.14	橙橙2伤害1易伤	1金币生成2激光减费3最后敌人46伤害5低血量敌人7a核8双倍秒伤9易伤
20	31324 32134	   	255.14	橙橙2伤害1易伤	1低血量敌人2掉矿3立即金币46伤害5最后敌人7a核8双倍秒伤9易伤
21	33124 32154	   	255.14	橙橙2伤害1易伤	1低血量敌人2金币生成3激光减费46伤害5最后敌人7a核8双倍秒伤9易伤
22	11121 32134	   	255.04	橙橙2伤害1易伤	1最后敌人2掉矿3激光减费46伤害5敌人爆炸7a核8双倍秒伤9易伤
23	11122 32134	   	255.04	橙橙2伤害1易伤	1最后敌人2掉矿3激光减费46伤害5低血量敌人7a核8双倍秒伤9易伤
24	31124 32134	   	255.04	橙橙2伤害1易伤	1低血量敌人2掉矿3激光减费46伤害5最后敌人7a核8双倍秒伤9易伤
25	63421 13432	   	254.21	橙橙1易伤1攻速1暴击1全技能1卖塔	1卖塔2挖青3全技能4金币生成5电塔对黄68核7暴击9攻速a易伤
26	23524 33314	 * 	252.54	紫橙2易伤2伤害	1金币生成2激光减费3a核4敌人爆炸57易伤6赏金塔89伤害
27	23536 33314	   	252.54	紫橙2易伤2伤害	1金币生成2激光减费3a核4赏金邻近5最后敌人67易伤89伤害
28	23354 12134	 * 	251.90	橙橙1易伤2攻速	1金币生成2激光减费34攻速5易伤6时间7a核8双倍秒伤9基地爆炸
29	23351 12154	   	251.90	橙橙1易伤2攻速	1金币生成2激光减费34攻速5低血量敌人6时间7a核8双倍秒伤9易伤
