0	Index      	 *	Score 	Summary	Detail	
1	13112 61626	 * 	220.42	橙3易伤3伤害3暴击1全技能	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a全技能
2	12213 22661	   	215.26	橙3易伤3伤害3暴击1策反	189暴击2策反389易伤4攻速5最后敌人6核789伤害89序列升级a敌人爆炸
3	12213 22662	   	215.26	橙3易伤3伤害3暴击1策反	189暴击2策反389易伤4攻速5最后敌人6核789伤害89序列升级a矿等
4	12213 22664	   	215.26	橙3易伤3伤害3暴击1策反	189暴击2策反389易伤4攻速5最后敌人6核789伤害89序列升级a额外掉落
5	12213 22666	   	215.16	橙3易伤3伤害3暴击1策反	189暴击2策反389易伤4攻速5最后敌人6核789伤害89序列升级a挖尘
6	12215 22633	 * 	204.77	橙2易伤2伤害1全技能2暴击2策反	18暴击29策反38易伤4攻速5敌人爆炸6核78伤害8序列升级a全技能
7	13112 61621	   	204.16	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a攻速
8	12215 22664	   	200.82	橙2易伤2伤害1全技能2暴击1策反	18暴击2策反38易伤4攻速5敌人爆炸6核78伤害8序列升级9加一a全技能
9	56434 51214	 * 	199.62	紫3易伤3伤害1暴击2时间	1加一2核35时间459易伤5序列升级678伤害a暴击
10	35313 22663	 * 	199.55	橙5易伤3伤害	1平台23489易伤589最后敌人6核789伤害89序列升级a立即金币
11	63232 11426	 * 	199.00	橙5易伤2伤害1全技能	12679易伤37最后敌人47伤害5全技能7序列升级8金币生成a核
12	35313 22662	   	198.25	橙5易伤3伤害	1平台23489易伤589最后敌人6核789伤害89序列升级a基地爆炸
13	35313 22661	   	198.15	橙5易伤3伤害	1平台23489易伤589最后敌人6核789伤害89序列升级a掉矿
14	13612 61622	   	197.32	橙3易伤3伤害3暴击	178暴击278最后敌人3敌人爆炸49a易伤578伤害6核78序列升级
15	13112 61622	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a敌人爆炸
16	13112 61624	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a低血量敌人
17	13112 61625	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a基地爆炸
18	13112 61634	   	197.22	橙3易伤3伤害3暴击	178暴击2a最后敌人3挖青478易伤578伤害6核78序列升级9额外掉落
19	13112 61635	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9额外掉落a双倍矿
20	13112 61636	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9额外掉落a平台
21	13112 61642	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9低血量敌人a机枪对壮
22	13112 61643	   	197.22	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9低血量敌人a敌人爆炸
23	13112 61623	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a等级
