0	Index      	 *	Score 	Summary	Detail	
1	65122 33126	 * 	374.73	DCR|3VULN|1MDPS|1DUR	136VULN|2LIT|48DUST|5LSRREG|7RCR|9DUR|aMDPS
2	61413 25212	 * 	367.49	DCR|3VULN|3DMG|2DUR|1TLV	17aVULN|2TLV|367RAT|47aDMG|5BOSS|7aBPWR|8RCR|9aDUR
3	61536 21112	 * 	365.58	2MDPS|2VULN|1CDMG|1TLV|1DUR	16VULN|2TLV|3ZMB|4LHND|5CDMG|7LIT|8DUR|9aMDPS
4	61636 21112	   	365.58	2MDPS|2VULN|1CDMG|1TLV|1DUR	16VULN|2TLV|3AAC|4LHND|5CDMG|7LIT|8DUR|9aMDPS
5	21623 66112	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2LHND|3RCVC|4RAT|5VULN|6AEWIND|7RCR|8DUR|9aMDPS
6	22123 66112	   	358.01	DCR|2MDPS|1VULN|1DUR	1AEFRZ|23LWND|4RAT|5VULN|6AEWIND|7RCR|8DUR|9aMDPS
7	22623 66112	   	358.01	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2LWND|3RCVC|4RAT|5VULN|6AEWIND|7RCR|8DUR|9aMDPS
8	52123 66112	   	358.01	DCR|2MDPS|1VULN|1DUR	1AEPOI|23LWND|4RAT|5VULN|6AEWIND|7RCR|8DUR|9aMDPS
9	31252 21612	   	358.00	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2TLV|3SELL|46VULN|5DMG|7LIT|8FEWX|9aMDPS
10	31252 24112	   	358.00	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2TLV|3SELL|46VULN|5DMG|7FEWX|8LIT|9aMDPS
11	31252 26112	   	358.00	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2TLV|3SELL|46VULN|5DMG|7BEXP|8LIT|9aMDPS
12	61251 51112	   	358.00	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	14VULN|2TLV|3SELL|5DMG|6LHND|7LIT|8DUR|9aMDPS
13	31252 21212	   	357.90	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL|1MSE	1DUR|2TLV|3SELL|46VULN|5DMG|7LIT|8MSE|9aMDPS
14	31252 21512	   	357.90	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2TLV|3SELL|46VULN|5DMG|7LIT|8DUST|9aMDPS
15	31252 25112	   	357.90	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2TLV|3SELL|46VULN|5DMG|7DUST|8LIT|9aMDPS
16	31252 25612	   	357.90	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2TLV|3SELL|46VULN|5DMG|7DUST|8BOSS|9aMDPS
17	61253 32312	   	357.90	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	14VULN|2TLV|3SELL|5DUR|6LIT|7DUST|8DMG|9aMDPS
18	61253 52312	   	357.90	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	14VULN|2TLV|3SELL|5DUR|6BOSS|7DUST|8DMG|9aMDPS
19	61253 22261	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL|1MSE	14VULN|2TLV|3SELL|5DUR|6SNITOX|7LWND|8RCR|9MDPS|aMSE
20	61253 22262	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	14VULN|2TLV|3SELL|5DUR|6SNITOX|7LWND|8RCR|9MDPS|aZMB
21	61253 22263	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	14VULN|2TLV|3SELL|5DUR|6SNITOX|7LWND|8RCR|9MDPS|aFEWX
