0	Index      	 *	Score 	Summary	Detail	
1	32235 33316	 * 	357.15	4VULN|1MDPS|2TLV|1DUR	1LEGI|27AEFBLL|3LHND|47TLV|5679VULN|7BPWR|8DUR|aMDPS
2	62433 15131	 * 	334.12	DCR|1MDPS|1VULN|2TLV|1DUR|1AART	14TLV|24ERES|3AART|4BPWR|5CANSTR|6RCR|7VULN|8DUR|9CGEN|aMDPS
3	62433 15321	   	334.12	DCR|1MDPS|1VULN|2TLV|1DUR|1AART	14TLV|24ERES|3AART|4BPWR|5CANSTR|6RCR|7VULN|8BELT|9DUR|aMDPS
4	12624 12243	 * 	331.84	2MDPS|2VULN|1DMG|1DUR	1TBNT|25LIT|37VULN|4AIRHEA|6DMG|8DUR|9aMDPS
5	12653 12243	   	331.84	2MDPS|2VULN|1DMG|1DUR	1TBNT|2LIT|37VULN|4RCVC|5VENICY|6DMG|8DUR|9aMDPS
6	12624 13143	   	331.84	2MDPS|2VULN|1DMG|1DUR	1TBNT|25LIT|38VULN|4AIRHEA|6DMG|7DUR|9aMDPS
7	12653 13143	   	331.84	2MDPS|2VULN|1DMG|1DUR	1TBNT|2LIT|38VULN|4RCVC|5VENICY|6DMG|7DUR|9aMDPS
8	63225 22212	 * 	331.18	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|23BEXP|4DUR|5VULN|6RAT|7CDMG|8AAC|9RCR|aMDPS
9	63225 22612	   	331.18	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|23BEXP|4DUR|5VULN|6RAT|7CDMG|8ZMB|9RCR|aMDPS
10	63325 22212	   	331.18	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2BEXP|3RCVC|4DUR|5VULN|6RAT|7CDMG|8AAC|9RCR|aMDPS
11	63325 22612	   	331.18	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2BEXP|3RCVC|4DUR|5VULN|6RAT|7CDMG|8ZMB|9RCR|aMDPS
12	12311 32443	 * 	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|3LWND|4LHND|56VULN|7AAC|8DUR|9RCR|aMDPS
13	12311 33443	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|3LWND|4LHND|56VULN|7RMIN|8DUR|9RCR|aMDPS
14	12411 32443	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|3LHND|4LWND|56VULN|7AAC|8DUR|9RCR|aMDPS
15	12411 33443	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|3LHND|4LWND|56VULN|7RMIN|8DUR|9RCR|aMDPS
16	12611 12243	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|35VULN|4LHND|6AAC|7DUR|8FEWX|9RCR|aMDPS
17	12613 32443	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|36VULN|4LHND|5LWND|7AAC|8DUR|9RCR|aMDPS
18	12613 33443	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2LIT|36VULN|4LHND|5LWND|7RMIN|8DUR|9RCR|aMDPS
19	13224 42323	   	331.14	DCR|2VULN|1MDPS|1DUR	1TBNT|2BEXP|3MLV|45VULN|6DUR|7CGEN|8FEWX|9RCR|aMDPS
20	42324 11216	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1LWND|2LHND|3LIT|4ERES|5TLV|6RCR|7DUR|8CDMG|9VULN|aMDPS
21	61225 22212	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2AEPOI|3FEWX|4DUR|5VULN|6RAT|7CDMG|8AAC|9RCR|aMDPS
22	61225 22612	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2AEPOI|3FEWX|4DUR|5VULN|6RAT|7CDMG|8ZMB|9RCR|aMDPS
23	62315 12216	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|5DUR|6RCR|7LWND|8CDMG|9VULN|aMDPS
24	63225 22112	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|23BEXP|4DUR|5VULN|6RAT|7CDMG|8RCR|9ERES|aMDPS
25	63325 22112	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2BEXP|3RCVC|4DUR|5VULN|6RAT|7CDMG|8RCR|9ERES|aMDPS
26	13224 42623	   	331.04	DCR|2VULN|1MDPS|1DUR	1TBNT|2BEXP|3MLV|45VULN|6DUR|7CGEN|8AETHUN|9RCR|aMDPS
27	15124 42323	   	331.04	DCR|2VULN|1MDPS|1DUR	1TBNT|2AME|3BEXP|45VULN|6DUR|7CGEN|8FEWX|9RCR|aMDPS
28	61225 22112	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2AEPOI|3FEWX|4DUR|5VULN|6RAT|7CDMG|8RCR|9ERES|aMDPS
29	62316 11231	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|5VULN|6RCR|7DUR|8CDMG|9MDPS|aAEFBLL
30	62316 11232	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3aLIT|4LHND|5VULN|6RCR|7DUR|8CDMG|9MDPS
31	62316 11233	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|5VULN|6RCR|7DUR|8CDMG|9MDPS|aAETHUN
32	62316 11234	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|5VULN|6RCR|7DUR|8CDMG|9MDPS|aDUST
33	62316 11235	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|5VULN|6RCR|7DUR|8CDMG|9MDPS|aAEFRZ
34	62316 11236	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|5VULN|6RCR|7DUR|8CDMG|9MDPS|aTBNT
35	34324 11216	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1LEGI|2FEWX|3LIT|4ERES|5TLV|6RCR|7DUR|8CDMG|9VULN|aMDPS
36	43324 11216	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1LWND|2DUST|3LIT|4ERES|5TLV|6RCR|7DUR|8CDMG|9VULN|aMDPS
