0	Index      	 *	Score 	Summary	Detail	
1	54423 13231	 * 	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1CGEN|2AART|3DUST|4MBVNT|57VULN|6RCR|8AAC|9DUR|aMDPS
2	43532 21253	 * 	343.50	DCR|2VULN|1MDPS|2DUR	1BBNT|29DUR|3BEXP|49VULN|5MLV|6AME|7RCR|89VENICY|9BPWR|aMDPS
3	54233 32361	 * 	338.69	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR|1AART	1CGEN|2AART|3DMG|4FEWX|5CDMG|6VULN|7BOSS|8RCR|9DUR|aMDPS
4	34225 24121	 * 	331.84	2MDPS|2VULN|1DMG|1DUR	14AEFBLL|2BELT|3DUR|5DMG|6MSLTOX|78VULN|9aMDPS
5	34235 24121	   	331.84	2MDPS|2VULN|1DMG|1DUR	1AEFBLL|2BELT|3DUR|4LHND|5DMG|6AIRHEA|78VULN|9aMDPS
6	26345 23233	   	331.04	DCR|2VULN|1MDPS|1DUR	1ERES|2BBNT|3DUR|45VULN|6CGEN|7LWND|8RCR|9RAT|aMDPS
7	42345 23233	   	331.04	DCR|2VULN|1MDPS|1DUR	1BBNT|2CGEN|3DUR|45VULN|6ERES|7LWND|8RCR|9RAT|aMDPS
8	22225 42133	   	330.94	DCR|2VULN|1MDPS|1DUR	14ERES|2AME|3LWND|5DUR|6RCR|79VULN|8BELT|aMDPS
9	26345 22233	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|2BBNT|3DUR|45VULN|6CGEN|7DUST|8RCR|9RAT|aMDPS
10	34214 61134	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEFBLL|2BELT|3DUR|4TBNT|5MBVNT|6RCR|7LWND|89VULN|aMDPS
11	34214 63124	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEFBLL|2BELT|3DUR|4TBNT|5MBVNT|6RCR|7FEWX|89VULN|aMDPS
12	34214 64134	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEFBLL|2BELT|3DUR|4TBNT|5MBVNT|6RCR|7BEXP|89VULN|aMDPS
13	42345 22233	   	330.94	DCR|2VULN|1MDPS|1DUR	1BBNT|2CGEN|3DUR|45VULN|6ERES|7DUST|8RCR|9RAT|aMDPS
14	43266 23211	   	330.94	DCR|2VULN|1MDPS|1DUR	1BBNT|2DUR|3AME|4FRZICY|5AEFBLL|69VULN|7RCR|8RPLT|aMDPS
15	43226 23211	   	330.84	DCR|2VULN|1MDPS|1DUR	1BBNT|2DUR|3AME|4MULARM|5AEFBLL|69VULN|7RCR|8RPLT|aMDPS
16	34245 32333	 * 	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1AEFBLL|2BELT|39DUR|4LIT|56CDMG|7RCR|8VULN|aMDPS
17	54423 12441	 * 	325.33	DCR|DCR|2VULN|1DUR|1AART	1CGEN|2AART|3DUST|4MBVNT|58VULN|69RCR|7LSRHEA|aDUR
18	54423 14441	   	325.33	DCR|DCR|2VULN|1AART|1DUR	1CGEN|2AART|3DUST|4MBVNT|58VULN|69RCR|7TSLFST|aDUR
19	51132 53231	   	318.43	DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	1CGEN|2RMIN|3DUR|4TBNT|5CDMG|6AEBURN|7RCR|8VULN|9AART|aMDPS
20	43534 21122	 * 	316.03	DCR|1MDPS|1VULN|2DUR|1TLV	1BBNT|28DUR|3BEXP|4VULN|5TLV|6MLV|7RCR|9NUKE|aMDPS
