0	Index      	 *	Score 	Summary	Detail	
1	21222 53335	 * 	393.66	DCR|4VULN|3DMG|2DUR|1AART	1NUKE|2AART|3MBVNT|479DMG|5679VULN|79BPWR|89DUR|aRCR
2	21222 53338	 * 	393.66	4VULN|1MDPS|3DMG|2DUR|1AART	1NUKE|2AART|3MBVNT|479DMG|5679VULN|79BPWR|89DUR|aMDPS
3	22213 23141	 * 	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1NUKE|2TBNT|369VULN|4AART|5RCVC|6BPWR|7DUR|8RCR|aMDPS
4	23313 64336	 * 	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1NUKE|26CDMG|3LWND|45VULN|7AART|8RCR|9DUR|aMDPS
5	23322 13336	   	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1NUKE|25CDMG|3LWND|4AART|67VULN|8RCR|9DUR|aMDPS
6	23422 13336	   	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1NUKE|25CDMG|3LHND|4AART|67VULN|8RCR|9DUR|aMDPS
7	11716 14126	 * 	384.12	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1ERES|2MBVNT|3DUST|4FEWX|5VULN|67RCR|8DUR|9TLV|aMDPS
8	53213 52223	 * 	383.17	2MDPS|3VULN|1CDMG|1DUR	1DUR|2CGEN|3CDMG|456VULN|7BEXP|8FEWX|9aMDPS
9	53213 52523	   	383.17	2MDPS|3VULN|1CDMG|1DUR	1DUR|2CGEN|3CDMG|456VULN|7BEXP|8LHND|9aMDPS
10	13213 52223	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1ERES|2DUR|3CDMG|456VULN|7BEXP|8FEWX|9aMDPS
11	13213 52523	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1ERES|2DUR|3CDMG|456VULN|7BEXP|8LHND|9aMDPS
12	14213 54223	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1ERES|246VULN|3CDMG|5LHND|7DUR|8FEWX|9aMDPS
13	63213 52223	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1AME|2DUR|3CDMG|456VULN|7BEXP|8FEWX|9aMDPS
14	63213 52523	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1AME|2DUR|3CDMG|456VULN|7BEXP|8LHND|9aMDPS
15	53213 52423	   	383.07	2MDPS|3VULN|1CDMG|1DUR|1MSE	1DUR|2CGEN|3CDMG|456VULN|7BEXP|8MSE|9aMDPS
16	13213 52423	   	382.97	2MDPS|3VULN|1CDMG|1DUR|1MSE	1ERES|2DUR|3CDMG|456VULN|7BEXP|8MSE|9aMDPS
17	14233 54223	   	382.97	2MDPS|3VULN|1CDMG|1DUR	1ERES|256VULN|3CDMG|4LEGI|7DUR|8FEWX|9aMDPS
18	63213 52423	   	382.97	2MDPS|3VULN|1CDMG|1DUR|1MSE	1AME|2DUR|3CDMG|456VULN|7BEXP|8MSE|9aMDPS
19	12243 11522	   	374.83	DCR|3VULN|1MDPS|1DUR	1ERES|2RMIN|3DUST|459VULN|6DUR|7RCR|8RAT|aMDPS
20	62243 11522	   	374.83	DCR|3VULN|1MDPS|1DUR	1AME|2RMIN|3DUST|459VULN|6DUR|7RCR|8RAT|aMDPS
21	23313 44336	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1NUKE|2CDMG|3LWND|45VULN|6RCVC|7AART|8RCR|9DUR|aMDPS
22	23323 13336	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1NUKE|2CDMG|35LWND|4AART|67VULN|8RCR|9DUR|aMDPS
23	13213 62526	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1ERES|2DUR|3CDMG|45VULN|6ASPD|7RCR|8AART|9AAC|aMDPS
24	52161 13521	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18DUR|2LHND|34VULN|5CDMG|6AEFRZ|7RCR|9MDPS|aAIRHEA
25	52161 13522	 * 	370.90	DCR|2VULN|1MDPS|3DUR|1CDMG	18aDUR|2LHND|34VULN|5CDMG|6AEFRZ|7RCR|9MDPS
26	52161 13523	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18DUR|2LHND|34VULN|5CDMG|6AEFRZ|7RCR|9MDPS|aBBNT
