0	Index      	 *	Score 	Summary	Detail	
1	65432 32233	 * 	383.55	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	13DUR|2BEXP|4RMIN|56VULN|7TLV|8RCR|9AART|aMDPS
2	53611 61233	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1LHND|267VULN|3BEXP|4ERES|5MLV|8RCR|9DUR|aMDPS
3	53612 61233	   	374.83	DCR|3VULN|1MDPS|1DUR	1LHND|267VULN|3BEXP|4ERES|5AME|8RCR|9DUR|aMDPS
4	64132 32233	   	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1DUR|2DMSP|3BEXP|4RMIN|56VULN|7TLV|8RCR|9AART|aMDPS
5	64341 32233	   	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1DUR|2DMSP|3ZMB|46VULN|5BEXP|7TLV|8RCR|9AART|aMDPS
6	64352 32233	   	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1DUR|2DMSP|3ZMB|4BEXP|56VULN|7TLV|8RCR|9AART|aMDPS
7	64242 21233	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1DUR|2DMSP|3TLV|47VULN|5RMIN|6DUST|8RCR|9AART|aMDPS
8	66633 12332	 * 	357.97	ACR|2MDPS|1VULN|1CDMG|2DUR	16DUR|2FRZFST|3DMSP|4RPLT|5RCR|7VULN|8CDMG|9aMDPS
9	66333 12332	   	357.87	ACR|2MDPS|1VULN|1CDMG|2DUR	16DUR|2FRZFST|3AEFBLL|4RPLT|5RCR|7VULN|8CDMG|9aMDPS
10	53113 31353	   	357.55	DCR|2VULN|1MDPS|1TLV|1DUR	18LHND|28VULN|3DUR|4ERES|58BEXP|6RCR|7RPLT|8BPWR|9TLV|aMDPS
11	52132 32233	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3BEXP|4RMIN|56VULN|7TLV|8RCR|9DUR|aMDPS
12	52152 34233	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3BEXP|4TLV|56VULN|7CGEN|8RCR|9DUR|aMDPS
13	52241 34233	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|46VULN|5BEXP|7CGEN|8RCR|9DUR|aMDPS
