0	Index      	 *	Score 	Summary	Detail	
1	12136 23652	 * 	384.39	DCR|3VULN|3DMG|2TLV|2DUR	137FEWX|24aVULN|57DUR|67aDMG|7aBPWR|8RCR|9aTLV
2	52322 23652	 * 	381.65	DCR|4VULN|2TLV|3DUR	167aLHND|257aVULN|357DUR|4AAC|57aBPWR|8RCR|9aTLV
3	52311 11324	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1LHND|289VULN|3DUR|4LEGI|5FEWX|6RCR|7CANSTR|aMDPS
4	12634 11324	   	374.83	DCR|3VULN|1MDPS|1DUR	1FEWX|289VULN|3BEXP|4DUR|5DUST|6RCR|7CANSTR|aMDPS
5	52314 11324	   	374.73	DCR|3VULN|1MDPS|1DUR	1LHND|289VULN|3DUR|4LEGI|5DUST|6RCR|7CANSTR|aMDPS
6	12134 51361	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5LHND|6DUR|7CDMG|8RCR|9MDPS|aLWND
7	12134 51362	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	13FEWX|24VULN|5LHND|6DUR|7CDMG|8RCR|9MDPS|aTLV
8	12134 51363	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5LHND|6DUR|7CDMG|8RCR|9MDPS|aLIT
9	12136 36261	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5DUR|6BOSS|7RCR|8CDMG|9MDPS|aTBNT
10	12136 36262	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5DUR|6BOSS|7RCR|8CDMG|9MDPS|aAEBURN
11	12136 36263	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5DUR|6BOSS|7RCR|8CDMG|9MDPS|aRAT
12	12363 51361	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|25VULN|3LHND|4RCVC|6DUR|7CDMG|8RCR|9MDPS|aLWND
13	12363 51362	   	358.54	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1FEWX|25VULN|3LHND|4RCVC|6DUR|7CDMG|8RCR|9MDPS|aTLV
14	12363 51363	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|25VULN|3LHND|4RCVC|6DUR|7CDMG|8RCR|9MDPS|aLIT
15	12136 41361	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5DUR|6LEGI|7CDMG|8RCR|9MDPS|aLWND
16	12136 41362	   	358.44	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	13FEWX|24VULN|5DUR|6LEGI|7CDMG|8RCR|9MDPS|aTLV
17	12136 41363	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	13FEWX|24VULN|5DUR|6LEGI|7CDMG|8RCR|9MDPS|aLIT
