0	Index      	 *	Score 	Summary	Detail	
1	35312 12316	 * 	402.61	DCR|2VULN|1MDPS|3DUR|1CDMG|1DMG	16VULN|2CDMG|357DUR|4RAT|8DMG|9RCR|aMDPS
2	35333 35224	 * 	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	169VULN|2CDMG|3DUR|4LWND|5LIT|7RCR|8AEBURN|aMDPS
3	31255 22315	   	401.23	DCR|3VULN|1MDPS|1TLV|1DUR	159VULN|24FEWX|3BEXP|6RCR|7DUR|8TLV|aMDPS
4	31435 22315	   	401.03	DCR|3VULN|1MDPS|1TLV|1DUR	159VULN|2FEWX|3AEPOI|4DUST|6RCR|7DUR|8TLV|aMDPS
5	25151 32613	   	397.30	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	1TLV|2AAC|36VULN|49DUR|5RMIN|7RCR|8CDMG|aMDPS
6	25153 32613	   	397.30	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	1TLV|2AAC|36VULN|49DUR|5CGEN|7RCR|8CDMG|aMDPS
7	26136 22613	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2CGEN|35VULN|4DUST|6RCR|7DUR|8CDMG|9FEWX|aMDPS
8	25222 52484	 * 	384.65	DCR|2VULN|1MDPS|3TLV|1DUR	139TLV|2AAC|4DUR|59LIT|6RCR|7MBVNT|89VULN|9BPWR|aMDPS
9	35312 16116	   	382.54	DCR|2VULN|1MDPS|3DUR|1CDMG	16VULN|2CDMG|358DUR|4RAT|7ZMB|9RCR|aMDPS
10	21166 12613	 * 	380.59	DCR|1MDPS|1VULN|2TLV|1CDMG|2DUR|1DMG	14TLV|2DMG|3VULN|59DUR|6MLV|7RCR|8CDMG|aMDPS
11	31312 26133	   	375.03	DCR|3VULN|1MDPS|1DUR	148VULN|2FEWX|38AME|58CGEN|6RCR|7RPLT|8BPWR|9DUR|aMDPS
12	31312 35133	   	375.03	DCR|3VULN|1MDPS|1DUR	148VULN|2FEWX|38AME|58CGEN|6RPLT|7RCR|8BPWR|9DUR|aMDPS
13	31366 26133	   	375.03	DCR|3VULN|1MDPS|1DUR	158VULN|2FEWX|38AME|48CGEN|6RCR|7RPLT|8BPWR|9DUR|aMDPS
14	31366 35133	   	375.03	DCR|3VULN|1MDPS|1DUR	158VULN|2FEWX|38AME|48CGEN|6RPLT|7RCR|8BPWR|9DUR|aMDPS
15	31255 22115	   	374.93	DCR|3VULN|1MDPS|1DUR	159VULN|24FEWX|3BEXP|6RCR|7DUR|8AME|aMDPS
16	32265 22115	   	374.93	DCR|3VULN|1MDPS|1DUR	159VULN|24LWND|3BEXP|6RCR|7DUR|8AME|aMDPS
17	32265 23215	   	374.93	DCR|3VULN|1MDPS|1DUR	159VULN|24LWND|3BEXP|6RCR|7AME|8DUR|aMDPS
18	31435 22115	   	374.73	DCR|3VULN|1MDPS|1DUR	159VULN|2FEWX|3AEPOI|4DUST|6RCR|7DUR|8AME|aMDPS
19	32435 22115	   	374.73	DCR|3VULN|1MDPS|1DUR	159VULN|2LWND|3AEPOI|4DUST|6RCR|7DUR|8AME|aMDPS
20	32435 23215	   	374.73	DCR|3VULN|1MDPS|1DUR	159VULN|2LWND|3AEPOI|4DUST|6RCR|7AME|8DUR|aMDPS
21	26153 26133	   	374.54	DCR|2VULN|1MDPS|2TLV|1DUR	18TLV|2CGEN|38VULN|4RCVC|58FEWX|6RCR|7RPLT|8BPWR|9DUR|aMDPS
22	26133 26153	   	374.34	DCR|2VULN|1MDPS|2TLV|1DUR	18TLV|25CGEN|38VULN|48DUST|6RCR|7RPLT|8BPWR|9DUR|aMDPS
