0	Index      	 *	Score 	Summary	Detail	
1	22325 35431	 * 	303.91	DCR|3LIT|3VULN|2DMG|1CDMG	1RMIN|245LIT|35DMG|5BPWR|6RCR|78aVULN|9CDMG
2	22325 35433	   	298.02	DCR|3LIT|2VULN|2DMG|1AART|1CDMG	1RMIN|245LIT|35DMG|5BPWR|6RCR|78VULN|9CDMG|aAART
3	22312 52244	 * 	295.42	DCR|3LIT|3DMG|3ASPD|1VULN	17RMIN|289LIT|389DMG|4DMSP|589ASPD|6RCR|89BPWR|aVULN
4	22313 52244	   	295.42	DCR|3LIT|3DMG|3ASPD|1VULN	1RMIN|289LIT|389DMG|45DMSP|6RCR|789ASPD|89BPWR|aVULN
5	23222 55324	 * 	292.57	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	1RMIN|25VULN|3CDMG|469LIT|7DMG|8RCR|aMLV
6	22533 61423	   	290.36	DCR|3LIT|3VULN|2DMG	15RMIN|24aLIT|3BELT|6RCR|78aVULN|9aDMG|aBPWR
7	22325 35432	   	288.71	DCR|3LIT|2VULN|2DMG|1CDMG	1RMIN|245LIT|35DMG|5BPWR|6RCR|78VULN|9CDMG|aZMB
8	22325 46212	 * 	284.26	DCR|3LIT|3DMG|1VULN|1MLV	1RMIN|245LIT|358DMG|5BPWR|6BELT|7VULN|9RCR|aMLV
9	22315 52261	   	283.87	DCR|3LIT|3DMG|1VULN|2ASPD	1RMIN|258LIT|358DMG|4DMSP|58BPWR|6RCR|78ASPD|9RPLT|aVULN
10	22325 31436	 * 	283.67	DCR|3LIT|2VULN|3DMG	1RMIN|245LIT|35aDMG|5aBPWR|6RCR|79aDUST|8aVULN
11	22325 35136	   	283.67	DCR|3LIT|2VULN|3DMG	1RMIN|245LIT|35aDMG|5aBPWR|6RCR|7aVULN|89aDUST
12	22325 31312	   	283.67	DCR|3LIT|3DMG|1VULN|2ASPD	1RMIN|245LIT|359DMG|59BPWR|6RCR|79DUST|89ASPD|aVULN
13	22325 15112	   	283.06	DCR|3LIT|3VULN|2DMG	1RMIN|245LIT|35DMG|5BPWR|678VULN|9RPLT|aRCR
14	23222 55321	   	282.62	DCR|3LIT|3VULN|1DMG|1CDMG	1RMIN|25aVULN|3CDMG|469LIT|7DMG|8RCR
15	22322 55111	   	282.57	DCR|2LIT|3VULN|1DMG|1ASPD|1CDMG	1RMIN|24LIT|3DMG|5ASPD|6RCR|789VULN|aCDMG
16	22325 35413	   	281.77	DCR|3LIT|2VULN|2DMG|1CDMG	1RMIN|245LIT|35DMG|5BPWR|6RCR|78VULN|9BEXP|aCDMG
17	22325 35423	   	281.77	DCR|3LIT|2VULN|2DMG|1CDMG	1RMIN|245LIT|35DMG|5BPWR|6RCR|78VULN|9LWND|aCDMG
18	23222 55325	   	280.54	DCR|3LIT|2VULN|1DMG|1NUKE|1CDMG	1RMIN|25VULN|3CDMG|469LIT|7DMG|8RCR|aNUKE
19	22621 64132	 * 	279.15	DCR|2LIT|3VULN|1MLV|1CDMG	1RMIN|2aLIT|358VULN|4LWND|6CDMG|7RCR|9MLV
20	23121 64132	   	279.15	DCR|2LIT|3VULN|1MLV|1CDMG	1RMIN|258VULN|3aLIT|4LWND|6CDMG|7RCR|9MLV
21	23222 14132	   	279.15	DCR|2LIT|3VULN|1MLV|1CDMG	1RMIN|258VULN|3CDMG|4aLIT|6FEWX|7RCR|9MLV
22	23222 44132	   	279.15	DCR|2LIT|3VULN|1MLV|1CDMG	1RMIN|258VULN|3CDMG|4aLIT|6LWND|7RCR|9MLV
23	23141 64132	   	279.05	DCR|2LIT|3VULN|1MLV|1CDMG	1RMIN|258VULN|3aLIT|4DUR|6CDMG|7RCR|9MLV
24	23161 64132	   	279.05	DCR|2LIT|3VULN|1MLV|1CDMG	1RMIN|258VULN|3aLIT|4DUST|6CDMG|7RCR|9MLV
25	61621 13832	 * 	279.00	DCR|2LIT|2MLV|3VULN	1LSRREG|267VULN|36LIT|4MBVNT|5RPLT|6BPWR|89MLV|aRCR
26	22321 18138	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1RMIN|24LIT|3DMG|5MBVNT|6MLV|7RCR|8aVULN|9ASPD
27	23222 55323	   	276.73	DCR|3LIT|2VULN|1DMG|1AART|1CDMG	1RMIN|25VULN|3CDMG|469LIT|7DMG|8RCR|aAART
28	23111 64134	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RMIN|258VULN|3LIT|4BEXP|6CDMG|7RCR|9MLV|aDMG
29	23121 64134	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RMIN|258VULN|3LIT|4LWND|6CDMG|7RCR|9MLV|aDMG
30	23222 14134	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RMIN|258VULN|3CDMG|4LIT|6FEWX|7RCR|9MLV|aDMG
31	23222 34134	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RMIN|258VULN|3CDMG|4LIT|6BEXP|7RCR|9MLV|aDMG
32	23222 44134	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RMIN|258VULN|3CDMG|4LIT|6LWND|7RCR|9MLV|aDMG
33	22342 24151	 * 	275.47	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1RMIN|25LIT|35DMG|4SELL|5BPWR|6BEXP|78VULN|9MLV|aRCR
34	23111 64135	 * 	275.45	DCR|4VULN|1LIT|1MLV|1CDMG	1RMIN|258aVULN|3LIT|4BEXP|6CDMG|7RCR|9MLV
35	23121 64135	   	275.45	DCR|4VULN|1LIT|1MLV|1CDMG	1RMIN|258aVULN|3LIT|4LWND|6CDMG|7RCR|9MLV
36	23222 14135	   	275.45	DCR|4VULN|1LIT|1MLV|1CDMG	1RMIN|258aVULN|3CDMG|4LIT|6FEWX|7RCR|9MLV
37	23222 34135	   	275.45	DCR|4VULN|1LIT|1MLV|1CDMG	1RMIN|258aVULN|3CDMG|4LIT|6BEXP|7RCR|9MLV
38	23222 44135	   	275.45	DCR|4VULN|1LIT|1MLV|1CDMG	1RMIN|258aVULN|3CDMG|4LIT|6LWND|7RCR|9MLV
39	22342 14151	 * 	275.37	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1RMIN|25LIT|35DMG|4SELL|5BPWR|6LEGI|78VULN|9MLV|aRCR
40	22342 34151	 * 	275.37	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1RMIN|25LIT|35DMG|4SELL|5BPWR|6DUST|78VULN|9MLV|aRCR
41	23222 55351	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1aRMIN|25VULN|3CDMG|46LIT|7DMG|8RCR|9MLV
42	23222 55352	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1RMIN|25VULN|3CDMG|46LIT|7DMG|8RCR|9MLV|aRCVC
43	23222 55353	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1RMIN|25VULN|3CDMG|46LIT|7DMG|8RCR|9MLV|aRPLT
