0	Index      	 *	Score 	Summary	Detail	
1	42123 23535	 * 	305.18	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6LIT|78MLV|8BPWR|9RCR|aASPD
2	32425 16331	 * 	302.96	DCR|3LIT|3VULN|1MLV|1DMG	14TLV|234LIT|4BPWR|5DMG|69aVULN|7RCR|8MLV
3	42323 43533	 * 	298.10	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|28VULN|3DUR|4CDMG|58DMG|6MLV|78LIT|8BPWR|9RCR|aZMB
4	52311 31413	 * 	295.02	DCR|2LIT|4VULN|2DMG|2ZMB|1SELL	18DMG|25LIT|3478VULN|68ZMB|8BPWR|9SELL|aRCR
5	42123 23534	   	291.58	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6LIT|78MLV|8BPWR|9RCR|aCGEN
6	52211 36135	 * 	291.49	DCR|3LIT|2MLV|2DMG|1VULN|1SELL	1aDMG|28aLIT|3DUST|4VULN|5SELL|6aMLV|7AART|9RCR|aBPWR
7	42123 23531	   	291.43	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6LIT|78MLV|8BPWR|9RCR|aDLOT
8	42123 23532	   	291.43	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6LIT|78MLV|8BPWR|9RCR|aDUR
9	42123 23533	   	291.43	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6LIT|78MLV|8BPWR|9RCR|aSPLREG
10	42123 23536	   	291.43	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6LIT|78MLV|8BPWR|9RCR|aMBVNT
11	42123 43531	   	291.17	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6MLV|78LIT|8BPWR|9RCR|aDLOT
12	42123 43532	   	291.17	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6MLV|78LIT|8BPWR|9RCR|aDUR
13	42123 43533	   	291.17	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|28VULN|3FEWX|4CDMG|58DMG|6MLV|78LIT|8BPWR|9RCR|aSPLREG
14	42323 43531	   	291.07	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|28VULN|3DUR|4CDMG|58DMG|6MLV|78LIT|8BPWR|9RCR|aDLOT
15	42323 43532	   	291.07	DCR|2LIT|2VULN|2DMG|1MLV|2DUR|1CDMG	1FRZARM|28VULN|3aDUR|4CDMG|58DMG|6MLV|78LIT|8BPWR|9RCR
16	42123 43312	   	289.47	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|29VULN|38FEWX|4CDMG|59DMG|6MLV|79LIT|9BPWR|aRCR
17	42123 43612	   	289.47	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|29VULN|3FEWX|4CDMG|59DMG|6MLV|79LIT|8RCVC|9BPWR|aRCR
18	42323 43612	   	289.37	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1FRZARM|29VULN|3DUR|4CDMG|59DMG|6MLV|79LIT|8RCVC|9BPWR|aRCR
19	42323 43212	   	289.27	DCR|2LIT|2VULN|2DMG|1MLV|2DUR|1CDMG	1FRZARM|29VULN|38DUR|4CDMG|59DMG|6MLV|79LIT|9BPWR|aRCR
20	42123 23312	   	288.88	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|29VULN|38FEWX|4CDMG|59DMG|6LIT|79MLV|9BPWR|aRCR
21	42123 23612	   	288.88	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1FRZARM|29VULN|3FEWX|4CDMG|59DMG|6LIT|79MLV|8RCVC|9BPWR|aRCR
22	22425 16321	   	280.82	DCR|3LIT|2VULN|1MLV|1DMG	149CGEN|234LIT|4BPWR|5DMG|6aVULN|7RCR|8MLV
23	32425 16322	   	280.82	DCR|3LIT|2VULN|1MLV|1DMG	14TLV|234LIT|4BPWR|5DMG|6aVULN|7RCR|8MLV|9CGEN
24	32425 16333	   	280.82	DCR|3LIT|2VULN|1MLV|1DMG	14TLV|234LIT|4BPWR|5DMG|69VULN|7RCR|8MLV|aFEWX
25	22425 16332	   	280.72	DCR|3LIT|2VULN|1MLV|1DMG	14CGEN|234LIT|4BPWR|5DMG|6aVULN|7RCR|8MLV|9ERES
26	32425 16332	   	280.72	DCR|3LIT|2VULN|1MLV|1DMG	14TLV|234LIT|4BPWR|5DMG|69VULN|7RCR|8MLV|aERES
27	43423 23312	   	279.99	DCR|2LIT|2VULN|1MLV|1DMG|2CDMG	1FRZARM|2BEXP|3aVULN|4aCDMG|5DMG|6aLIT|7MLV|8FEWX|9RCR|aBPWR
28	43423 23112	   	279.89	DCR|2LIT|2VULN|1MLV|1DMG|2CDMG	1FRZARM|2BEXP|3aVULN|4aCDMG|5DMG|6aLIT|7MLV|8DUST|9RCR|aBPWR
29	43423 23212	   	279.89	DCR|2LIT|2VULN|1MLV|2CDMG|1DMG	1FRZARM|2BEXP|3aVULN|4aCDMG|5DMG|6aLIT|7MLV|8DUR|9RCR|aBPWR
30	41741 43842	   	277.35	DCR|2LIT|3VULN|1MLV|1ASPD	14FRZARM|2MBVNT|34LIT|4BPWR|59aVULN|6ASPD|7MLV|8RCR
31	53221 45311	 * 	277.27	DCR|2MLV|3VULN|1LIT|1DMG|1SELL	1DMG|2BEXP|36MLV|47aVULN|5SELL|8LIT|9RCR
32	42126 53312	 * 	277.12	DCR|2LIT|2MLV|2VULN|1CDMG	1FRZARM|29VULN|38FEWX|4CDMG|59MLV|6ZMB|79LIT|9BPWR|aRCR
33	42326 53212	   	276.82	DCR|2LIT|2MLV|2VULN|2DUR|1CDMG	1FRZARM|29VULN|38DUR|4CDMG|59MLV|6ZMB|79LIT|9BPWR|aRCR
34	42253 33141	 * 	276.34	DCR|3VULN|1LIT|1FLTARM|1MLV	1FRZARM|25aVULN|3AART|4MLV|6LHND|7RCR|8FLTARM|9LIT
35	52311 33413	 * 	275.85	DCR|2LIT|3VULN|2DMG|2ZMB|1SELL	18DMG|25LIT|348VULN|68ZMB|7RCVC|8BPWR|9SELL|aRCR
