0	Index      	 *	Score 	Summary	Detail	
1	35522 41231	 * 	276.34	DCR|3VULN|1LIT|3ASPD|1MLV	1BASICY|246ASPD|346VULN|46BPWR|59RCVC|7RCR|8LIT|aMLV
2	35531 21133	 * 	275.27	DCR|3LIT|1FLTARM|1VULN|1DMG|1ASPD	156BASICY|2ASPD|3VULN|456LIT|56BPWR|7DMG|8ZMB|9FLTARM|aRCR
3	16143 12211	 * 	273.92	DCR|2LIT|3VULN|2ASPD|1AART|1SELL	19TLV|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aAART
4	56143 12211	 * 	273.72	DCR|2LIT|3VULN|2ASPD|1AART|1SELL	19ERES|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aAART
5	32141 26311	 * 	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1BASICY|24LIT|3AART|5ASPD|6DMG|7aVULN|8MLV|9RCR
6	35522 41221	 * 	270.96	DCR|2LIT|3VULN|3ASPD	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8aLIT|9ERES
7	21336 23111	 * 	266.76	DCR|2LIT|1FLTARM|1MLV|1VULN|1ASPD	17LHND|2FEWX|3FLTARM|4ASPD|5MLV|6VULN|8RCR|9aLIT
8	23336 23111	   	266.66	DCR|2LIT|1FLTARM|1MLV|1VULN|1ASPD|1DUR	17LHND|2DUR|3FLTARM|4ASPD|5MLV|6VULN|8RCR|9aLIT
9	62216 25113	 * 	266.49	DCR|2MLV|1LIT|2VULN|1FLTARM|2DUR|1ASPD	18DUR|28VULN|3RCVC|4AART|5LIT|6ASPD|78MLV|8BPWR|9FLTARM|aRCR
10	62241 25113	   	266.49	DCR|2MLV|1LIT|2VULN|1FLTARM|2DUR|1ASPD	18DUR|28VULN|3RCVC|4LIT|5AART|6ASPD|78MLV|8BPWR|9FLTARM|aRCR
11	31355 33234	 * 	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6VULN|79aLIT|8RCR
12	31616 34211	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1BASICY|2RPLT|3CDMG|4MLV|5ASPD|6DMG|7RCR|8aLIT|9VULN
13	31616 34311	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1BASICY|2RPLT|3CDMG|4MLV|5ASPD|6DMG|7RCR|8VULN|9aLIT
14	31351 51311	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5CDMG|6VULN|7RCR|8ASPD|9aLIT
15	31612 51311	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1BASICY|2RPLT|3CDMG|4MLV|5DMG|6VULN|7RCR|8ASPD|9aLIT
16	66351 11231	 * 	263.84	DCR|3VULN|1LIT|3DMG|2DUR	18DUR|2CGEN|3BELT|489DMG|568VULN|7RCR|8BPWR|aLIT
17	35522 41211	 * 	263.41	DCR|4VULN|1LIT|3ASPD	1BASICY|246ASPD|346aVULN|46BPWR|5RCVC|7RCR|8LIT|9LHND
18	42115 54143	 * 	263.40	DCR|4VULN|1LIT|1MLV	1DMSP|2389VULN|4LEGI|5MBVNT|6RCR|7MLV|aLIT
19	42215 54143	   	263.40	DCR|4VULN|1LIT|1MLV	1DMSP|2389VULN|3BPWR|4LEGI|5MBVNT|6RCR|7MLV|aLIT
20	32621 43523	   	263.13	DCR|2LIT|2VULN|1MLV|1DMG	1BASICY|24LIT|345DUST|4BPWR|6aVULN|7RCR|8DMG|9MLV
21	62216 25313	   	263.06	DCR|2LIT|1FLTARM|1MLV|1VULN|1ASPD|1DUR	1DUR|2VULN|3RCVC|4AART|58LIT|6ASPD|7MLV|9FLTARM|aRCR
22	62241 25313	   	263.06	DCR|2LIT|1FLTARM|1MLV|1VULN|1ASPD|1DUR	1DUR|2VULN|3RCVC|48LIT|5AART|6ASPD|7MLV|9FLTARM|aRCR
23	63116 25313	 * 	262.96	DCR|2LIT|1FLTARM|1MLV|1VULN|2DUR|1ASPD	12DUR|3VULN|4AART|58LIT|6ASPD|7MLV|9FLTARM|aRCR
24	63141 25313	   	262.96	DCR|2LIT|1FLTARM|1MLV|1VULN|2DUR|1ASPD	12DUR|3VULN|48LIT|5AART|6ASPD|7MLV|9FLTARM|aRCR
25	42123 63512	 * 	262.84	DCR|3VULN|2DMG|1MLV|2CDMG	1DMSP|23aVULN|4aCDMG|58DMG|6MLV|7aCANTOX|9RCR|aBPWR
26	42223 63512	   	262.84	DCR|3VULN|2DMG|1MLV|2CDMG	1DMSP|23aVULN|3aBPWR|4aCDMG|58DMG|6MLV|7aCANTOX|9RCR
27	33366 26111	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1BASICY|2LWND|36VULN|4DMG|5MLV|7BEXP|8RCR|9aLIT
28	33366 22111	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1BASICY|2LWND|36VULN|4DMG|5MLV|7DUST|8RCR|9aLIT
29	23336 21562	   	260.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD|1DUR	1LHND|2DUR|3FLTARM|4ASPD|5MLV|6aVULN|7FRZARM|8LIT|9RCR
30	23336 22562	   	260.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD|1DUR	1LHND|2DUR|3FLTARM|4ASPD|5MLV|6aVULN|7FRZICY|8LIT|9RCR
31	42134 12216	 * 	260.10	DCR|2LIT|3VULN|1MLV	1DMSP|238VULN|4AART|5MLV|67LIT|9RMIN|aRCR
32	42234 12216	   	260.10	DCR|2LIT|3VULN|1MLV	1DMSP|238VULN|3BPWR|4AART|5MLV|67LIT|9RMIN|aRCR
33	32141 26313	 * 	259.63	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1BASICY|24LIT|3AART|5aASPD|6DMG|7VULN|8MLV|9RCR
34	42126 16211	 * 	258.60	DCR|3VULN|1LIT|2CDMG|1AART|1ASPD	1DMSP|239VULN|49CDMG|5LIT|6ASPD|79ERES|8RCR|9BPWR|aAART
35	42226 16211	   	258.60	DCR|3VULN|1LIT|2CDMG|1AART|1ASPD	1DMSP|239VULN|39BPWR|49CDMG|5LIT|6ASPD|79ERES|8RCR|aAART
36	16143 15231	   	258.45	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	1TLV|26ASPD|35VULN|4LIT|7CDMG|8RCR|9AART|aMLV
37	35522 41111	   	257.89	DCR|3VULN|1LIT|3ASPD|1CDMG	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8CDMG|9LIT|aLHND
38	35522 41112	   	257.89	DCR|3VULN|1LIT|3ASPD|1CDMG	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8CDMG|9LIT|aLWND
39	35522 41131	   	257.89	DCR|3VULN|1LIT|3ASPD|1CDMG	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8CDMG|9BEXP|aLIT
40	13112 23553	   	257.88	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	19TLV|2MLV|39VULN|4AART|5FEWX|6DMG|79LIT|8SELL|9BPWR|aRCR
41	35522 41113	   	257.79	DCR|3VULN|1LIT|3ASPD|1CDMG	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8CDMG|9LIT|aDUST
42	35522 41121	   	257.79	DCR|3VULN|1LIT|3ASPD|1CDMG	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8CDMG|9DUST|aLIT
43	13113 23553	   	257.78	DCR|2LIT|2VULN|1MLV|1DMG|1DUR|1SELL	19TLV|2MLV|39VULN|4AART|5DUR|6DMG|79LIT|8SELL|9BPWR|aRCR
44	53112 23553	   	257.68	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	19ERES|2MLV|39VULN|4AART|5FEWX|6DMG|79LIT|8SELL|9BPWR|aRCR
45	16143 12212	   	257.67	DCR|2LIT|3VULN|2ASPD|1SELL	19TLV|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aRCVC
46	16143 12213	   	257.67	DCR|2LIT|3VULN|2ASPD|1SELL	19TLV|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aFEWX
47	16143 12214	   	257.67	DCR|2LIT|3VULN|2ASPD|1SELL	19TLV|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aCGEN
48	53113 23553	   	257.58	DCR|2LIT|2VULN|1MLV|1DMG|1DUR|1SELL	19ERES|2MLV|39VULN|4AART|5DUR|6DMG|79LIT|8SELL|9BPWR|aRCR
49	16143 12216	   	257.57	DCR|2LIT|3VULN|2ASPD|1DUR|1SELL	19TLV|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aDUR
50	56143 12212	   	257.47	DCR|2LIT|3VULN|2ASPD|1SELL	19ERES|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aRCVC
51	56143 12213	   	257.47	DCR|2LIT|3VULN|2ASPD|1SELL	19ERES|26ASPD|359VULN|49LIT|7SELL|8RCR|9BPWR|aFEWX
52	16143 63313	 * 	257.27	DCR|2LIT|2VULN|1FLTARM|1ASPD	1TLV|2ASPD|35VULN|48LIT|6AART|7LHND|9FLTARM|aRCR
53	32621 43123	   	256.71	DCR|2LIT|2VULN|1MLV|1ASPD	1BASICY|24LIT|345DUST|4BPWR|6aVULN|7RCR|8ASPD|9MLV
