0	Index      	 *	Score 	Summary	Detail	
1	23331 52536	 * 	286.23	DCR|4VULN|3DMG|1MLV|2ZMB	1378VULN|2MLV|468DMG|58ZMB|8BPWR|9MBVNT|aRCR
2	23352 61241	 * 	284.55	DCR|2LIT|2MLV|3VULN	139VULN|24MLV|5LWND|6aLIT|7CGEN|8RCR
3	23522 33434	 * 	282.44	DCR|3LIT|2MLV|2VULN|1DUR	19VULN|29MLV|3ZMB|4DUR|59FLTHEA|678LIT|9BPWR|aRCR
4	23232 61532	 * 	280.07	DCR|2LIT|3VULN|1MLV|1DMG	146VULN|2MLV|3BEXP|5CANSTR|78LIT|9DMG|aRCR
5	22636 13241	   	278.81	DCR|2LIT|3VULN|1MLV|1CDMG|1SELL	149VULN|2DUST|3aLIT|5MLV|6SELL|7RCR|8CDMG
6	23335 34112	 * 	275.52	DCR|2LIT|2VULN|2DMG|1MLV	13VULN|2MLV|45DMG|6LSRHEA|78LIT|9LHND|aRCR
7	23335 34122	   	275.52	DCR|2LIT|2VULN|2DMG|1MLV	13VULN|2MLV|45DMG|6LSRHEA|78LIT|9LWND|aRCR
8	23332 53342	 * 	275.18	DCR|2MLV|3VULN|1LIT|1DMG	139VULN|29MLV|4DMG|5RPLT|6AART|7LIT|89LHND|9BPWR|aRCR
9	23332 53642	   	275.18	DCR|2MLV|3VULN|1LIT|1DMG	139VULN|29MLV|4DMG|5RPLT|6AART|7LIT|89LWND|9BPWR|aRCR
10	23332 33346	 * 	274.78	DCR|3VULN|1LIT|2DMG|1MLV	139VULN|2MLV|49DMG|5RPLT|6BASARM|7LIT|89BLASTR|9BPWR|aRCR
11	23332 21346	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	13VULN|2MLV|4DMG|5RPLT|6LHND|78LIT|9RCR|aASPD
12	23332 62342	   	270.95	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	139VULN|2MLV|4DMG|5RPLT|6CGEN|7CDMG|8LIT|aRCR
13	22633 32142	   	270.75	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	149VULN|2DUST|3LIT|5NUKE|6DMG|7MLV|8ASPD|aRCR
14	23335 13243	   	270.69	DCR|1LIT|2VULN|2DMG|1MLV|1AART	13VULN|2MLV|45DMG|6RPLT|7DUST|8LIT|9RCR|aAART
15	23331 22514	   	270.68	DCR|4VULN|2DMG|1MLV|2ZMB	1378VULN|2MLV|48DMG|58ZMB|6RCVC|8BPWR|9LWND|aRCR
16	23331 22534	   	270.58	DCR|4VULN|2DMG|1MLV|2ZMB	1378VULN|2MLV|48DMG|58ZMB|6RCVC|8BPWR|9DUST|aRCR
17	23331 22561	   	270.58	DCR|4VULN|2DMG|1MLV|2ZMB	1378VULN|2MLV|48DMG|58ZMB|6RCVC|8BPWR|9ERES|aRCR
