0	Index      	 *	Score 	Summary	Detail	
1	32563 43322	 * 	331.44	DCR|2LIT|2MLV|2VULN|3DMG	12LIT|25BPWR|35aDMG|45MLV|69VULN|7BEXP|8RCR
2	42215 11523	 * 	314.78	ACR|3LIT|2MLV|3VULN|1DMG	1RCR|2RPLT|368LIT|489VULN|58MLV|7RCVC|8BPWR|aDMG
3	32535 22422	 * 	314.64	DCR|2LIT|2MLV|3VULN|1DMG	12LIT|2BPWR|3DMG|469VULN|5LHND|7aMLV|8RCR
4	32563 33321	   	307.96	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|6LWND|7BEXP|8RCR|9aVULN
5	32563 34321	   	307.96	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|6LWND|7FEWX|8RCR|9aVULN
6	32563 43321	   	307.96	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|69VULN|7aBEXP|8RCR
7	32563 13321	   	307.81	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|6DUR|7BEXP|8RCR|9aVULN
8	32563 14321	   	307.81	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|6DUR|7FEWX|8RCR|9aVULN
9	32563 43311	   	307.81	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|6aVULN|7BEXP|8RCR|9DUST
10	32563 43323	   	307.81	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|69VULN|7BEXP|8RCR|aLEGI
11	32563 43331	   	307.81	DCR|2LIT|2MLV|2VULN|2DMG	12LIT|25BPWR|35DMG|45MLV|6aVULN|7BEXP|8RCR|9DUR
