0	Index      	 *	Score 	Summary	Detail	
1	11142 43323	 * 	291.41	ACR|4VULN|2MLV|1LIT|2ASPD|1CDMG	12ASPD|3679VULN|4RCR|56MLV|6BPWR|8CDMG|aLIT
2	13211 25144	 * 	287.24	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	1ASPD|2CDMG|37VULN|4BEXP|58DMG|6RCR|9MLV|aLIT
3	11112 35364	 * 	282.72	DCR|2LIT|2VULN|3ASPD|1MLV	127ASPD|38VULN|4BEXP|5MLV|6RCR|9aLIT
4	45423 12433	 * 	280.67	DCR|2LIT|3VULN|1DMG|1ASPD|1CDMG	13LIT|234VULN|3BPWR|5ASPD|6MBVNT|7RCR|8DUST|9CDMG|aDMG
5	41432 31633	 * 	279.52	DCR|5VULN|2LIT|1ASPD	13LIT|2ASPD|4567aVULN|8RPLT|9RCR
6	45423 12423	 * 	279.05	DCR|2LIT|3VULN|1MLV|1ASPD	13LIT|234VULN|3BPWR|5ASPD|6MBVNT|7RCR|8DUST|9TLV|aMLV
7	42118 44416	 * 	278.88	DCR|2LIT|2MLV|2VULN|1DMG	18LIT|256LWND|38MLV|4MBVNT|78VULN|8BPWR|9RCR|aDMG
8	11212 34425	 * 	278.83	DCR|2MLV|1LIT|2VULN|2ASPD|1DMG	12ASPD|3aLHND|4BEXP|5DMG|6RCR|7aMLV|8LIT|9aVULN|aBPWR
9	14213 35335	 * 	277.68	ACR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2BELT|3FLTARM|4RCR|5CDMG|6DMG|7aLIT|8VULN|9MLV
10	41433 13323	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	13LIT|2ASPD|49VULN|5MBVNT|6FEWX|7RCR|8DMG|aMLV
11	41432 12453	   	276.88	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	13LIT|2ASPD|45VULN|6MBVNT|7RCR|8DUST|9DMG|aMLV
12	45423 12431	   	276.86	DCR|2LIT|3VULN|1AART|1ASPD|1CDMG	13LIT|234VULN|3BPWR|5ASPD|6MBVNT|7RCR|8DUST|9CDMG|aAART
13	11433 23314	 * 	276.58	DCR|2LIT|3ASPD|1VULN|1MLV|1DMG	127ASPD|3RMIN|4DMG|5aLIT|6RCR|8VULN|9MLV
14	11436 32314	   	276.58	DCR|2LIT|3ASPD|1VULN|1MLV|1DMG	125ASPD|3RMIN|4DMG|6RCR|7aLIT|8VULN|9MLV
15	11144 32113	 * 	276.38	ACR|2LIT|2VULN|3ASPD|1MLV|1DMG|1DUR	125ASPD|35VULN|4RCR|5BPWR|6DUR|79LIT|8MLV|aDMG
16	45125 23224	 * 	275.42	DCR|2LIT|2MLV|2FLTARM|1VULN	19LIT|2VULN|39MLV|4BEXP|5RPLT|6ZMB|79FLTARM|8MBVNT|9BPWR|aRCR
17	13215 21343	 * 	275.16	DCR|2LIT|3VULN|2ASPD|1CDMG	19ASPD|2CDMG|39aVULN|4BEXP|5CGEN|6RCR|7BELT|89LIT|9BPWR
18	41432 23613	 * 	275.11	DCR|3LIT|3VULN|2ASPD	13aLIT|2aASPD|457VULN|6ERES|8RCR|9aLHND|aBPWR
19	13226 21346	   	275.06	DCR|2LIT|3VULN|2ASPD|1CDMG	19ASPD|2CDMG|39aVULN|4CGEN|5DUST|6RCR|7BELT|89LIT|9BPWR
20	42118 44415	 * 	274.73	DCR|3LIT|2MLV|2VULN	18aLIT|256LWND|38MLV|4MBVNT|78VULN|8BPWR|9RCR
21	45116 33333	   	274.70	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|28VULN|3MLV|4MBVNT|5ZMB|6ASPD|7RCR|9CDMG|aDMG
22	11144 32114	 * 	273.61	ACR|3LIT|2VULN|3ASPD|1MLV|1DUR	125ASPD|35VULN|4RCR|5BPWR|6DUR|79aLIT|8MLV
23	13231 25144	 * 	273.49	DCR|1LIT|2DMG|1VULN|1MLV|2ASPD|1CDMG	17ASPD|2CDMG|3VULN|4LWND|58DMG|6RCR|9MLV|aLIT
24	41232 64634	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	18LIT|2ASPD|3RPLT|4MLV|5DMG|6MBVNT|7aVULN|9RCR
25	32412 12635	 * 	273.23	DCR|2LIT|2VULN|2DMG|2ASPD	1ERES|2aVULN|3LHND|45ASPD|6aLIT|7DUST|8RCR|9aDMG|aBPWR
26	45113 62124	   	272.43	DCR|3VULN|1LIT|1MLV|1AART|1CDMG	1LIT|256VULN|3MLV|4MBVNT|7RCR|8RCVC|9CDMG|aAART
27	45113 62331	   	272.43	DCR|3VULN|1LIT|1MLV|1AART|1CDMG	1LIT|256VULN|3MLV|4MBVNT|7RCR|8FEWX|9CDMG|aAART
