0	Index      	 *	Score 	Summary	Detail	
1	46332 33531	 * 	302.08	DCR|2LIT|4VULN|2DMG|1ASPD	147aVULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9ERES
2	46111 61121	 * 	301.18	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|aLWND
3	46111 61122	   	301.18	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|aBEXP
4	46332 33521	 * 	300.31	DCR|3LIT|3VULN|2DMG|1ASPD	147VULN|27aLIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9LHND
5	46332 33512	   	299.16	DCR|2LIT|3VULN|2DMG|1AART|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9BLAICY|aAART
6	46111 51121	 * 	296.50	DCR|3VULN|1LIT|1FLTARM|1MLV|1DMG	169VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|aLWND
7	46111 51122	   	296.50	DCR|3VULN|1LIT|1FLTARM|1MLV|1DMG	169VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|aBEXP
8	46111 61132	   	291.13	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG|1AART	1VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT|aAART
9	46111 61134	   	288.53	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT|aASPD
10	46332 33621	   	286.35	DCR|2LIT|3VULN|2DMG|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RPLT|9ZMB|aRCR
11	44322 33263	 * 	285.58	DCR|2LIT|2VULN|3DMG|2ASPD	19VULN|247BEXP|34LIT|49BPWR|59ASPD|689DMG|aRCR
12	46111 61222	   	285.24	DCR|2LIT|2VULN|1FLTARM|1DMG|1AART	19VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8DUR|aAART
13	46332 33522	   	283.01	DCR|2LIT|3VULN|2DMG|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9LHND|aLWND
14	46332 33523	   	283.01	DCR|2LIT|3VULN|2DMG|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9LHND|aFEWX
15	46332 33511	   	282.91	DCR|2LIT|3VULN|2DMG|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9BLAICY|aLHND
16	46332 33532	   	282.91	DCR|2LIT|3VULN|2DMG|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9ERES|aCGEN
17	46312 33531	   	282.81	DCR|2LIT|3VULN|2DMG|2DUR|1ASPD	17aVULN|27LIT|34DUR|5ASPD|67DMG|7BPWR|8RCR|9ERES
18	46332 33513	   	282.81	DCR|2LIT|3VULN|2DMG|2DUR|1ASPD	147VULN|27LIT|3aDUR|5ASPD|67DMG|7BPWR|8RCR|9BLAICY
19	46111 61113	   	281.91	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9AART|aZMB
20	46111 51113	   	281.20	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	16VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9AART|aZMB
21	46332 33315	   	279.41	DCR|2LIT|3VULN|2DMG|1ASPD	147VULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8FRZARM|9BELT|aRCR
22	46111 51133	   	278.11	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	16VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT|aDUR
23	46312 33521	   	278.07	DCR|3LIT|2VULN|2DMG|2DUR|1ASPD	17VULN|27aLIT|34DUR|5ASPD|67DMG|7BPWR|8RCR|9LHND
24	46312 33512	   	276.92	DCR|2LIT|2VULN|2DMG|2DUR|1AART|1ASPD	17VULN|27LIT|34DUR|5ASPD|67DMG|7BPWR|8RCR|9BLAICY|aAART
25	43322 32561	   	275.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1aVULN|24FEWX|34LIT|4BPWR|5ASPD|6DMG|7RCVC|8RCR|9MLV
26	46111 21151	   	274.98	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|29LIT|3CGEN|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aLWND
27	46111 21152	   	274.98	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|29LIT|3CGEN|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aBEXP
28	46111 61111	   	274.98	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9AART|aLWND
29	46111 61112	   	274.98	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9AART|aLHND
30	46111 61131	   	274.88	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|26LIT|3aCGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT
31	46111 61133	   	274.78	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1VULN|26LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT|aDUR
32	46111 21121	   	274.36	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|3CGEN|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aLWND
33	46111 21122	   	274.36	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|3CGEN|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aBEXP
34	46111 21126	   	274.36	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|3CGEN|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aLHND
35	41231 44882	   	274.35	DCR|3VULN|1LIT|1MLV|2CDMG|1ASPD	169VULN|2MLV|3ERES|4MBVNT|56CDMG|6BPWR|7ASPD|8RCR|aLIT
36	46511 21121	   	274.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|3ERES|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aLWND
37	46511 21122	   	274.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|3ERES|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aBEXP
38	46111 51111	   	274.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	16VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9AART|aLWND
39	46111 51112	   	274.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	16VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9AART|aLHND
40	46111 51131	   	274.26	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	16VULN|2LIT|3aCGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT
41	46511 31121	   	274.16	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|36ERES|4FLTARM|5DMG|7RCR|8MLV|aLWND
42	46511 31122	   	274.16	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	19VULN|2LIT|36ERES|4FLTARM|5DMG|7RCR|8MLV|aBEXP
43	46111 51132	   	274.16	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1AART	16VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT|aAART
44	46111 51134	   	274.16	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1ASPD	16VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8MLV|9MBVNT|aASPD
