0	Index      	 *	Score 	Summary	Detail	
1	16324 68134	 * 	319.20	DCR|DCR|2TLV|1LIT|1VULN|1RPLT	15TLV|2RPLT|3MBVNT|4DUR|69RCR|7LIT|8ERES|aVULN
2	12323 24524	   	314.16	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1CDMG	1TLV|2CGEN|3DMG|4VULN|5LIT|6MULHEA|7aRCR|8DUR|9CDMG
3	45244 22318	 * 	313.72	DCR|3LIT|2VULN|2TLV|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89aLIT|9BPWR
4	47344 22318	   	313.72	DCR|3LIT|2VULN|2TLV|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6ERES|7RCR|89aLIT|9BPWR
5	14213 52632	 * 	310.64	DCR|DCR|2TLV|1VULN|1MLV	16TLV|2DUR|3BBNT|4MBVNT|5MDPS|7VULN|89RCR|aMLV
6	14213 52631	   	310.55	DCR|DCR|2TLV|1LIT|1VULN	16TLV|2DUR|3BBNT|4MBVNT|5MDPS|7VULN|89RCR|aLIT
7	43845 34442	 * 	309.22	DCR|3VULN|2TLV|3DMG|1LIT	1MBVNT|259DMG|36TLV|46aVULN|6BPWR|7RCR|8LIT
8	14251 11124	 * 	305.64	DCR|DCR|2VULN|1TLV|2DUR|1ASPD	1TLV|26DUR|3BBNT|4DUST|5ASPD|7aRCR|89VULN
9	11232 11124	 * 	304.86	DCR|DCR|2VULN|2TLV	15TLV|2FEWX|3BBNT|4ZMB|6DUR|7aRCR|89VULN
10	13231 11124	   	304.86	DCR|DCR|2VULN|2TLV	15TLV|2LEGI|3BBNT|45ZMB|5BPWR|6DUR|7aRCR|89VULN
11	14232 21124	   	304.86	DCR|DCR|2VULN|2TLV	15TLV|2DUR|3BBNT|4ZMB|6LHND|7aRCR|89VULN
12	14232 31124	   	304.86	DCR|DCR|2VULN|2TLV	15TLV|2DUR|3BBNT|4ZMB|6BEXP|7aRCR|89VULN
13	13232 11124	   	304.76	DCR|DCR|2VULN|2TLV	15TLV|2LEGI|3BBNT|4ZMB|6DUR|7aRCR|89VULN
14	14232 51124	   	304.76	DCR|DCR|2VULN|2TLV	15TLV|2DUR|3BBNT|4ZMB|6DUST|7aRCR|89VULN
15	12323 24424	   	304.40	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1CDMG	1TLV|2CGEN|3DMG|4VULN|5LIT|6MULHEA|7aRCR|8DUST|9CDMG
16	12321 51224	   	304.28	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|49VULN|5ERES|6BBNT|7aRCR|8DUR
17	12356 11124	   	304.28	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|4BBNT|5ERES|6DUR|7aRCR|89VULN
18	34232 31124	   	304.28	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2DUR|3BBNT|4CGEN|5TLV|6AME|7aRCR|89VULN
19	45331 33714	 * 	302.86	DCR|DCR|2TLV|2LIT|1CDMG	1MBVNT|25TLV|3DUR|46LIT|7CDMG|8aRCR|9BEXP
20	11213 52632	   	300.98	DCR|DCR|2TLV|1VULN|1MLV	16TLV|2FEWX|3BBNT|4MBVNT|5MDPS|7VULN|89RCR|aMLV
21	11213 52631	   	300.89	DCR|DCR|2TLV|1LIT|1VULN	16TLV|2FEWX|3BBNT|4MBVNT|5MDPS|7VULN|89RCR|aLIT
22	13213 52632	   	300.88	DCR|DCR|2TLV|1VULN|1MLV	16TLV|2LEGI|3BBNT|4MBVNT|5MDPS|7VULN|89RCR|aMLV
23	13213 52631	   	300.79	DCR|DCR|2TLV|1LIT|1VULN	16TLV|2LEGI|3BBNT|4MBVNT|5MDPS|7VULN|89RCR|aLIT
24	11251 31124	 * 	300.66	DCR|DCR|2VULN|1TLV|2ASPD	1TLV|2FEWX|3BBNT|4DUST|56ASPD|7aRCR|89VULN
25	13251 31124	   	300.56	DCR|DCR|2VULN|1TLV|2ASPD	1TLV|2LEGI|3BBNT|4DUST|56ASPD|7aRCR|89VULN
26	54232 11124	 * 	299.69	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2DUR|3BBNT|4ZMB|5TLV|6CGEN|7aRCR|89VULN
27	54232 21124	   	299.69	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2DUR|3BBNT|4ZMB|5TLV|6RMIN|7aRCR|89VULN
28	16262 22163	   	297.40	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1TLV|2RPLT|3ERES|4VULN|5FEWX|6aRCR|7AART|8LIT|9LHND
29	16262 22133	   	297.30	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1TLV|2RPLT|3ERES|4VULN|5FEWX|6aRCR|7AART|8LIT|9DUST
30	45244 22312	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aDMSP
31	45244 22314	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aCGEN
32	45244 22316	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aLHND
33	45244 22317	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aBEXP
34	47344 22312	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aDMSP
35	47344 22314	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aCGEN
36	47344 22316	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aLHND
37	47344 22317	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aBEXP
38	45244 22311	   	295.84	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6aERES|7RCR|89LIT|9BPWR
39	45244 22315	   	295.84	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|29TLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aAEFBLL
40	47344 22311	   	295.84	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6aERES|7RCR|89LIT|9BPWR
41	47344 22315	   	295.84	DCR|2VULN|2TLV|2LIT|1MLV	1MBVNT|2BBNT|39TLV|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR|aAEFBLL
42	16343 73321	   	295.81	DCR|2VULN|2TLV|2LIT|1RPLT|1ASPD	1aTLV|2RPLT|3MBVNT|4BBNT|5ASPD|6aVULN|7aLIT|8AAC|9RCR|aBPWR
43	45243 23631	 * 	295.72	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MBVNT|2TLV|3BBNT|4VULN|5MDPS|6MLV|7CGEN|89RCR|aLIT
44	47343 23631	   	295.72	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MBVNT|2BBNT|3TLV|4VULN|5MDPS|6MLV|7CGEN|89RCR|aLIT
45	16343 73121	   	295.71	DCR|2VULN|2TLV|2LIT|1RPLT|1ASPD	1aTLV|2RPLT|3MBVNT|4BBNT|5ASPD|6aVULN|7aLIT|8NUKE|9RCR|aBPWR
46	45244 22313	 * 	295.38	DCR|3TLV|2VULN|2LIT|1MLV	1MBVNT|29aTLV|3BBNT|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR
47	47344 22313	   	295.38	DCR|3TLV|2VULN|2LIT|1MLV	1MBVNT|2BBNT|39aTLV|49VULN|5MLV|6ERES|7RCR|89LIT|9BPWR
48	11232 51124	   	295.10	DCR|DCR|2VULN|2TLV	15TLV|2FEWX|3BBNT|4ZMB|6DUST|7aRCR|89VULN
49	13231 51124	   	295.10	DCR|DCR|2VULN|2TLV	15TLV|2LEGI|3BBNT|45ZMB|5BPWR|6DUST|7aRCR|89VULN
50	13213 82635	   	295.00	DCR|DCR|2VULN|2TLV	1aTLV|2LEGI|3BBNT|4MBVNT|5MDPS|6RCVC|7aVULN|89RCR|aBPWR
51	13232 51124	   	295.00	DCR|DCR|2VULN|2TLV	15TLV|2LEGI|3BBNT|4ZMB|6DUST|7aRCR|89VULN
52	12313 51124	   	294.72	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|4RMIN|5LHND|6BBNT|7aRCR|89VULN
53	11213 52635	 * 	294.64	DCR|DCR|3TLV|2VULN	16aTLV|2aFEWX|3BBNT|4MBVNT|5MDPS|7aVULN|89RCR|aBPWR
54	12321 51114	   	294.62	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|48VULN|5ERES|6BBNT|7aRCR|9BEXP
55	12321 51424	   	294.62	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|49VULN|5ERES|6BBNT|7aRCR|8LHND
56	12355 31124	   	294.62	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|4BBNT|5BEXP|6AME|7aRCR|89VULN
57	31232 31124	   	294.62	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2FEWX|3BBNT|4CGEN|5TLV|6AME|7aRCR|89VULN
58	12351 31124	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2CGEN|3DMG|4BBNT|5LEGI|6AME|7aRCR|89VULN
59	33232 31124	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LEGI|3BBNT|4CGEN|5TLV|6AME|7aRCR|89VULN
60	13213 52635	   	294.44	DCR|DCR|3TLV|2VULN	16aTLV|2LEGI|3BBNT|4MBVNT|5MDPS|7aVULN|89RCR|aBPWR
61	52531 15332	 * 	294.30	DCR|3TLV|3MLV|1VULN|2CDMG	17aMLV|2CGEN|3AART|467TLV|57CDMG|7BPWR|8VULN|9RCR
62	16344 23121	 * 	293.61	DCR|2TLV|2LIT|2DMG|1VULN|1RPLT	1aTLV|2RPLT|3MBVNT|4BBNT|5VULN|6AAC|7aLIT|8aDMG|9RCR|aBPWR
63	43845 34443	   	292.64	DCR|2VULN|2TLV|3DMG|1LIT	1MBVNT|259DMG|36TLV|46VULN|6BPWR|7RCR|8LIT|aTBNT
64	14231 21124	   	292.19	DCR|DCR|2VULN|1TLV|2DUR	1TLV|25DUR|3BBNT|45ZMB|5BPWR|6LHND|7aRCR|89VULN
65	14231 31124	   	292.19	DCR|DCR|2VULN|1TLV|2DUR	1TLV|25DUR|3BBNT|45ZMB|5BPWR|6BEXP|7aRCR|89VULN
66	14231 51124	   	292.09	DCR|DCR|2VULN|1TLV|2DUR	1TLV|25DUR|3BBNT|45ZMB|5BPWR|6DUST|7aRCR|89VULN
67	41844 33451	 * 	291.50	DCR|3TLV|2VULN|1LIT|2ASPD|1MLV	1MBVNT|2aASPD|356TLV|46VULN|6BPWR|7LIT|8RCR|9MLV
68	45331 43714	   	290.32	DCR|DCR|2TLV|1LIT|2DUR|1CDMG	1MBVNT|25TLV|36DUR|4LIT|7CDMG|8aRCR|9BEXP
69	51232 11124	   	290.03	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2FEWX|3BBNT|4ZMB|5TLV|6CGEN|7aRCR|89VULN
70	51232 21124	   	290.03	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2FEWX|3BBNT|4ZMB|5TLV|6RMIN|7aRCR|89VULN
71	14213 82631	   	290.01	DCR|DCR|1TLV|1LIT|1VULN	1TLV|2DUR|3BBNT|4MBVNT|5MDPS|6RCVC|7VULN|89RCR|aLIT
72	51232 51124	   	289.93	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2FEWX|3BBNT|4ZMB|5TLV|6AME|7aRCR|89VULN
73	53232 11124	   	289.93	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2LEGI|3BBNT|4ZMB|5TLV|6CGEN|7aRCR|89VULN
