0	Index      	 *	Score 	Summary	Detail	
1	15232 53513	 * 	292.85	DCR|3VULN|2TLV|1MLV|2DUR|1ASPD	159VULN|2TBNT|39TLV|4BELT|6ASPD|7MLV|89DUR|9BPWR|aRCR
2	51112 12626	 * 	290.61	ACR|DCR|3TLV|3MLV|1DUR	1AAC|278MLV|3BEXP|4aRCR|578LWND|678TLV|78BPWR|9DUR
3	15243 21151	 * 	289.78	DCR|DCR|2VULN|1TLV|1DUR|1BBNT	16VULN|2TBNT|3TLV|4LWND|5DUR|79RCR|8MBVNT|aBBNT
4	15243 21152	   	287.89	DCR|DCR|2VULN|1TLV|2DUR	16VULN|2TBNT|3TLV|4LWND|5aDUR|79RCR|8MBVNT
5	41323 21151	   	284.22	DCR|DCR|2VULN|1TLV|1DUR|1BBNT	1BBNT|2CGEN|36VULN|4LHND|5DUR|79RCR|8MBVNT|aTLV
6	41343 21151	   	284.22	DCR|DCR|2VULN|1TLV|1DUR|1BBNT	1BBNT|2CGEN|36VULN|4LWND|5DUR|79RCR|8MBVNT|aTLV
7	11513 51323	 * 	283.88	DCR|DCR|3VULN|1LIT|1DUR|1BBNT	18aVULN|2LHND|3DUST|4DUR|5LIT|69RCR|7BBNT
8	51113 26612	 * 	281.40	ACR|DCR|3MLV|2TLV|1DMG|1ASPD	1AAC|258MLV|38BEXP|46RCR|78TLV|8BPWR|9ASPD|aDMG
9	14331 21151	   	280.11	DCR|DCR|2VULN|1TLV|1DUR	15VULN|2CGEN|3BEXP|4DUR|6TBNT|79RCR|8MBVNT|aTLV
10	14353 21151	   	280.11	DCR|DCR|2VULN|1TLV|1DUR	16VULN|2CGEN|3BEXP|4TBNT|5DUR|79RCR|8MBVNT|aTLV
11	15243 21153	   	280.11	DCR|DCR|2VULN|1TLV|1DUR	16VULN|2TBNT|3TLV|4LWND|5DUR|79RCR|8MBVNT|aAAC
12	12331 21151	   	280.01	DCR|DCR|2VULN|1TLV|1DUR	15VULN|2ERES|3BEXP|4DUR|6TBNT|79RCR|8MBVNT|aTLV
13	12353 21151	   	280.01	DCR|DCR|2VULN|1TLV|1DUR	16VULN|2ERES|3BEXP|4TBNT|5DUR|79RCR|8MBVNT|aTLV
14	15243 21154	   	280.01	DCR|DCR|2VULN|1TLV|1DUR	16VULN|2TBNT|3TLV|4LWND|5DUR|79RCR|8MBVNT|aDUST
15	11622 34261	   	279.52	DCR|3VULN|2TLV|1MLV|1CDMG|1DUR	178VULN|27LHND|3CDMG|4AAC|5MLV|67TLV|7BPWR|9RCR|aDUR
16	23251 21152	 * 	276.24	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2AME|3TLV|4VULN|5CGEN|6TBNT|79RCR|8MBVNT|aLIT
17	33251 21152	   	276.14	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2AME|3TLV|4VULN|5CGEN|6TBNT|79RCR|8MBVNT|aLIT
18	33256 21152	   	276.04	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2AME|3TLV|4VULN|5ERES|6TBNT|79RCR|8MBVNT|aLIT
19	11622 34262	   	275.42	DCR|3VULN|2TLV|1MLV|1CDMG	178VULN|27LHND|3CDMG|4AAC|5MLV|67TLV|7BPWR|9RCR|aTBNT
20	11553 51323	   	274.22	DCR|DCR|3VULN|1LIT|1BBNT	18aVULN|2LHND|3DUST|4BEXP|5LIT|69RCR|7BBNT
21	15243 11151	   	271.34	DCR|DCR|1TLV|1VULN|2DUR|1BBNT	1VULN|2TBNT|3TLV|4LWND|56DUR|79RCR|8MBVNT|aBBNT
22	14311 21151	   	270.45	DCR|DCR|2VULN|1TLV	15VULN|2CGEN|3BEXP|4LWND|6TBNT|79RCR|8MBVNT|aTLV
23	14361 21151	   	270.45	DCR|DCR|2VULN|1TLV	15VULN|2CGEN|3BEXP|4LHND|6TBNT|79RCR|8MBVNT|aTLV
24	12311 21151	   	270.35	DCR|DCR|2VULN|1TLV	15VULN|2ERES|3BEXP|4LWND|6TBNT|79RCR|8MBVNT|aTLV
25	12352 61151	   	270.35	DCR|DCR|2VULN|1TLV	16VULN|2ERES|3BEXP|4TBNT|5FEWX|79RCR|8MBVNT|aTLV
26	12361 21151	   	270.35	DCR|DCR|2VULN|1TLV	15VULN|2ERES|3BEXP|4LHND|6TBNT|79RCR|8MBVNT|aTLV
27	14341 21151	   	270.35	DCR|DCR|2VULN|1TLV	15VULN|2CGEN|3BEXP|4DUST|6TBNT|79RCR|8MBVNT|aTLV
28	12341 21151	   	270.25	DCR|DCR|2VULN|1TLV	15VULN|2ERES|3BEXP|4DUST|6TBNT|79RCR|8MBVNT|aTLV
29	12111 21151	   	270.15	DCR|DCR|2VULN|1TLV	15VULN|24ERES|3MDPS|6TBNT|79RCR|8MBVNT|aTLV
30	11513 51324	   	270.05	DCR|DCR|2VULN|1LIT|1DUR|1BBNT	18VULN|2LHND|3DUST|4DUR|5LIT|69RCR|7BBNT|aAART
31	12513 33463	 * 	269.91	ACR|DCR|2VULN|2MLV|1TLV|1CDMG	16VULN|2ERES|3RMIN|49RCR|58MLV|7CDMG|aTLV
32	12216 33364	 * 	269.86	ACR|DCR|3VULN|1TLV|2CDMG	16aVULN|2ERES|3AME|49RCR|5TLV|78CDMG
33	11622 34263	   	269.76	DCR|3VULN|2TLV|1MLV|1CDMG	178VULN|27LHND|3CDMG|4AAC|5MLV|67TLV|7BPWR|9RCR|aDUST
34	16513 51223	   	269.52	DCR|DCR|2VULN|1LIT|2DUR|1BBNT	1aVULN|2BEXP|3DUST|48DUR|5LIT|69RCR|7BBNT
35	13216 26161	 * 	267.93	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1VULN|2MLV|3AME|49RCR|57TLV|6DUST|8CDMG|aZMB
