0	Index      	 *	Score 	Summary	Detail	
1	52412 43233	 * 	197.67	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6DMG|7CGEN|aZMB
2	52412 42233	   	197.57	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6DMG|7ERES|aZMB
3	52331 26153	 * 	194.85	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	1AART|2aCDMG|3CGEN|4ZMB|5DMG|689VULN|7RCR
4	51361 11632	 * 	190.71	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|2RMIN|3aASPD|4CDMG|5aDMG|6FEWX|7DUST|8RCR|9aVULN|aBPWR
5	52331 26151	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|689VULN|7RCR|aLWND
6	52331 26152	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|689VULN|7RCR|aBEXP
7	52331 26164	   	188.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68aVULN|7RCR|9MBVNT
8	54124 21233	 * 	186.89	ACR|3DMG|2VULN|1AART	1AART|2BELT|3RCR|4NUKE|59LHND|6RCVC|79VULN|89aDMG|9BPWR
9	54126 22233	   	186.89	ACR|3DMG|2VULN|1AART	1AART|2BELT|3RCR|4NUKE|59VULN|6RCVC|79BEXP|89aDMG|9BPWR
10	54126 23233	   	186.69	ACR|3DMG|2VULN|1AART	1AART|2BELT|3RCR|4NUKE|59VULN|6RCVC|79DUST|89aDMG|9BPWR
11	52412 43231	   	186.66	ACR|3VULN|1AART|1DMG|2CDMG	1AART|24CDMG|3RCR|589VULN|6DMG|7CGEN|aLWND
12	52412 42231	   	186.56	ACR|3VULN|1AART|2CDMG|1DMG	1AART|24CDMG|3RCR|589VULN|6DMG|7ERES|aLWND
13	52412 43232	   	186.56	ACR|3VULN|1AART|1DMG|2CDMG	1AART|24CDMG|3RCR|589VULN|6DMG|7CGEN|aDUST
14	52412 42232	   	186.46	ACR|3VULN|1AART|2CDMG|1DMG	1AART|24CDMG|3RCR|589VULN|6DMG|7ERES|aDUST
15	52412 53233	   	184.54	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	1AART|24CDMG|3RCR|589VULN|6ASPD|7CGEN|aZMB
16	52412 52233	   	184.44	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	1AART|24CDMG|3RCR|589VULN|6ASPD|7ERES|aZMB
17	54125 11233	 * 	184.39	ACR|3VULN|2DMG|1AART	1AART|2BELT|3RCR|4NUKE|569BEXP|79aVULN|89DMG|9BPWR
18	52412 43223	 * 	183.99	ACR|2VULN|1AART|3CDMG|1DMG|1DUR	1AART|24aCDMG|3RCR|58VULN|6DMG|7CGEN|9DUR
19	36616 22123	 * 	183.00	DCR|2AART|2VULN|2DMG|1DUR	1BEXP|2aVULN|38AART|46DMG|5LHND|7RCR|9DUR
20	21253 26133	 * 	182.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|2aFEWX|3CDMG|4RCR|5DUR|6aVULN|7LIT|8aDMG|9AART|aBPWR
21	52411 14211	   	182.01	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1AART|24CDMG|3RCR|5DMG|6FEWX|7ZMB|89VULN|aLIT
22	52411 14212	   	182.01	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1AART|24CDMG|3RCR|5DMG|6FEWX|7ZMB|89VULN|aCGEN
23	52411 14213	   	182.01	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1AART|24CDMG|3RCR|5DMG|6FEWX|7ZMB|89VULN|aMLV
24	52412 24233	 * 	181.45	ACR|3VULN|1AART|2CDMG|2ZMB	1AART|24CDMG|3RCR|589VULN|6CGEN|7aZMB
25	52413 24233	   	181.45	ACR|3VULN|1AART|2CDMG|2ZMB	1AART|24CDMG|3RCR|5CGEN|689VULN|7aZMB
26	52412 34233	   	181.35	ACR|3VULN|1AART|2CDMG|2ZMB	1AART|24CDMG|3RCR|589VULN|6ERES|7aZMB
27	36612 22353	 * 	180.17	DCR|3DMG|2VULN|1AART	1BEXP|2aVULN|3AART|469DMG|5FEWX|7RCR|8DUST
28	52331 26253	   	179.19	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1AART|2aCDMG|38CGEN|4ZMB|5DMG|69VULN|7RCR
29	52531 26213	   	179.09	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1AART|2aCDMG|3ERES|4ZMB|5DMG|69VULN|7RCR|8CGEN
30	52431 12622	   	178.93	ACR|3VULN|1AART|2CDMG|2DUR	1AART|2aCDMG|3RCR|4aDUR|5BEXP|6FEWX|78aVULN|9NUKE|aBPWR
31	52432 12622	   	178.83	ACR|3VULN|1AART|2CDMG|2DUR	1AART|2aCDMG|3RCR|4aDUR|5DUST|6FEWX|78aVULN|9NUKE|aBPWR
