0	Index      	 *	Score 	Summary	Detail	
1	55232 11352	 * 	198.90	DCR|4VULN|2DMG|1AART|2DUR	157aVULN|27DMG|3DUST|4LWND|67DUR|7BPWR|8AART|9RCR
2	51221 62613	 * 	197.11	DCR|4VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1245VULN|3ASPD|6DUR|7AART|8DMG|9RCR|aCDMG
3	51642 32212	 * 	195.94	DCR|5VULN|2DMG|3DUR	1245aVULN|3DUST|69aDUR|7RCR|8aDMG|aBPWR
4	51343 24812	   	195.94	DCR|5VULN|2DMG|3DUR	1248aVULN|39aDUR|5MBVNT|6aDMG|7RCR|aBPWR
5	55232 11351	   	195.80	DCR|3VULN|2DMG|1AART|2DUR|1ZMB	157VULN|27DMG|3DUST|4LWND|67DUR|7BPWR|8AART|9RCR|aZMB
6	51343 24824	   	193.07	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1248VULN|3DUR|5MBVNT|6DMG|7RCR|9CDMG|aAART
7	51353 24112	 * 	192.65	ACR|5VULN|2DMG|2DUR	1257aVULN|39DUR|4RCR|6aDMG|8aBEXP|aBPWR
8	51353 61212	   	192.65	ACR|5VULN|2DMG|2DUR	1256aVULN|39DUR|4RCR|7aBEXP|8aDMG|aBPWR
9	51353 24212	   	192.45	ACR|5VULN|2DMG|2DUR	1257aVULN|39DUR|4RCR|6aDMG|8aDUST|aBPWR
10	51353 23235	 * 	189.88	ACR|4VULN|3DMG|1DUR	125aVULN|3DUR|4RCR|68aDMG|79aERES|aBPWR
11	31212 36144	 * 	188.92	DCR|3VULN|3DMG|1AART	18BEXP|25aVULN|38LWND|468DMG|7AART|8BPWR|9RCR
12	21212 36144	   	188.72	DCR|3VULN|3DMG|1AART	18DUST|25aVULN|38LWND|468DMG|7AART|8BPWR|9RCR
13	51341 62212	   	188.54	DCR|5VULN|2DMG|1DUR	1246aVULN|3DUR|5aLWND|7RCR|8aDMG|9RCVC|aBPWR
14	51342 62212	   	188.54	DCR|5VULN|2DMG|1DUR	1245aVULN|3DUR|6aLHND|7RCR|8aDMG|9RCVC|aBPWR
15	51351 21512	 * 	187.96	ACR|2VULN|2DMG|2AART|1ASPD|1DUR	12VULN|3DUR|4RCR|5ASPD|6aDMG|78AART|9RPLT
16	51343 24231	   	186.83	DCR|5VULN|2DMG|1DUR	1249aVULN|3DUR|5MBVNT|69DMG|7RCR|89LIT|9BPWR
17	54343 24231	   	186.83	DCR|5VULN|2DMG|1DUR	1249aVULN|29BPWR|3DUR|5MBVNT|69DMG|7RCR|89LIT
18	55232 11353	   	184.80	DCR|3VULN|2DMG|1AART|2DUR	157VULN|27DMG|3DUST|4LWND|67DUR|7BPWR|8AART|9RCR|aLHND
