0	Index      	 *	Score 	Summary	Detail	
1	31636 13233	 * 	200.95	ACR|4VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|579aVULN|67DMG|7BPWR|8ZMB
2	31636 13313	 * 	197.74	ACR|3VULN|3DMG|3CDMG	1RCVC|2RMIN|3RCR|479CDMG|57aVULN|67aDMG|7aBPWR|8aLIT
3	31636 13531	 * 	195.00	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8RPLT|9AART|aZMB
4	15131 36521	 * 	193.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8DUR|9ZMB
5	31636 13235	   	192.89	ACR|3VULN|2DMG|3CDMG|1ZMB	1RCVC|2RMIN|3RCR|47aCDMG|579VULN|67DMG|7BPWR|8ZMB
6	15131 36533	 * 	191.54	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8DUR|aASPD
7	31636 13533	   	190.93	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8RPLT|9AART|aDUR
8	31636 13132	 * 	190.04	ACR|2VULN|2DMG|3CDMG|1AART	1RCVC|2RMIN|3RCR|47aCDMG|57VULN|67DMG|7BPWR|8FEWX|9AART
9	15131 36511	   	189.61	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8DUR|9ASPD
10	31636 13112	 * 	189.50	ACR|3DMG|2VULN|2CDMG|1FLTHEA	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67aDMG|7BPWR|8FEWX|9FLTHEA
11	15333 44343	 * 	189.43	DCR|3VULN|2DMG|1AART|2CDMG	17CDMG|2LSRICY|347VULN|57DMG|6MBVNT|7BPWR|8LSRHEA|9AART|aRCR
12	36122 22265	 * 	188.31	DCR|5VULN|3CDMG|1DMG	1RCVC|2459aVULN|346CDMG|4BPWR|7RCR|8DMG
13	36122 22425	   	188.31	DCR|5VULN|3CDMG|1DMG	1RCVC|2458aVULN|346CDMG|4BPWR|7RCR|9DMG
14	31636 13232	   	186.85	ACR|3VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|579VULN|67DMG|7BPWR|8ZMB|aLHND
15	31636 13234	   	186.85	ACR|3VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|579VULN|67DMG|7BPWR|8ZMB|aMLV
16	31636 13253	   	186.85	ACR|3VULN|2DMG|2CDMG|1ZMB	19RCVC|2RMIN|3RCR|47CDMG|57aVULN|67DMG|7BPWR|8ZMB
17	31636 13215	   	186.75	ACR|3DMG|2VULN|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67aDMG|7BPWR|8ZMB|9ERES
18	31636 13231	   	186.75	ACR|3VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|579VULN|67DMG|7BPWR|8ZMB|aERES
19	15131 36121	   	186.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8BEXP|9ZMB
20	15131 36221	   	186.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8FEWX|9ZMB
21	15131 36421	   	186.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8LHND|9ZMB
22	36613 16233	   	185.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1RCVC|29VULN|3FEWX|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aCDMG
23	15131 36513	   	184.96	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8DUR|9ASPD|aZMB
24	15131 36531	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8DUR|aFEWX
25	15131 36532	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8DUR|aLHND
26	51222 25325	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CDMG|3CGEN|4AART|56VULN|7RCR|8LWND|9aDMG
27	51322 25325	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CDMG|3MLV|4AART|56VULN|7RCR|8LWND|9aDMG
28	36122 22253	 * 	184.48	DCR|3VULN|3CDMG|1AART|1DMG	1RCVC|245VULN|346CDMG|4BPWR|7RCR|8DMG|9SNIHEL|aAART
29	31636 13131	   	184.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8FEWX|9AART|aCGEN
30	31636 13134	   	184.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8FEWX|9AART|aRPLT
31	31636 13135	   	184.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8FEWX|9AART|aLWND
32	31636 13136	   	184.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8aFEWX|9AART
33	31636 13532	   	184.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8RPLT|9AART|aBELT
