0	Index      	 *	Score 	Summary	Detail	
1	33343 25611	 * 	198.24	ACR|3VULN|3DMG|1AART	1BELT|2RCR|359VULN|45FEWX|5BPWR|67aDMG|8AART
2	33343 22611	 * 	196.69	ACR|4VULN|2DMG|1AART	1BELT|2RCR|3579VULN|45FEWX|5BPWR|6aDMG|8AART
3	31111 52436	 * 	193.73	ACR|3DMG|1AART|1VULN|2ZMB|2DUR|1ASPD	1BELT|28DUR|3ASPD|4RCR|568DMG|78ZMB|8BPWR|9AART|aVULN
4	33343 22615	 * 	192.75	ACR|4VULN|1AART|1DMG|1CDMG	1BELT|2RCR|3579VULN|45FEWX|5BPWR|6DMG|8AART|aCDMG
5	33531 42215	 * 	191.52	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1BELT|2RCR|38DUR|48ASPD|59DMG|6ERES|78VULN|8BPWR|aAART
6	33335 31126	 * 	190.49	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|38aVULN|4RCVC|58ERES|678DMG|8BPWR|9CDMG
7	33315 31126	   	190.39	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|38aVULN|48CGEN|5RCVC|678DMG|8BPWR|9CDMG
8	33355 31126	   	190.19	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|38aVULN|48ERES|5RCVC|678DMG|8BPWR|9CDMG
9	33311 25126	   	189.79	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|38aVULN|48CGEN|568DMG|7RCVC|8BPWR|9CDMG
10	33343 22634	   	189.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9CDMG|aZMB
11	33351 25126	   	189.59	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|38aVULN|48ERES|568DMG|7RCVC|8BPWR|9CDMG
12	33311 21525	   	189.43	ACR|3DMG|2VULN|1AART|1DUR	1BELT|2RCR|3aVULN|4CGEN|567DMG|8AART|9DUR
13	33351 21525	   	189.33	ACR|3DMG|2VULN|1AART|1DUR	1BELT|2RCR|3aVULN|4ERES|567DMG|8AART|9DUR
14	33531 51336	   	189.18	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|567DMG|8ZMB|9AART|aVULN
15	33335 31132	   	187.84	ACR|3VULN|3DMG|1ZMB	1BELT|2RCR|38aVULN|4RCVC|58ERES|678DMG|8BPWR|9ZMB
16	33315 31132	   	187.74	ACR|3VULN|3DMG|1ZMB	1BELT|2RCR|38aVULN|48CGEN|5RCVC|678DMG|8BPWR|9ZMB
17	33314 31126	   	187.59	ACR|3VULN|3DMG|1CDMG	15BELT|2RCR|38aVULN|48CGEN|678DMG|8BPWR|9CDMG
18	33355 31132	   	187.54	ACR|3VULN|3DMG|1ZMB	1BELT|2RCR|38aVULN|48ERES|5RCVC|678DMG|8BPWR|9ZMB
19	33354 31126	   	187.39	ACR|3VULN|3DMG|1CDMG	15BELT|2RCR|38aVULN|48ERES|678DMG|8BPWR|9CDMG
20	33311 25132	   	187.14	ACR|3VULN|3DMG|1ZMB	1BELT|2RCR|38aVULN|48CGEN|568DMG|7RCVC|8BPWR|9ZMB
21	33351 25132	   	186.94	ACR|3VULN|3DMG|1ZMB	1BELT|2RCR|38aVULN|48ERES|568DMG|7RCVC|8BPWR|9ZMB
22	31111 42215	   	186.72	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1BELT|28DUR|38ASPD|4RCR|59DMG|6ERES|78VULN|8BPWR|aAART
23	33334 22611	   	185.59	ACR|3VULN|2DMG|1AART	1BELT|2RCR|379VULN|4RCVC|5BEXP|6aDMG|8AART
24	33334 25611	   	185.59	ACR|3DMG|2VULN|1AART	1BELT|2RCR|39VULN|4RCVC|5BEXP|67aDMG|8AART
25	33314 31132	   	184.94	ACR|3VULN|3DMG|1ZMB	15BELT|2RCR|38aVULN|48CGEN|678DMG|8BPWR|9ZMB
26	33354 31132	   	184.74	ACR|3VULN|3DMG|1ZMB	15BELT|2RCR|38aVULN|48ERES|678DMG|8BPWR|9ZMB
27	63672 44241	 * 	184.65	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1RMIN|2MBVNT|3RCR|4CDMG|59AART|6ZMB|7aVULN|8DMG
28	31111 51336	   	184.38	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1BELT|2DUR|3ASPD|4RCR|567DMG|8ZMB|9AART|aVULN
29	32111 21155	 * 	184.05	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9AART|aCDMG
30	33361 41135	   	183.29	ACR|3DMG|2VULN|1AART	1BELT|2RCR|39VULN|4LIT|59aDMG|69BEXP|7AART|8DMSP|9BPWR
31	33311 21522	 * 	183.29	ACR|3DMG|2AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8aAART|9DUR
32	33351 21522	   	183.19	ACR|3DMG|2AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8aAART|9DUR
33	33314 23421	   	182.69	ACR|3VULN|2DMG|1AART	156BELT|2RCR|37aVULN|4aCGEN|8AART|9aDMG|aBPWR
34	33311 21515	   	182.49	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3aVULN|4CGEN|567DMG|8AART|9FEWX
35	33343 25612	   	182.49	ACR|3VULN|2DMG|1AART	1BELT|2RCR|359VULN|45FEWX|5BPWR|67DMG|8AART|aDUST
36	33346 22611	   	182.49	ACR|3VULN|2DMG|1AART	1BELT|2RCR|379VULN|45FEWX|6aDMG|8AART
37	33354 23421	   	182.49	ACR|3VULN|2DMG|1AART	156BELT|2RCR|37aVULN|4aERES|8AART|9aDMG|aBPWR
