0	Index      	 *	Score 	Summary	Detail	
1	53162 26311	 * 	201.35	ACR|5VULN|2DMG|2DUR	1RCR|28TLV|35DMG|4578aVULN|58BPWR|68DUR|9RCVC
2	53162 26322	 * 	200.47	ACR|4VULN|2DMG|1CDMG|2DUR	1RCR|28TLV|35DMG|4578VULN|58BPWR|68DUR|9DUST|aCDMG
3	53162 26211	   	195.96	ACR|5VULN|2DMG|1DUR	1RCR|2TLV|35DMG|4578aVULN|5BPWR|6DUR|9RCVC
4	53162 26313	   	195.46	ACR|4VULN|2DMG|2DUR|1ASPD	1RCR|28TLV|35DMG|4578VULN|58BPWR|68DUR|9RCVC|aASPD
5	53162 26222	   	195.07	ACR|4VULN|2DMG|1CDMG|1DUR	1RCR|2TLV|35DMG|4578VULN|5BPWR|6DUR|9DUST|aCDMG
6	21223 36152	 * 	194.37	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD|1ZMB	1AART|2aASPD|3RCVC|4DMG|5RCR|6aVULN|7LWND|8ZMB|9aCDMG|aBPWR
7	53162 23131	 * 	193.96	ACR|2VULN|2DMG|2AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8FEWX|9aAART
8	53162 23631	   	193.86	ACR|2VULN|2DMG|2AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8DUST|9aAART
9	53162 26321	   	193.76	ACR|4VULN|2DMG|2DUR|1ASPD	1RCR|28TLV|35DMG|4578VULN|58BPWR|68DUR|9DUST|aASPD
10	21552 31136	 * 	193.20	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2ASPD	1AART|29ASPD|3RCR|4LWND|59ZMB|6ERES|7CDMG|89VULN|9BPWR|aDMG
11	16332 23351	 * 	191.09	ACR|3VULN|1AART|3ASPD|1DMG|2DUR	178ASPD|2ERES|368VULN|4RCR|58DUR|8BPWR|9DMG|aAART
12	36332 26342	 * 	190.64	ACR|4VULN|1DMG|2ZMB|1CDMG|2DUR	18ZMB|2ERES|3678VULN|4RCR|58DUR|8BPWR|9DMG|aCDMG
13	36332 12642	 * 	190.30	ACR|2VULN|1AART|1DMG|3DUR|2ZMB|1CDMG	18ZMB|2ERES|38VULN|4RCR|578DUR|6AART|8BPWR|9CDMG|aDMG
14	53162 26213	   	190.07	ACR|4VULN|2DMG|1DUR|1ASPD	1RCR|2TLV|35DMG|4578VULN|5BPWR|6DUR|9RCVC|aASPD
15	36332 26341	 * 	189.81	ACR|5VULN|1DMG|2ZMB|2DUR	18ZMB|2ERES|3678aVULN|4RCR|58DUR|8BPWR|9DMG
16	16332 26342	 * 	189.33	ACR|4VULN|1DMG|2ASPD|1CDMG|2DUR	18ASPD|2ERES|3678VULN|4RCR|58DUR|8BPWR|9DMG|aCDMG
17	53162 23133	 * 	189.12	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7aASPD|8FEWX|9AART
18	53162 23633	   	189.02	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7aASPD|8DUST|9AART
19	53162 26312	   	188.52	ACR|4VULN|2DMG|2DUR	1RCR|28TLV|35DMG|4578VULN|58BPWR|68DUR|9RCVC|aLIT
20	53162 13314	 * 	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6ERES|7RPLT|8DUR|9CDMG|aAART
21	16332 26341	 * 	188.51	ACR|5VULN|1DMG|2ASPD|2DUR	18ASPD|2ERES|3678aVULN|4RCR|58DUR|8BPWR|9DMG
22	53162 26221	   	188.36	ACR|4VULN|2DMG|1DUR|1ASPD	1RCR|2TLV|35DMG|4578VULN|5BPWR|6DUR|9DUST|aASPD
23	21511 76434	 * 	188.17	ACR|4VULN|1AART|1CDMG|1ASPD|1DUR	1AART|2ASPD|3RCR|4789VULN|5MBVNT|6DUR|aCDMG
24	53162 23132	   	187.80	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6aDUR|7ASPD|8FEWX|9AART
25	53162 23632	   	187.70	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6aDUR|7ASPD|8DUST|9AART
26	53162 23432	 * 	187.39	ACR|3DMG|2VULN|3ASPD|1DUR	1RCR|28TLV|358DMG|45VULN|58BPWR|6DUR|789ASPD|aFEWX
27	53162 23433	   	187.39	ACR|3DMG|2VULN|3ASPD|1DUR	1RCR|28TLV|358DMG|45VULN|58BPWR|6DUR|789ASPD|aLWND
28	53162 23431	   	187.29	ACR|3DMG|2VULN|3ASPD|1DUR	1RCR|28TLV|358DMG|45VULN|58BPWR|6DUR|789ASPD|aDUST
29	21512 51611	   	187.27	ACR|2AART|2VULN|1DMG|1ZMB|1DUR|1ASPD	1aAART|2ASPD|3RCR|46VULN|5ZMB|7ERES|8DMG|9DUR
30	21512 21411	 * 	187.15	ACR|2AART|2VULN|2CDMG|2ASPD|1ZMB	1aAART|29ASPD|3RCR|49VULN|5ZMB|6RPLT|7MLV|89CDMG|9BPWR
31	21512 24411	   	187.15	ACR|2AART|2VULN|2CDMG|2ASPD|1ZMB	1aAART|29ASPD|3RCR|49VULN|5ZMB|6RPLT|7CGEN|89CDMG|9BPWR
32	21511 25544	 * 	187.15	ACR|2AART|2VULN|1DMG|2ASPD|1ZMB	1aAART|27ASPD|3RCR|47VULN|5MBVNT|67MGNSTR|7BPWR|8ZMB|9DMG
33	35234 12112	 * 	187.07	ACR|2VULN|3ZMB|1AART|1DMG|2DUR	19aZMB|29DUR|3CGEN|4RCR|5AART|6BELT|7DMG|89VULN|9BPWR
34	53162 26323	   	186.82	ACR|4VULN|2DMG|2DUR	1RCR|28TLV|35DMG|4578VULN|58BPWR|68DUR|9DUST|aBEXP
35	21515 31152	 * 	186.17	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1AART|28ASPD|3RCR|48aVULN|5ERES|6LIT|78DUR|8BPWR|9CDMG
36	53162 24331	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7BEXP|8DUST|9ZMB|aAART
37	53162 25331	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7LWND|8DUST|9ZMB|aAART
38	53162 35331	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6BEXP|7DUR|8DUST|9ZMB|aAART
39	53162 22331	   	185.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7LEGI|8DUST|9ZMB|aAART
40	53162 34321	   	185.69	ACR|4VULN|2DMG|1ZMB	1RCR|28TLV|35DMG|4589VULN|58BPWR|678BEXP|aZMB
41	53114 31134	 * 	185.54	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1RCR|2TLV|3aDMG|4DUST|5AART|6ERES|7aCDMG|8VULN|9aDUR|aBPWR
42	16332 23354	 * 	185.48	ACR|3VULN|2DMG|3ASPD|2DUR	178ASPD|2ERES|368VULN|4RCR|58DUR|8BPWR|9aDMG
43	21253 25152	 * 	185.23	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1AART|2aASPD|3RCVC|4CDMG|5aDMG|6ZMB|7VULN|8aLHND|9RCR|aBPWR
44	21253 25252	   	185.23	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1AART|2aASPD|3RCVC|4CDMG|5aDMG|6ZMB|7VULN|8aLWND|9RCR|aBPWR
45	21223 32134	   	185.18	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2ASPD|3RCVC|4aDMG|5RCR|69VULN|7BEXP|8ZMB
46	21223 33134	   	185.18	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2ASPD|3RCVC|4aDMG|5RCR|69VULN|7FEWX|8ZMB
47	21223 36134	   	185.18	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2ASPD|3RCVC|4aDMG|5RCR|69VULN|7LWND|8ZMB
