0	Index      	 *	Score 	Summary	Detail	
1	43413 13432	 * 	199.98	DCR|3VULN|2AART|1DMG|1CDMG|1ZMB	12AART|3DMG|4ZMB|5CDMG|6LIT|7RCR|89aVULN
2	62132 24241	 * 	194.07	ACR|2VULN|2DMG|3CDMG|1AART|1DUR	13aFEWX|23aCDMG|3aBPWR|47VULN|5RCR|6AART|8DUR|9aDMG
3	53162 12324	 * 	193.19	ACR|4VULN|2DMG|1AART	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|789aVULN|8BPWR
4	43333 21362	 * 	192.81	DCR|3VULN|2AART|2DMG	12AART|39TLV|4ERES|569VULN|7RCR|89DMG|9BPWR|aFEWX
5	43333 21364	   	192.81	DCR|3VULN|2AART|2DMG	12AART|39TLV|4ERES|569VULN|7RCR|89DMG|9BPWR|aLIT
6	43333 21366	   	192.81	DCR|3VULN|2AART|2DMG	12AART|39TLV|4ERES|569VULN|7RCR|89DMG|9BPWR|aCGEN
7	53162 12322	 * 	192.74	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|789VULN|8BPWR|aCDMG
8	43333 21361	   	192.71	DCR|3VULN|2AART|2DMG	12AART|39TLV|4ERES|569VULN|7RCR|89DMG|9BPWR|aDUST
9	43333 21363	   	192.71	DCR|3VULN|2AART|2DMG	12AART|39TLV|4ERES|569VULN|7RCR|89DMG|9BPWR|aDLOT
10	43432 21632	 * 	187.20	DCR|2AART|2VULN|1DMG|1FLTHEA|1DUR|1ASPD	12AART|3DMG|4DUR|5LIT|6ASPD|7RCR|8aVULN|9FLTHEA
11	32122 24341	   	187.14	ACR|2VULN|2DMG|3CDMG|1AART	138aLHND|23aCDMG|38aBPWR|48DUST|5RCR|6AART|78VULN|9aDMG
12	32622 24341	   	187.04	ACR|2VULN|2DMG|3CDMG|1AART	18aLHND|23aCDMG|48DUST|5RCR|6AART|78VULN|8aBPWR|9aDMG
13	41236 63111	 * 	187.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2aVULN|3BELT|4RCVC|5aDMG|6ERES|7CDMG|8aDUR|9RCR|aBPWR
14	43411 53312	 * 	186.63	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	12AART|3aDMG|4ZMB|5ERES|6RCR|7VULN|8CDMG|9LIT
15	53162 12323	   	186.03	ACR|3VULN|2DMG|1AART|1DUR	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|789VULN|8BPWR|aDUR
16	43432 21263	 * 	185.56	DCR|2AART|2DMG|2CDMG|2ASPD|2DUR	12AART|3aDMG|4aDUR|5LIT|69ASPD|7RCR|8aCDMG|aBPWR
17	43213 21245	 * 	184.54	DCR|4VULN|3AART|1ZMB	128AART|3ERES|4ZMB|569aVULN|7RCR
18	43213 32453	   	184.45	DCR|2AART|2DMG|1VULN|1ZMB|1DUR|1ASPD	12AART|3ERES|4ZMB|5VULN|6ASPD|7RCR|8aDMG|9DUR
19	35221 31354	 * 	184.35	ACR|4VULN|1AART|1DMG|2ASPD	17LHND|27ASPD|3DMSP|4678VULN|5RCR|7BPWR|9DMG|aAART
20	43413 13232	   	184.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12AART|3DMG|4ZMB|5CDMG|68LIT|7RCR|9aVULN
21	43413 13431	   	184.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12AART|3DMG|4ZMB|5CDMG|6LIT|7RCR|89VULN|aRPLT
22	43413 13433	   	184.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12AART|3DMG|4ZMB|5CDMG|6LIT|7RCR|89VULN|aFEWX
23	43213 21116	   	184.23	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12AART|3ERES|4ZMB|56VULN|7RCR|8MLV|9DMG|aCDMG
24	43213 21516	   	184.23	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12AART|3ERES|4ZMB|56VULN|7RCR|8CGEN|9DMG|aCDMG
25	43213 41124	   	184.23	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	12AART|3ERES|4ZMB|5VULN|6LIT|7RCR|89DMG|aCDMG
26	43116 31131	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	12AART|3LIT|4aVULN|58DMG|6CGEN|7RCR|9DUR
27	43422 21631	   	184.10	DCR|2AART|2VULN|2DMG|1ASPD	12AART|39DMG|4LEGI|5LIT|6ASPD|7RCR|8aVULN
28	43333 32362	 * 	182.07	DCR|3VULN|2AART|3ASPD|1DUR	12AART|389TLV|4ERES|589VULN|689ASPD|7RCR|89BPWR|aDUR
29	32251 32512	   	182.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2CDMG|3MLV|4RCR|5aDMG|68VULN|7DUR|9AART
30	32451 32512	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2CDMG|3ERES|4RCR|5aDMG|68VULN|7DUR|9AART
31	43413 13513	 * 	181.77	DCR|2AART|2DMG|2ZMB|2ASPD|1CDMG	12AART|3aDMG|4aZMB|5CDMG|6LIT|7RCR|8NUKE|9aASPD|aBPWR
32	41236 26311	 * 	181.08	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2aVULN|3BELT|4RCVC|5aDMG|6LWND|7ERES|8aCDMG|9RCR|aBPWR
33	62312 24341	   	181.00	ACR|2VULN|2DMG|1AART|2CDMG	14aFEWX|2aCDMG|3LWND|5RCR|6AART|78VULN|9aDMG|aBPWR
34	62322 24341	   	181.00	ACR|2VULN|2DMG|1AART|2CDMG	1aFEWX|2aCDMG|34LWND|5RCR|6AART|78VULN|9aDMG|aBPWR
35	43413 13363	   	180.62	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	12AART|3DMG|4ZMB|5CDMG|6LIT|7RCR|8DUR|9ASPD|aVULN
36	43432 21235	   	180.62	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	12AART|3DMG|4DUR|5LIT|6ASPD|7RCR|8CDMG|9VULN|aZMB
37	41241 32323	 * 	180.59	ACR|4VULN|1AART|1CDMG|1ZMB	1AART|278aVULN|3BELT|4ZMB|5RCR|6RPLT|9CDMG
38	41235 41322	   	179.76	DCR|2AART|2VULN|2DMG	19AART|2aVULN|3BELT|4RCVC|5ERES|6RCR|7aDMG|8aBEXP|aBPWR
39	43422 21263	 * 	179.54	DCR|2AART|2DMG|3ASPD|2CDMG	12AART|3aDMG|4LEGI|5LIT|69aASPD|7RCR|8aCDMG|aBPWR
40	43213 22356	   	179.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12AART|3ERES|4ZMB|56VULN|7DMG|8RMIN|9RCR|aCDMG
41	53162 12321	   	179.09	ACR|3VULN|2DMG|1AART	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|789VULN|8BPWR|aCGEN
42	53162 12325	   	179.09	ACR|3VULN|2DMG|1AART	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|789VULN|8BPWR|aFEWX
43	53162 12334	   	179.09	ACR|3VULN|2DMG|1AART	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|78aVULN|8BPWR|9DMSP
44	41265 21311	 * 	179.04	DCR|3VULN|1AART|1DMG|2CDMG	1AART|24aVULN|3BELT|5aERES|6LWND|7DMG|8aCDMG|9RCR|aBPWR
45	53162 12326	   	178.99	ACR|3VULN|2DMG|1AART	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|789VULN|8BPWR|aERES
46	43413 13332	   	178.97	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	12AART|3DMG|4ZMB|5CDMG|6LIT|7RCR|8aDUR|9VULN
47	32165 35331	 * 	178.09	ACR|3DMG|2VULN|2CDMG|1DUR	13aLHND|23CDMG|3aBPWR|46aDMG|5RCR|7DUR|8LIT|9aVULN
48	43412 11131	   	177.62	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	12AART|38DMG|4ZMB|5LIT|6LWND|7RCR|9DUR|aVULN
49	43413 13335	 * 	177.53	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	12AART|3DMG|4aZMB|5CDMG|6LIT|7RCR|8DUR|9VULN
50	43213 32463	   	177.52	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	12AART|3ERES|4ZMB|59VULN|6ASPD|7RCR|8DMG|aCGEN
51	43213 41421	   	177.52	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	12AART|3ERES|4ZMB|5aVULN|6LIT|7RCR|8ASPD|9DMG
52	43412 31131	   	177.52	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	12AART|38DMG|4ZMB|5LIT|6DUST|7RCR|9DUR|aVULN
53	43213 32443	   	177.42	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	12AART|3ERES|4ZMB|5VULN|6ASPD|7RCR|8aDMG|9DUST
54	43213 32461	   	177.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	12AART|3ERES|4ZMB|59VULN|6ASPD|7RCR|8DMG|aTLV
