0	Index      	 *	Score 	Summary	Detail	
1	21334 24343	 * 	184.58	ACR|2VULN|3ZMB|1AART|1DMG|1CDMG	134ZMB|24DUST|4BPWR|5RCR|69VULN|7AART|8CDMG|aDMG
2	23253 36522	 * 	183.39	DCR|5VULN|3ZMB|2CDMG	139ZMB|29CDMG|45679VULN|8MBVNT|9BPWR|aRCR
3	55318 14213	 * 	178.57	ACR|3DMG|3ZMB|1AART|1CDMG	18LWND|238ZMB|4MBVNT|5RCR|678DMG|8BPWR|9CDMG|aAART
4	23253 36323	   	176.98	DCR|5VULN|3ZMB|1CDMG	139ZMB|2CDMG|45678VULN|aRCR
5	35318 14218	 * 	175.43	ACR|3DMG|3ZMB|1VULN|1CDMG	18BEXP|238ZMB|4MBVNT|5RCR|678DMG|8BPWR|9CDMG|aVULN
6	26318 14218	   	175.43	ACR|3DMG|3ZMB|1VULN|1CDMG	138ZMB|28BEXP|4MBVNT|5RCR|678DMG|8BPWR|9CDMG|aVULN
7	65314 24443	 * 	174.35	DCR|2VULN|2DMG|3ZMB|1CDMG	16VULN|235ZMB|4MBVNT|7CDMG|8aDMG|9RCR
8	23332 31312	 * 	173.57	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8CGEN|9LWND|aRCR
9	23332 31342	   	173.57	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8CGEN|9FEWX|aRCR
10	23332 31352	   	173.57	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8CGEN|9BEXP|aRCR
11	23332 31515	   	173.57	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8LIT|9BELT|aRCR
12	23332 31112	   	173.47	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8TLV|9LWND|aRCR
13	23332 31142	   	173.47	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8TLV|9FEWX|aRCR
14	23332 31152	   	173.47	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2CDMG|3567VULN|4AART|8TLV|9BEXP|aRCR
15	21318 15148	 * 	170.56	ACR|2VULN|2DMG|3ZMB|1DUR	13aZMB|2DUST|4MBVNT|5RCR|6aDMG|7FEWX|8DUR|9aVULN|aBPWR
16	23332 35562	 * 	170.16	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	19ZMB|2CDMG|356VULN|4AART|7DUR|8ERES|aRCR
17	61133 23366	 * 	170.14	DCR|2VULN|3ZMB|1AART|1CDMG|1ASPD	1aVULN|2BEXP|3aLWND|4ASPD|5CDMG|67aZMB|8RCR|9AART|aBPWR
18	23142 51533	 * 	170.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|3ERES|4DMG|5AART|6ASPD|78VULN|9LIT|aRCR
19	22682 81344	 * 	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2BELT|3MBVNT|48DMG|5MLV|6RCR|7CDMG|9VULN|aAART
20	22675 21322	   	169.25	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	14ZMB|2BELT|3MBVNT|4BPWR|5RCR|69VULN|7CDMG|8DMG|aAART
21	23332 56412	   	168.81	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|358VULN|4AART|6ASPD|7LIT|9RCR|aFEWX
22	23332 56413	   	168.81	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|358VULN|4AART|6ASPD|7LIT|9RCR|aCGEN
23	23335 31121	   	168.75	DCR|2VULN|1AART|2ZMB|1CDMG|1ASPD|1DUR	16ZMB|2CDMG|38VULN|4AART|5RPLT|7RCR|9ASPD|aDUR
24	23332 56411	   	168.71	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|358VULN|4AART|6ASPD|7LIT|9RCR|aERES
25	65311 13337	 * 	168.47	DCR|2VULN|2DMG|1AART|2ZMB	16VULN|23ZMB|4MBVNT|5TLV|78DMG|9AART|aRCR
26	23335 31346	   	168.36	DCR|2VULN|3ZMB|1AART|1CDMG|1SELL	16aZMB|2CDMG|3aVULN|4AART|5RPLT|7RCR|8SELL|9aLHND|aBPWR
27	23335 31366	   	168.36	DCR|2VULN|3ZMB|1AART|1CDMG|1SELL	16aZMB|2CDMG|3aVULN|4AART|5RPLT|7RCR|8SELL|9aLWND|aBPWR
28	23254 31326	 * 	168.21	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG|1DUR	135ZMB|2CDMG|4VULN|6LSRICY|7DUR|8AART|9DMG|aRCR
29	11355 13262	 * 	168.21	DCR|3VULN|2DMG|1ZMB|1DUR	1TLV|2DUST|3ZMB|49aVULN|56DMG|7DUR|8RCR
30	63325 13262	   	168.21	DCR|3VULN|2DMG|1ZMB|1DUR	19aVULN|2TLV|3ZMB|4DUST|56DMG|7DUR|8RCR
31	23262 54211	 * 	167.91	DCR|2DMG|3ZMB|1VULN|2CDMG|1ASPD	137ZMB|27CDMG|4LHND|5ASPD|67DMG|7BPWR|8VULN|9CGEN|aRCR
32	23262 54221	   	167.91	DCR|2DMG|3ZMB|1VULN|2CDMG|1ASPD	137ZMB|27CDMG|4LHND|5ASPD|67DMG|7BPWR|8VULN|9RMIN|aRCR
33	23256 61121	   	167.55	DCR|2VULN|1AART|2ZMB|1CDMG|1ASPD|1DUR	13ZMB|2CDMG|48VULN|5RPLT|6AART|7RCR|9ASPD|aDUR
34	24126 15113	 * 	167.02	ACR|2VULN|3ZMB|1AART|2ASPD	13aZMB|23ASPD|3BPWR|4RCR|5BEXP|68VULN|7AART|9FEWX
35	24126 15133	   	166.92	ACR|2VULN|3ZMB|1AART|2ASPD	13aZMB|23ASPD|3BPWR|4RCR|5BEXP|68VULN|7AART|9DUST
36	65318 34223	   	166.52	ACR|2VULN|3ZMB|1DMG|1CDMG|1DUR	1aVULN|238ZMB|4MBVNT|5RCR|6DUR|7CDMG|9DMG
37	23332 36562	   	166.41	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|356VULN|4AART|7ASPD|8DMSP|9BELT|aRCR
38	23332 51562	   	166.41	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|357VULN|4AART|6ASPD|8DMSP|9BELT|aRCR
39	23332 25254	   	166.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|35VULN|4AART|6FEWX|7BEXP|8CGEN|9RCR|aDMG
40	23332 26254	   	166.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|35VULN|4AART|6FEWX|7LWND|8CGEN|9RCR|aDMG
41	23332 25154	   	166.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|35VULN|4AART|6FEWX|7BEXP|8ERES|9RCR|aDMG
42	23332 26154	   	166.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|35VULN|4AART|6FEWX|7LWND|8ERES|9RCR|aDMG
