0	Index      	 *	Score 	Summary	Detail	
1	24231 23574	 * 	210.58	DCR|3VULN|3DMG|1AART|2CDMG	158DMG|2MBVNT|3BELT|4AART|58BPWR|68CDMG|78aVULN|9RCR
2	22431 36153	 * 	198.18	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	129DMG|3CDMG|4RCR|5DUR|6aVULN|7AIRHEL|8AART
3	22431 32266	 * 	197.58	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67aVULN|8DUST|9AART
4	32621 13523	   	195.92	ACR|3VULN|2DMG|1AART|2DUR	1RCVC|2RCR|37DMG|4NUKE|57DUR|6AART|7BPWR|89aVULN
5	22431 32634	 * 	195.84	ACR|3VULN|3DMG|2CDMG|1DUR	128DMG|39CDMG|4RCR|5DUR|67aVULN
6	24231 23571	   	194.93	DCR|3DMG|2VULN|1AART|2CDMG	158DMG|2MBVNT|3BELT|4AART|58BPWR|68CDMG|78VULN|9RCR|aBEXP
7	24231 23572	   	194.93	DCR|3DMG|2VULN|1AART|2CDMG	158DMG|2MBVNT|3BELT|4AART|58BPWR|68CDMG|78VULN|9RCR|aFEWX
8	24231 23573	   	194.93	DCR|3DMG|2VULN|1AART|2CDMG	158DMG|2MBVNT|3BELT|4AART|58BPWR|68CDMG|78VULN|9RCR|aLWND
9	26542 32321	 * 	194.62	DCR|3VULN|3DMG|3CDMG	139DMG|239CDMG|39BPWR|4CGEN|5ERES|69aVULN|7RCR|8NUKE
10	32651 32633	   	194.33	ACR|3VULN|3DMG|1CDMG|1DUR	1RCVC|2RCR|38aDMG|4CDMG|5DUR|679VULN
11	22435 15121	 * 	193.31	ACR|3DMG|2VULN|3ASPD|2CDMG	128DMG|3aCDMG|4RCR|5LIT|6aVULN|79aASPD|aBPWR
12	25343 22316	 * 	192.95	DCR|4VULN|2DMG|2ASPD|2DUR	18DMG|289aVULN|3BEXP|46DUR|58ASPD|7RCR|8BPWR
13	21522 11166	   	192.56	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	17DMG|2CGEN|3AART|4RCR|5ASPD|6aVULN|8DUR|9CDMG
14	26531 36321	 * 	192.44	ACR|3DMG|3CDMG|1AART|1VULN|1DUR	138DMG|238CDMG|38BPWR|4RCR|5DUR|6VULN|78AIRHEL|9AART|aTLV
15	26531 36322	   	192.44	ACR|3DMG|3CDMG|1AART|1VULN|1DUR	138DMG|238CDMG|38BPWR|4RCR|5DUR|6VULN|78AIRHEL|9AART|aLEGI
16	24222 82344	 * 	192.31	DCR|3VULN|3DMG|3ZMB	18aDMG|2MBVNT|3BELT|48aVULN|5TLV|6BEXP|78aZMB|8aBPWR|9RCR
17	32621 13524	   	191.27	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1RCVC|2RCR|37DMG|4NUKE|57DUR|6AART|7BPWR|89VULN|aZMB
18	22116 15422	   	190.70	DCR|3DMG|2VULN|1AART|2DUR	129DMG|3aTLV|4LIT|5aDUR|6AART|7RCR|8aVULN|aBPWR
19	32321 35541	   	190.03	ACR|3DMG|2VULN|1AART|1DUR	1RCVC|2RCR|39ERES|49aDMG|5DUR|6LIT|7AART|89VULN|9BPWR
20	21526 31316	   	189.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	15DMG|2CGEN|3AART|4RCR|6aVULN|7LWND|8CDMG|9ZMB
21	21526 33316	   	189.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	15DMG|2CGEN|3AART|4RCR|6aVULN|7LHND|8CDMG|9ZMB
22	26531 32261	 * 	188.33	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8DUST|9AART|aRCVC
23	26531 32262	   	188.33	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8DUST|9AART|aLWND
24	26531 32263	   	188.33	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8DUST|9AART|aBEXP
25	32611 34313	 * 	187.94	ACR|4VULN|3DMG	19RCVC|2RCR|357DMG|478aVULN|6BELT|7BPWR
26	26531 15233	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6CGEN|79VULN|8BEXP|aAART
27	26531 31233	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|69VULN|7CGEN|8BEXP|aAART
28	26531 32533	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8BEXP|9CGEN|aAART
29	26531 35233	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|69VULN|7FEWX|8CGEN|aAART
30	26531 52233	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6FEWX|79VULN|8CGEN|aAART
31	26534 33233	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5BEXP|69VULN|7DUR|8CGEN|aAART
32	21526 34111	   	187.83	ACR|3DMG|2VULN|1AART|1DUR	15aDMG|2CGEN|3AART|4RCR|6aVULN|7MLV|8DUR|9aLHND|aBPWR
33	21526 34131	   	187.83	ACR|3DMG|2VULN|1AART|1DUR	15aDMG|2CGEN|3AART|4RCR|6aVULN|7MLV|8DUR|9aBEXP|aBPWR
34	26531 22132	   	187.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6LWND|79VULN|8ERES|aAART
35	26531 32253	   	187.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8DUST|9CGEN|aAART
36	26531 32353	   	187.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8NUKE|9LWND|aAART
37	26531 62233	   	187.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6DUST|79VULN|8CGEN|aAART
38	26531 32233	   	187.63	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|8DUST|9TLV|aAART
39	22431 36152	   	187.53	ACR|3DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	129DMG|3CDMG|4RCR|5DUR|6VULN|7AIRHEL|8AART|aASPD
40	21522 11623	   	187.53	ACR|3VULN|2DMG|1AART|1ASPD	17DMG|2CGEN|3AART|4RCR|5ASPD|69aVULN|8TLV
41	32611 34342	   	187.49	ACR|3VULN|3DMG|1CDMG	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9CDMG|aLWND
42	32611 34343	   	187.49	ACR|3VULN|3DMG|1CDMG	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9CDMG|aFEWX
43	21523 32513	 * 	187.48	ACR|2AART|2VULN|2DMG|1ZMB	18DMG|2CGEN|35AART|4RCR|6aVULN|7RMIN|9ZMB
44	21523 34513	   	187.48	ACR|2AART|2VULN|2DMG|1ZMB	18DMG|2CGEN|35AART|4RCR|6aVULN|7MLV|9ZMB
45	32611 12633	   	187.39	ACR|3VULN|3DMG|1CDMG	1RCVC|2RCR|35aDMG|479VULN|6BEXP|8CDMG
46	32611 34341	   	187.39	ACR|3VULN|3DMG|1CDMG	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9CDMG|aDUST
47	26531 32612	   	187.22	ACR|3DMG|2VULN|2CDMG|1DUR|1ASPD	138DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|9FEWX|aASPD
48	22431 33266	   	187.22	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	12DMG|3CDMG|4RCR|57DUR|6aVULN|8DUST|9AART
49	26531 32622	   	187.12	ACR|3DMG|2VULN|2CDMG|1ASPD|1DUR	138DMG|23CDMG|3BPWR|4RCR|5DUR|67VULN|9LEGI|aASPD
50	23211 34452	   	186.92	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2LHND|38FEWX|4CDMG|5CGEN|68aVULN|7AART|8BPWR|9RCR
51	23311 34452	   	186.92	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2LHND|38BEXP|4CDMG|5CGEN|68aVULN|7AART|8BPWR|9RCR
52	24311 35512	   	186.82	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2MBVNT|38FEWX|4CDMG|5CGEN|68aVULN|7AART|8BPWR|9RCR
53	26633 13133	   	186.78	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	18DMG|28CDMG|3ZMB|4MLV|5BELT|6AART|78VULN|8BPWR|9LIT|aRCR
54	22663 16123	   	186.61	DCR|3VULN|2DMG|1AART|1ASPD	12DMG|3ASPD|4AART|5DMSP|69aVULN|7RCR|8LHND
55	22163 26316	   	186.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	12DMG|3TLV|4AART|5RCR|6BEXP|7aVULN|8CDMG|9ZMB
56	22311 25344	   	186.51	DCR|3DMG|2VULN|1AART|1DUR	125DMG|3DUST|4aVULN|6RCR|7LIT|8AART|9DUR
57	26531 36313	 * 	186.33	ACR|3DMG|2VULN|3CDMG|1DUR	138DMG|238CDMG|38BPWR|4RCR|5DUR|6aVULN|78AIRHEL|9DMSP
58	26531 32631	   	186.33	ACR|3DMG|2VULN|3CDMG|1DUR	138DMG|239CDMG|3BPWR|4RCR|5DUR|67VULN|aRMIN
59	26531 32632	   	186.33	ACR|3DMG|2VULN|3CDMG|1DUR	138DMG|239CDMG|3BPWR|4RCR|5DUR|67VULN|aCGEN
