0	Index      	 *	Score 	Summary	Detail	
1	14223 23527	 * 	193.67	DCR|4VULN|2DMG|1AART	1RCVC|278aVULN|3AART|47BEXP|57DMG|6MBVNT|7BPWR|9RCR
2	12215 24135	 * 	191.61	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCVC|2RPLT|3AART|45DMG|6RCR|7ASPD|8CDMG|9aVULN
3	66315 11442	 * 	191.57	DCR|4VULN|2DMG|2CDMG|1DUR	149aVULN|29CDMG|3DUR|5MBVNT|6LHND|79DMG|8RCR|9BPWR
4	14223 23172	 * 	188.17	DCR|3DMG|2VULN|1AART|1ZMB	1RCVC|27VULN|3AART|47BEXP|578DMG|6MBVNT|7BPWR|9ZMB|aRCR
5	14215 23324	 * 	187.77	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|278VULN|3AART|47ASPD|57DUR|6MBVNT|7BPWR|9RCR|aDMG
6	12215 22363	   	186.67	DCR|3DMG|2VULN|1AART	1RCVC|2RPLT|3AART|459DMG|6RCR|7aVULN|8MLV
7	12215 22563	   	186.57	DCR|3DMG|2VULN|1AART	1RCVC|2RPLT|3AART|459DMG|6RCR|7aVULN|8ERES
8	14223 23525	   	186.51	DCR|3VULN|2DMG|1AART|1ASPD	1RCVC|278VULN|3AART|47BEXP|57DMG|6MBVNT|7BPWR|9RCR|aASPD
9	14223 23421	   	186.51	DCR|3VULN|2DMG|1AART|1DUR	1RCVC|27aVULN|3AART|47BEXP|57DMG|6MBVNT|7BPWR|8DUR|9RCR
10	33162 52262	 * 	184.67	DCR|3VULN|3ZMB|1AART|1DMG	128ZMB|3BEXP|48LIT|578VULN|6AART|8BPWR|9RCR|aDMG
11	36112 52262	   	184.67	DCR|3VULN|3ZMB|1AART|1DMG	138ZMB|2LIT|48FEWX|578VULN|6AART|8BPWR|9RCR|aDMG
12	12215 21136	   	184.57	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2RPLT|3AART|45DMG|6RCR|7TLV|8CDMG|9aVULN
