0	Index      	 *	Score 	Summary	Detail	
1	32311 33352	 * 	205.44	DCR|5VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3DUST|48DUR|5789aVULN|6RCR|8BPWR
2	32241 31431	 * 	199.72	DCR|2AART|2VULN|2DMG|2CDMG	1aAART|29CDMG|39VULN|4RMIN|5MBVNT|6RCR|79DMG|8RPLT|9BPWR
3	32311 33355	   	199.55	DCR|4VULN|1AART|2CDMG|2DUR|1ASPD	1AART|28CDMG|3DUST|48DUR|5789VULN|6RCR|8BPWR|aASPD
4	32241 31436	   	199.28	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|29CDMG|39VULN|4RMIN|5MBVNT|6RCR|79DMG|8RPLT|9BPWR|aZMB
5	32311 33356	 * 	198.65	DCR|4VULN|1AART|3CDMG|2DUR	1AART|28aCDMG|3DUST|48DUR|5789VULN|6RCR|8BPWR
6	32241 61431	   	197.32	DCR|2AART|2VULN|2DMG|2CDMG	1aAART|29CDMG|39VULN|4RMIN|5MBVNT|69DMG|7RCR|8RPLT|9BPWR
7	32241 61436	   	196.88	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|29CDMG|39VULN|4RMIN|5MBVNT|69DMG|7RCR|8RPLT|9BPWR|aZMB
8	32245 53312	 * 	196.23	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|28CDMG|3aVULN|49RMIN|5RCR|68DMG|78DUR|8BPWR
9	32532 12424	 * 	195.37	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3ERES|46aVULN|5ZMB|7RCR|8DMG|9DUR
10	32241 31434	   	195.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|29CDMG|39VULN|4RMIN|5MBVNT|6RCR|79DMG|8RPLT|9BPWR|aDUR
11	32111 31352	   	194.92	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3LHND|48DUR|589aVULN|6RCR|7RCVC|8BPWR
12	32311 35352	   	194.82	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3DUST|48DUR|589aVULN|6RCR|7RCVC|8BPWR
13	35432 33331	 * 	194.32	ACR|3DMG|2VULN|1AART|2DUR	1AART|27aDMG|3aCGEN|4RCR|57LSRHEA|67DUR|7aBPWR|8aVULN|9RMIN
14	32431 31862	 * 	193.83	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3TLV|489aVULN|5MBVNT|6RCR|7DMG
15	31111 51641	 * 	193.43	ACR|3DMG|2AART|2VULN	12AART|3aMLV|4RCR|5DMSP|6BASHEA|7aVULN|89aDMG|aBPWR
16	32661 33351	 * 	193.38	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1AART|28CDMG|3DUR|478LWND|58aVULN|6RCR|8BPWR|9DMG
17	32311 31361	 * 	193.33	DCR|3VULN|1AART|2CDMG|3DUR|1ZMB	1AART|28CDMG|3DUST|478DUR|58aVULN|6RCR|8BPWR|9ZMB
