0	Index      	 *	Score 	Summary	Detail	
1	53211 12434	 * 	307.16	DCR|2TLV|2LIT|1VULN|3DUR|1MLV|1ASPD	19LIT|2VULN|379DUR|4ASPD|5BBNT|6MLV|89TLV|9BPWR|aRCR
2	24351 21126	 * 	305.19	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2LIT|3FLTHEA|45TLV|6aRCR|7VULN|8LWND|9AART
3	53631 41133	 * 	297.25	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9MLV|aRPLT
4	53631 41233	   	297.25	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9MLV|aRPLT
5	53631 41123	   	295.52	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9ASPD|aRPLT
6	53631 41223	   	295.52	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9ASPD|aRPLT
7	53632 33216	 * 	291.84	DCR|5VULN|2LIT|1TLV	14LIT|23479VULN|4BPWR|5LWND|6TLV|8FEWX|aRCR
8	33612 43611	   	291.36	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	1CDMG|2VULN|3aDUR|4aTLV|5LHND|6aLIT|7MLV|8RCR|9ZMB|aBPWR
9	33613 43611	   	291.36	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	1CDMG|2VULN|3aDUR|4aTLV|5LWND|6aLIT|7MLV|8RCR|9ZMB|aBPWR
10	53631 41132	   	288.94	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9MLV|aLHND
11	53631 41232	   	288.94	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9MLV|aLHND
12	53631 41332	   	288.94	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8aLHND|9MLV
13	53631 41131	   	288.84	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9MLV|aERES
14	53631 41231	   	288.84	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9MLV|aERES
15	53631 41331	   	288.84	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LHND|9MLV|aERES
16	53631 41333	   	288.84	DCR|3VULN|3LIT|1TLV|1MLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LHND|9MLV|aMULARM
17	23121 51266	   	287.24	DCR|2VULN|2LIT|1TLV|2CDMG|1RPLT	1TBNT|2BBNT|3RPLT|49LIT|5CGEN|69CDMG|7RCR|89VULN|9BPWR|aTLV
18	53631 41122	   	287.22	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9ASPD|aLHND
19	53631 41222	   	287.22	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9ASPD|aLHND
20	53631 41322	   	287.22	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8aLHND|9ASPD
21	53631 41121	   	287.12	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9ASPD|aERES
22	53631 41221	   	287.12	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9ASPD|aERES
23	53631 41321	   	287.12	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8LHND|9ASPD|aERES
24	53631 41323	   	287.12	DCR|3VULN|3LIT|1TLV|1ASPD	145LIT|234VULN|4BPWR|6RCR|7TLV|8LHND|9ASPD|aBLASTR
25	53632 35231	   	284.81	DCR|3VULN|2LIT|1TLV|1MLV|1ASPD	14LIT|234VULN|4BPWR|5LWND|6TLV|7ASPD|8RCR|9MLV|aRMIN
26	53632 35232	   	284.81	DCR|3VULN|2LIT|1TLV|1MLV|1ASPD	14LIT|234VULN|4BPWR|5LWND|6TLV|7ASPD|8RCR|9MLV|aZMB
27	53632 35233	   	284.81	DCR|3VULN|2LIT|1TLV|1MLV|1ASPD	14LIT|234VULN|4BPWR|5LWND|6TLV|7ASPD|8RCR|9MLV|aFEWX
28	53631 41111	   	283.23	DCR|3VULN|3LIT|1TLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8BEXP|9FEWX|aDUR
29	53631 41211	   	283.23	DCR|3VULN|3LIT|1TLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LWND|9FEWX|aDUR
30	53631 41311	   	283.23	DCR|3VULN|3LIT|1TLV	145LIT|234VULN|4BPWR|6RCR|7TLV|8LHND|9FEWX|aDUR
