0	Index      	 *	Score 	Summary	Detail	
1	33616 11233	 * 	313.48	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1BEXP|2LWND|3CDMG|4VULN|5MLV|6RPLT|79RCR|8aTLV
2	33464 41133	   	305.07	DCR|DCR|2TLV|1VULN|1MLV|1ASPD	1BEXP|2LWND|3ASPD|4MBVNT|5VULN|6aTLV|79RCR|8MLV
3	36464 41133	   	304.97	DCR|DCR|2TLV|1VULN|1MLV|1ASPD	1BEXP|2DUST|3ASPD|4MBVNT|5VULN|6aTLV|79RCR|8MLV
4	41253 42123	 * 	302.62	DCR|3VULN|3LIT|2TLV	1AART|27TLV|358LIT|457ZMB|57BPWR|67aVULN|9RCR
5	53211 33334	 * 	295.49	DCR|DCR|2VULN|1TLV|1MLV	1TBNT|2MLV|38VULN|4DUR|5FEWX|6aRCR|7TLV|9MDPS
6	33126 21125	 * 	295.48	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1BEXP|2LWND|39RCR|4aVULN|5DMG|6LIT|7MLV|8TLV
7	33154 21125	   	295.48	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1BEXP|2LWND|39RCR|4DMG|5aVULN|6LIT|7MLV|8TLV
8	13126 21125	   	295.38	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1DUST|2LWND|39RCR|4aVULN|5DMG|6LIT|7MLV|8TLV
9	13154 21125	   	295.38	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1DUST|2LWND|39RCR|4DMG|5aVULN|6LIT|7MLV|8TLV
10	36126 21125	   	295.38	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1BEXP|2DUST|39RCR|4aVULN|5DMG|6LIT|7MLV|8TLV
11	33122 21125	   	289.07	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1ASPD	1BEXP|2LWND|39RCR|4aVULN|5ASPD|6LIT|7MLV|8TLV
12	13122 21125	   	288.97	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1ASPD	1DUST|2LWND|39RCR|4aVULN|5ASPD|6LIT|7MLV|8TLV
13	36122 21125	   	288.97	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1ASPD	1BEXP|2DUST|39RCR|4aVULN|5ASPD|6LIT|7MLV|8TLV
14	53314 43211	 * 	287.05	DCR|5VULN|2MLV|1TLV|1ASPD	1TBNT|26MLV|3TLV|4ASPD|5679aVULN|6BPWR|8RCR
15	33126 21126	 * 	286.87	ACR|DCR|2DMG|1TLV|1LIT|1VULN|1MLV	1BEXP|2LWND|39RCR|4VULN|5aDMG|6LIT|7MLV|8TLV
16	33154 21126	   	286.87	ACR|DCR|2DMG|1TLV|1LIT|1VULN|1MLV	1BEXP|2LWND|39RCR|4aDMG|5VULN|6LIT|7MLV|8TLV
17	13126 21126	   	286.77	ACR|DCR|2DMG|1TLV|1LIT|1VULN|1MLV	1DUST|2LWND|39RCR|4VULN|5aDMG|6LIT|7MLV|8TLV
18	13154 21126	   	286.77	ACR|DCR|2DMG|1TLV|1LIT|1VULN|1MLV	1DUST|2LWND|39RCR|4aDMG|5VULN|6LIT|7MLV|8TLV
19	36126 21126	   	286.77	ACR|DCR|2DMG|1TLV|1LIT|1VULN|1MLV	1BEXP|2DUST|39RCR|4VULN|5aDMG|6LIT|7MLV|8TLV
20	53141 33334	   	285.83	DCR|DCR|2VULN|1TLV|1MLV	1TBNT|2MLV|3BEXP|48VULN|5FEWX|6aRCR|7TLV|9MDPS
21	53231 33334	   	285.83	DCR|DCR|2VULN|1TLV|1MLV	1TBNT|2MLV|38VULN|4BEXP|5FEWX|6aRCR|7TLV|9MDPS
22	33616 11231	   	285.78	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1BEXP|2LWND|3CDMG|4VULN|5MLV|6RPLT|79RCR|8TLV|aDUR
23	41251 35122	 * 	283.55	DCR|3TLV|3LIT|2MLV	1AART|279TLV|389LIT|4ZMB|5BEXP|69MLV|9BPWR|aRCR
