0	Index      	 *	Score 	Summary	Detail	
1	63631 51313	 * 	311.46	DCR|3LIT|3MLV|2TLV|1VULN	157MLV|2BEXP|37aLIT|47TLV|6RPLT|7BPWR|8VULN|9RCR
2	62331 61322	 * 	304.92	DCR|3MLV|2VULN|2TLV|1LIT|1ASPD	12aMLV|2aBPWR|3FEWX|4aVULN|5LIT|6ASPD|7aTLV|8RMIN|9RCR
3	23226 14121	 * 	301.09	DCR|DCR|2TLV|1LIT|1VULN	1DUR|2VULN|3CGEN|4LHND|58TLV|6ZMB|79RCR|aLIT
4	23326 24121	   	301.09	DCR|DCR|2TLV|1LIT|1VULN	1DUR|2VULN|3AAC|4LHND|58TLV|6CGEN|79RCR|aLIT
5	23315 54121	   	300.99	DCR|DCR|2TLV|1LIT|1VULN	1DUR|2VULN|3AAC|4ERES|5FEWX|68TLV|79RCR|aLIT
6	23326 64121	   	300.99	DCR|DCR|2TLV|1LIT|1VULN	1DUR|2VULN|3AAC|4LHND|58TLV|6ERES|79RCR|aLIT
7	23335 54121	   	300.99	DCR|DCR|2TLV|1LIT|1VULN	1DUR|2VULN|3AAC|4AME|5FEWX|68TLV|79RCR|aLIT
8	63631 51312	   	293.68	DCR|3MLV|2TLV|2LIT|1VULN	157MLV|2BEXP|37LIT|47TLV|6RPLT|7BPWR|8VULN|9RCR|aLHND
9	13315 54121	   	291.33	DCR|DCR|2TLV|1LIT|1VULN	1LWND|2VULN|3AAC|4ERES|5FEWX|68TLV|79RCR|aLIT
10	13335 54121	   	291.33	DCR|DCR|2TLV|1LIT|1VULN	1LWND|2VULN|3AAC|4AME|5FEWX|68TLV|79RCR|aLIT
11	41231 21254	 * 	289.36	DCR|3TLV|2LIT|2MLV|1VULN	1NUKE|2RMIN|3aMLV|4VULN|5aLIT|67aTLV|8RCR|9DLOT|aBPWR
12	23226 14621	   	288.32	DCR|DCR|1TLV|1LIT|1VULN|2DUR	18DUR|2VULN|3CGEN|4LHND|5TLV|6ZMB|79RCR|aLIT
13	23326 24621	   	288.32	DCR|DCR|1TLV|1LIT|1VULN|2DUR	18DUR|2VULN|3AAC|4LHND|5TLV|6CGEN|79RCR|aLIT
14	32361 16114	   	287.40	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2LIT|3MDPS|4AAC|5AART|6TLV|7aRCR|8RPLT|9VULN
15	32621 16114	   	287.40	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2LIT|3ZMB|4MDPS|5AART|6TLV|7aRCR|8RPLT|9VULN
16	45631 21322	 * 	286.18	DCR|2VULN|2TLV|2LIT|1MLV	1NUKE|2aVULN|3aLIT|46TLV|5MLV|7aDUST|8RMIN|9RCR|aBPWR
