0	Index      	 *	Score 	Summary	Detail	
1	12521 63221	 * 	299.55	DCR|DCR|1TLV|2DMG|1VULN|1CDMG	1ERES|27DMG|3SNITOX|4DUR|5VULN|6CDMG|89RCR|aTLV
2	45222 32123	 * 	283.49	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	18LIT|2MLV|38ZMB|4MDPS|58TLV|6RCR|7BBNT|8BPWR|9ASPD|aVULN
3	12521 36221	   	281.97	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1ERES|2DMG|3SNITOX|4DUR|5VULN|6RCVC|7CDMG|89RCR|aTLV
4	12526 26221	   	281.97	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1ERES|2DMG|3SNITOX|4DUR|5DMSP|6VULN|7CDMG|89RCR|aTLV
5	32441 33315	 * 	280.55	ACR|DCR|2TLV|2LIT|1MLV	1TBNT|29BEXP|39LIT|47RCR|5AAC|69TLV|8RMIN|9BPWR|aMLV
6	33441 33315	   	280.35	ACR|DCR|2TLV|2LIT|1MLV	1TBNT|29DUST|39LIT|47RCR|5AAC|69TLV|8RMIN|9BPWR|aMLV
7	42341 33315	   	280.35	ACR|DCR|2TLV|2LIT|1MLV	19LIT|2TBNT|39DUST|47RCR|5AAC|69TLV|8RMIN|9BPWR|aMLV
8	43222 31132	 * 	270.68	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2ERES|3ZMB|4MDPS|5TLV|6aRCR|7AAC|8VULN|9BELT
9	45222 32132	   	269.84	DCR|2TLV|2LIT|1VULN|1MLV	18LIT|2MLV|38ZMB|4MDPS|58TLV|6RCR|7BBNT|8BPWR|9RCVC|aVULN
10	45222 32163	   	269.84	DCR|2TLV|2LIT|1VULN|1MLV	18LIT|2MLV|38ZMB|4MDPS|58TLV|6RCR|7BBNT|8BPWR|9AAC|aVULN
11	45322 23531	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	17LIT|2MLV|3RMIN|4MDPS|57TLV|67DUST|7BPWR|8VULN|9DUR|aRCR
