0	Index      	 *	Score 	Summary	Detail	
1	61224 32261	 * 	256.91	DCR|DCR|2MLV|2DUR|1ASPD|1AART	12DUR|3ASPD|4AART|5AAC|69RCR|7RMIN|8aMLV
2	65323 32161	 * 	254.61	DCR|DCR|1DMG|1MLV|1ASPD|1AART	1DUR|23ERES|4AART|5DMG|69RCR|7RMIN|8ASPD|aMLV
3	52121 42352	 * 	253.42	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1FEWX|2AART|3ASPD|4RPLT|5SPLJET|6TLV|7aRCR|8TBNT|9VULN
4	11323 13115	   	251.82	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5DUR|6CGEN|7VULN|8CDMG|9aRCR
5	11323 23315	   	251.82	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5DUR|6CDMG|7RMIN|8VULN|9aRCR
6	11324 42115	   	251.82	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5RMIN|6VULN|7DUR|8CDMG|9aRCR
7	11322 42115	   	251.72	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5ERES|6VULN|7DUR|8CDMG|9aRCR
8	13113 33115	   	251.72	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2ERES|3BBNT|4DUR|5VULN|6LSRREG|7AART|8CDMG|9aRCR
9	16113 33115	   	251.72	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2BBNT|3AME|4DUR|5VULN|6LSRREG|7AART|8CDMG|9aRCR
10	22123 42315	 * 	250.27	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6FRZICY|7TBNT|8VULN|9aRCR
11	22123 43315	   	250.27	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6FRZICY|7BBNT|8VULN|9aRCR
12	22123 22315	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6SPLARM|7TBNT|8VULN|9aRCR
13	22123 23315	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6SPLARM|7BBNT|8VULN|9aRCR
14	22123 52315	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6BLASTR|7TBNT|8VULN|9aRCR
15	22123 53315	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6BLASTR|7BBNT|8VULN|9aRCR
16	22125 21315	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5VULN|6SPLREG|7DMG|8BBNT|9aRCR
17	22123 33425	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|23BEXP|4AART|5DMG|6aRCR|7BBNT|8VULN|9TSLARM
18	22443 21315	   	250.17	DCR|DCR|1VULN|1DMG|1AART	15CGEN|2BEXP|3VULN|4AART|6SPLREG|7DMG|8BBNT|9aRCR
19	21443 21315	   	250.07	DCR|DCR|1VULN|1DMG|1AART	15CGEN|2DUST|3VULN|4AART|6SPLREG|7DMG|8BBNT|9aRCR
20	65323 32162	 * 	249.53	DCR|DCR|2ASPD|1DMG|1AART	1DUR|23ERES|4AART|5DMG|69RCR|7RMIN|8aASPD
21	61224 32262	 * 	249.07	DCR|DCR|2AART|1MLV|2DUR|1ASPD	12DUR|3ASPD|4aAART|5AAC|69RCR|7RMIN|8MLV
22	11634 21323	 * 	246.02	DCR|DCR|2DMG|1ASPD|1RPLT|1SELL	1SELL|2SPLJET|3AME|48DMG|5RPLT|6ASPD|7aRCR|9MDPS
23	22121 42315	   	243.86	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6FRZICY|7TBNT|8VULN|9aRCR
24	22121 43315	   	243.86	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6FRZICY|7BBNT|8VULN|9aRCR
25	22121 22315	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6SPLARM|7TBNT|8VULN|9aRCR
26	22121 23315	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6SPLARM|7BBNT|8VULN|9aRCR
27	22121 33425	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6aRCR|7BBNT|8VULN|9TSLARM
28	22121 52315	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6BLASTR|7TBNT|8VULN|9aRCR
29	22121 53315	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|23BEXP|4AART|5ASPD|6BLASTR|7BBNT|8VULN|9aRCR
30	24621 22315	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|2RCVC|3FEWX|4AART|5ASPD|6SPLARM|7TBNT|8VULN|9aRCR
31	24621 23315	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|2RCVC|3FEWX|4AART|5ASPD|6SPLARM|7BBNT|8VULN|9aRCR
32	21242 22515	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	16CGEN|2DUST|3BASHEA|4ASPD|5BBNT|7AART|8VULN|9aRCR
33	52143 22315	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1FEWX|2AART|3ASPD|4AME|5RCVC|6SPLARM|7TBNT|8VULN|9aRCR
34	52143 23315	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1FEWX|2AART|3ASPD|4AME|5RCVC|6SPLARM|7BBNT|8VULN|9aRCR
35	55321 22315	   	243.56	DCR|DCR|1VULN|1ASPD|1AART	1FEWX|23ERES|4AART|5ASPD|6SPLARM|7TBNT|8VULN|9aRCR
36	55321 23315	   	243.56	DCR|DCR|1VULN|1ASPD|1AART	1FEWX|23ERES|4AART|5ASPD|6SPLARM|7BBNT|8VULN|9aRCR
37	11331 53115	   	243.52	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4CGEN|5AART|6LHND|7VULN|8CDMG|9aRCR
38	12133 13115	   	243.52	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2FEWX|3AART|4TBNT|5AIRARM|6CGEN|7VULN|8CDMG|9aRCR
39	12133 23315	   	243.52	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2FEWX|3AART|4TBNT|5AIRARM|6CDMG|7RMIN|8VULN|9aRCR
40	11321 13115	   	243.42	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5DUST|6CGEN|7VULN|8CDMG|9aRCR
41	11321 23515	   	243.42	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5DUST|6CDMG|7RMIN|8VULN|9aRCR
42	11324 43115	   	243.42	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5RMIN|6VULN|7DUST|8CDMG|9aRCR
43	11331 44115	   	243.42	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4CGEN|5AART|6VULN|7LEGI|8CDMG|9aRCR
44	11322 43115	   	243.32	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5ERES|6VULN|7DUST|8CDMG|9aRCR
45	11322 44115	   	243.32	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2SPLJET|3TBNT|4AART|5ERES|6VULN|7LEGI|8CDMG|9aRCR
