0	Index      	 *	Score 	Summary	Detail	
1	33422 36623	 * 	274.12	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|2DUST|3DUR|4LIT|5MLV|6RCVC|79RCR|8aVULN
2	45133 81444	 * 	271.99	DCR|DCR|3VULN	1LHND|2MBVNT|35LWND|457VULN|5BPWR|6DLOT|8aRCR|9BBNT
3	55133 81444	   	271.99	DCR|DCR|3VULN	1LWND|2MBVNT|35LHND|457VULN|5BPWR|6DLOT|8aRCR|9BBNT
4	63312 35412	 * 	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART	1ERES|2DMG|3LIT|4VULN|5MLV|6LHND|7aRCR|8AART|9MDPS
5	56336 31444	   	265.96	DCR|DCR|2VULN|1MLV	1LWND|2DLOT|3RMIN|4MBVNT|57VULN|6MLV|8aRCR|9BBNT
6	11616 42313	   	263.28	DCR|DCR|2VULN|2RPLT	1SPLARM|25RPLT|3RCVC|4RMIN|69VULN|7BLAICY|8aRCR
7	45432 81421	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1LHND|2MBVNT|3ASPD|4BBNT|5SELL|68RCR|79VULN|aBEXP
8	45432 81424	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1aLHND|2MBVNT|3ASPD|4BBNT|5SELL|68RCR|79VULN
9	45432 81422	   	261.83	DCR|DCR|2VULN|1ASPD|1SELL	1LHND|2MBVNT|3ASPD|4BBNT|5SELL|68RCR|79VULN|aSPLARM
10	45432 81423	   	261.83	DCR|DCR|2VULN|1ASPD|1SELL|1ZMB	1LHND|2MBVNT|3ASPD|4BBNT|5SELL|68RCR|79VULN|aZMB
11	21131 53323	 * 	258.10	DCR|DCR|2DMG|1VULN	1AELOIC|2CGEN|34DMG|5LIT|69RCR|7BBNT|8RCVC|aVULN
12	11615 42313	   	258.09	DCR|DCR|2VULN|1RPLT	1SPLARM|2RPLT|3RCVC|45RMIN|69VULN|7BLAICY|8aRCR
13	12163 21213	   	257.79	DCR|DCR|2VULN|1RPLT	1SPLARM|23AME|4MGNSTR|5AELOIC|6aRCR|79VULN|8RPLT
14	12163 26313	   	257.79	DCR|DCR|2VULN|1RPLT	1SPLARM|23AME|4MGNSTR|5AELOIC|6aRCR|7RPLT|89VULN
15	12263 21213	   	257.79	DCR|DCR|2VULN|1RPLT	13SPLARM|2AME|4MGNSTR|5AELOIC|6aRCR|79VULN|8RPLT
16	12263 26313	   	257.79	DCR|DCR|2VULN|1RPLT	13SPLARM|2AME|4MGNSTR|5AELOIC|6aRCR|7RPLT|89VULN
17	12264 21213	   	257.79	DCR|DCR|2VULN|1RPLT	13SPLARM|25AME|4MGNSTR|6aRCR|79VULN|8RPLT
18	12264 26313	   	257.79	DCR|DCR|2VULN|1RPLT	13SPLARM|25AME|4MGNSTR|6aRCR|7RPLT|89VULN
19	33423 36623	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2DUST|3DUR|4LIT|5RMIN|6RCVC|79RCR|8aVULN
20	63313 35412	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1ERES|2DMG|3LIT|4VULN|5TLV|6LHND|7aRCR|8AART|9MDPS
21	35313 23531	 * 	249.03	DCR|2VULN|3ASPD|2DMG|3ZMB	159ZMB|2LEGI|345ASPD|5aBPWR|6aVULN|7RCR|8aDMG
22	45433 11461	 * 	247.22	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|7VULN|9DUR|aDMG
23	45433 11421	 * 	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN|aBEXP
24	45433 11424	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1aLHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN
25	45433 11426	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN|aRMIN
26	45433 11427	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN|aCGEN
27	45433 11422	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN|aSPLARM
28	45433 11423	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG|1ZMB	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN|aZMB
29	45433 11425	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	1LHND|2MBVNT|3ASPD|4BBNT|58RCR|6CDMG|79VULN|aDUST
30	33422 36223	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2DUST|3DUR|4LIT|5MLV|6RCVC|79RCR|8LWND|aVULN
31	33423 15623	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2DUST|3DUR|4LIT|5RMIN|6TLV|79RCR|8MLV|aVULN
32	35422 36223	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2LEGI|3DUR|4LIT|5MLV|6RCVC|79RCR|8LWND|aVULN
33	33422 36621	   	245.94	DCR|DCR|1VULN|1MLV|1ZMB|1MSE	1ZMB|2DUST|3DUR|4LIT|5MLV|6RCVC|79RCR|8VULN|aMSE
34	33422 36622	   	245.94	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2DUST|3DUR|4LIT|5MLV|6RCVC|79RCR|8VULN|aMGNSTR
35	33611 41623	   	244.97	ACR|DCR|2VULN|1MLV|2ZMB	13ZMB|2DUST|4MLV|59RCR|6LIT|7DUR|8aVULN
