0	Index      	 *	Score 	Summary	Detail	
1	52135 11241	 * 	291.20	DCR|DCR|2VULN|3MLV	19VULN|24LWND|346MLV|4BPWR|5BEXP|7BBNT|8aRCR
2	51331 52324	 * 	290.67	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG|1ZMB|1SELL	17VULN|2ZMB|3CDMG|4VENTOX|5DMG|6ASPD|8SELL|9aRCR
3	52232 32442	 * 	289.80	DCR|DCR|2VULN|1DMG|1MLV	15VULN|2LWND|3LIT|4DUR|69RCR|7MLV|8BEXP|aDMG
4	52232 33642	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	15VULN|2LWND|3LIT|4DUR|69RCR|7DUST|8MLV|aDMG
5	15163 32312	 * 	284.86	DCR|DCR|3MLV|1VULN|1DMG	1FEWX|235MLV|45ERES|5BPWR|69RCR|7VULN|8BELT|aDMG
6	52511 21241	 * 	283.47	DCR|DCR|3VULN|1MLV	169VULN|2LWND|3MDPS|4MLV|5BEXP|7BBNT|8aRCR
7	52511 21261	   	276.94	DCR|DCR|2VULN|2MLV	16VULN|2LWND|3MDPS|49MLV|5BEXP|7BBNT|8aRCR
8	52232 33542	   	272.07	DCR|DCR|2VULN|1DMG	15VULN|2LWND|3LIT|4DUR|69RCR|7DUST|8ERES|aDMG
9	15563 32312	   	271.00	DCR|DCR|2MLV|1VULN|1DMG	1FEWX|25MLV|345TLV|5BPWR|69RCR|7VULN|8BELT|aDMG
10	53381 33223	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	1aVULN|2CDMG|3MBVNT|4MDPS|57LWND|69RCR|8ASPD
11	56132 36312	   	270.90	DCR|DCR|2MLV|1VULN|1DMG	1VULN|24LHND|34MLV|4BPWR|5MDPS|69RCR|7CGEN|8BELT|aDMG
12	56132 35312	   	270.80	DCR|DCR|2MLV|1VULN|1DMG	1VULN|24LHND|34MLV|4BPWR|5MDPS|69RCR|7AME|8BELT|aDMG
13	51332 52324	   	270.61	DCR|DCR|2VULN|1ASPD|1CDMG|1ZMB|1SELL	17VULN|2ZMB|3CDMG|4VENTOX|5AAC|6ASPD|8SELL|9aRCR
