0	Index      	 *	Score 	Summary	Detail	
1	31123 63275	 * 	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LWND|2FEWX|3CGEN|4VULN|5MLV|6AART|7aRCR|8MBVNT|9DMG
2	31262 33252	   	262.33	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1LWND|24FEWX|3DUR|5DMG|6aRCR|7VULN|8ZMB|9ASPD
3	31222 33252	   	262.23	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1LWND|2FEWX|3DUR|4AELOIC|5DMG|6aRCR|7VULN|8ZMB|9ASPD
4	11223 42632	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4VULN|5ERES|6aRCR|7BEXP|8MLV|9FEWX
5	11232 45612	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4RMIN|5DUST|6aRCR|7VULN|8MLV|9FEWX
6	31124 26361	 * 	256.69	DCR|DCR|2VULN|1ZMB	1LWND|2FEWX|3CGEN|46VULN|5BBNT|79RCR|8ZMB|aDUR
7	31215 33232	 * 	254.71	DCR|DCR|1VULN|2ASPD|1ZMB	1LWND|2FEWX|3DUR|45ASPD|6aRCR|7VULN|8ZMB|9AAC
8	35522 33252	   	253.92	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1LWND|2LHND|3FEWX|4AELOIC|5DMG|6aRCR|7VULN|8ZMB|9ASPD
9	13623 52712	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1AELOIC|2RMIN|3MBVNT|4VULN|5ASPD|6aRCR|7BEXP|8MLV|9FEWX
10	12623 52732	   	251.43	DCR|DCR|1VULN|1MLV|1ASPD	1AELOIC|2ERES|3MBVNT|4VULN|5ASPD|6aRCR|7BEXP|8MLV|9FEWX
11	36116 23141	 * 	250.96	DCR|2VULN|3MLV|1DMG|1CDMG|1AART	19LWND|2DMG|39VULN|489MLV|5AART|6MDPS|7RCR|9BPWR|aCDMG
12	35121 33215	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1LWND|2LHND|3CGEN|4VULN|5AART|6DMG|7aRCR|8MBVNT|9TLV
13	31122 63275	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1LWND|2FEWX|3CGEN|4VULN|5AME|6AART|7aRCR|8MBVNT|9DMG
14	16136 33814	   	248.72	DCR|DCR|1VULN|1DMG	1AELOIC|2TBNT|3DUR|4AAC|5DMG|6MBVNT|7aRCR|8VULN|9LSRICY
15	31262 33232	   	248.67	DCR|DCR|1VULN|1DMG|1ZMB	1LWND|24FEWX|3DUR|5DMG|6aRCR|7VULN|8ZMB|9AAC
16	31222 33232	   	248.57	DCR|DCR|1VULN|1DMG|1ZMB	1LWND|2FEWX|3DUR|4AELOIC|5DMG|6aRCR|7VULN|8ZMB|9AAC
17	55222 33632	   	248.57	DCR|DCR|1VULN|1DMG|1ZMB	1FEWX|2LHND|3DUR|4AELOIC|5DMG|6aRCR|7VULN|8ZMB|9AAC
18	52535 13221	 * 	248.43	DCR|2VULN|2DMG|1MLV|1ASPD|1AART|1RPLT	1FEWX|2MLV|3AART|4RPLT|5ASPD|6aVULN|78DMG|9RCR
19	31124 26362	 * 	248.38	DCR|DCR|2VULN|1ZMB	1LWND|2FEWX|3CGEN|46VULN|5BBNT|79RCR|8ZMB|aLHND
20	31124 26363	 * 	248.28	DCR|DCR|2VULN|1ZMB	1LWND|2FEWX|3CGEN|46VULN|5BBNT|79RCR|8ZMB|aMDPS
