0	Index      	 *	Score 	Summary	Detail	
1	53353 62113	 * 	285.34	DCR|DCR|2VULN|1ASPD|1CDMG|1AART|1ZMB	1LHND|2ASPD|39VULN|4BEXP|5ZMB|67RCR|8AART|aCDMG
2	53353 62111	 * 	280.00	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1LHND|2ASPD|39VULN|4BEXP|5ZMB|67RCR|8AART|aDUR
3	44611 11132	 * 	274.37	DCR|DCR|2VULN|1MLV	1FRZICY|2MLV|39VULN|4TBNT|5MDPS|6DUR|7aRCR|8CGEN
4	53353 62112	   	271.69	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1LHND|2ASPD|39VULN|4BEXP|5ZMB|67RCR|8AART|aLWND
5	53353 62122	   	271.69	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1LHND|2ASPD|3aVULN|4BEXP|5ZMB|67RCR|8AART|9AAC
6	53353 62132	   	271.69	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1LHND|2ASPD|3aVULN|4BEXP|5ZMB|67RCR|8AART|9LIT
7	36363 53321	   	263.38	DCR|DCR|2VULN|2DUR	1FEWX|2TLV|34VULN|5RMIN|6DLOT|7aDUR|89RCR
8	53353 62223	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	19LHND|2ASPD|3aVULN|4BEXP|5ZMB|67RCR|8MDPS
9	12311 61453	   	258.19	DCR|DCR|2VULN|1RPLT	1LIT|2RPLT|37BELT|45VULN|6ERES|8aRCR|9LHND
10	12311 61413	   	258.09	DCR|DCR|2VULN|1RPLT	1LIT|2RPLT|37BELT|45VULN|6ERES|8aRCR|9DUST
11	36363 53323	   	256.83	DCR|DCR|2VULN	1FEWX|2TLV|34VULN|5RMIN|6DLOT|7DUR|89RCR|aAAC
12	36363 53322	   	256.73	DCR|DCR|2VULN	1FEWX|2TLV|34VULN|5RMIN|6DLOT|7DUR|89RCR|aAME
13	65333 31132	   	256.73	DCR|DCR|2VULN	1TLV|2TBNT|3MDPS|49VULN|5DUR|6CANARM|7aRCR|8CGEN
14	65342 11132	   	256.73	DCR|DCR|2VULN	1TLV|2TBNT|3MDPS|4SNIFST|59VULN|6DUR|7aRCR|8CGEN
15	25333 31132	   	256.63	DCR|DCR|2VULN	1ERES|2TBNT|3MDPS|49VULN|5DUR|6CANARM|7aRCR|8CGEN
16	25333 31632	   	256.63	DCR|DCR|2VULN	1ERES|2TBNT|3MDPS|49VULN|5DUR|6CANARM|7aRCR|8TLV
17	25342 11132	   	256.63	DCR|DCR|2VULN	1ERES|2TBNT|3MDPS|4SNIFST|59VULN|6DUR|7aRCR|8CGEN
18	25342 11632	   	256.63	DCR|DCR|2VULN	1ERES|2TBNT|3MDPS|4SNIFST|59VULN|6DUR|7aRCR|8TLV
19	25355 31132	   	256.63	DCR|DCR|2VULN	1ERES|2TBNT|3MDPS|4DUR|59VULN|6CANARM|7aRCR|8CGEN
20	26333 31132	   	256.63	DCR|DCR|2VULN	1ERES|2BBNT|3MDPS|49VULN|5DUR|6CANARM|7aRCR|8CGEN
21	26333 31632	   	256.63	DCR|DCR|2VULN	1ERES|2BBNT|3MDPS|49VULN|5DUR|6CANARM|7aRCR|8TLV
22	26342 11132	   	256.63	DCR|DCR|2VULN	1ERES|2BBNT|3MDPS|4SNIFST|59VULN|6DUR|7aRCR|8CGEN
23	26342 11632	   	256.63	DCR|DCR|2VULN	1ERES|2BBNT|3MDPS|4SNIFST|59VULN|6DUR|7aRCR|8TLV
24	26355 31132	   	256.63	DCR|DCR|2VULN	1ERES|2BBNT|3MDPS|4DUR|59VULN|6CANARM|7aRCR|8CGEN
25	53353 62322	 * 	256.07	DCR|DCR|1VULN|2ASPD|1RPLT|1ZMB	1LHND|29ASPD|3VULN|4BEXP|5ZMB|67RCR|8DMSP|aRPLT
