0	Index      	 *	Score 	Summary	Detail	
1	33113 24416	 * 	301.61	DCR|DCR|3VULN|1DMG	1ERES|2RPLT|3BLASTR|4RCVC|57aVULN|69RCR|8DMG
2	33113 24116	   	295.20	DCR|DCR|3VULN|1ASPD	1ERES|2RPLT|3BLASTR|4RCVC|57aVULN|69RCR|8ASPD
3	33163 24116	   	295.10	DCR|DCR|3VULN|1ASPD	14ERES|2RPLT|3BLASTR|57aVULN|69RCR|8ASPD
4	23462 22261	   	294.28	DCR|DCR|2VULN|1DMG|1MLV|1ZMB	13VULN|2BBNT|3BPWR|4MLV|5DUR|6BEXP|79RCR|8ZMB|aDMG
5	33113 24411	   	286.46	DCR|DCR|2VULN|1DMG	1ERES|2RPLT|3BLASTR|4RCVC|57VULN|69RCR|8DMG|aDUR
6	33163 24411	   	286.36	DCR|DCR|2VULN|1DMG	14ERES|2RPLT|3BLASTR|57VULN|69RCR|8DMG|aDUR
7	23461 22261	   	285.98	DCR|DCR|2VULN|1DMG|1MLV|1ZMB	13VULN|2BBNT|3BPWR|4MLV|5LWND|6BEXP|79RCR|8ZMB|aDMG
8	33113 24413	   	283.35	DCR|DCR|2VULN|1DMG|2RPLT	1ERES|2aRPLT|3BLASTR|4RCVC|57VULN|69RCR|8DMG
9	33163 24413	   	283.25	DCR|DCR|2VULN|1DMG|2RPLT	14ERES|2aRPLT|3BLASTR|57VULN|69RCR|8DMG
10	33113 24616	   	281.55	DCR|DCR|3VULN	1ERES|2RPLT|3BLASTR|4RCVC|57aVULN|69RCR|8AAC
11	21225 13262	 * 	280.78	ACR|DCR|3VULN|1DMG|1MLV	18aVULN|2TLV|3CGEN|49RCR|5DMG|6MLV|7TBNT
12	23422 22266	   	280.15	DCR|DCR|3VULN|1ZMB	13aVULN|2BBNT|3BPWR|4CGEN|5DUR|6BEXP|79RCR|8ZMB
