0	Index      	 *	Score 	Summary	Detail	
1	21342 43362	 * 	286.33	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	14DMG|2SNITOX|3FEWX|5ASPD|6MDPS|7aRCR|8MLV|9VULN
2	21213 61235	 * 	285.72	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2SNITOX|3AAC|46VULN|5DUST|7DUR|89RCR|aCDMG
3	26213 61235	   	285.72	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2SPLARM|3AAC|46VULN|5DUST|7DUR|89RCR|aCDMG
4	24216 63332	   	281.05	DCR|DCR|2VULN|1DMG|1MLV|1ZMB	1DMG|2MDPS|3ZMB|45VULN|6MSLREG|7aRCR|8MLV|9LWND
5	14363 33133	 * 	280.04	ACR|DCR|2VULN|2DMG|1MLV|1RPLT	1aCGEN|29RCR|3RMIN|4aDMG|5RPLT|6MLV|7FEWX|8aVULN|aBPWR
6	14363 36133	   	280.04	ACR|DCR|2VULN|2DMG|1MLV|1RPLT	1aCGEN|29RCR|3RMIN|4aDMG|5RPLT|6MLV|7LHND|8aVULN|aBPWR
7	21213 61234	   	278.62	DCR|DCR|2VULN|1DMG|2DUR	1DMG|2SNITOX|3AAC|46VULN|5DUST|7aDUR|89RCR
8	26213 61234	   	278.62	DCR|DCR|2VULN|1DMG|2DUR	1DMG|2SPLARM|3AAC|46VULN|5DUST|7aDUR|89RCR
9	14363 24133	 * 	277.96	ACR|DCR|2VULN|2MLV|1DMG|1RPLT	1aCGEN|29RCR|3RMIN|4DMG|5RPLT|6LEGI|7aMLV|8aVULN|aBPWR
10	14363 32133	   	277.96	ACR|DCR|2VULN|2MLV|1DMG|1RPLT	1aCGEN|29RCR|3RMIN|4DMG|5RPLT|6aMLV|7LEGI|8aVULN|aBPWR
11	24214 63332	   	272.43	DCR|DCR|2DMG|1VULN|1MLV|1ZMB	15DMG|2MDPS|3ZMB|4VULN|6MSLREG|7aRCR|8MLV|9LWND
12	24212 43352	   	272.43	DCR|DCR|2DMG|1VULN|1MLV|1ZMB	19DMG|2MDPS|3ZMB|4VULN|5BEXP|6SNIFST|7aRCR|8MLV
13	21213 61231	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2SNITOX|3AAC|46VULN|5DUST|7DUR|89RCR|aLIT
14	21213 61233	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2SNITOX|3AAC|46VULN|5DUST|7DUR|89RCR|aBELT
15	21213 61236	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2SNITOX|3AAC|46VULN|5DUST|7DUR|89RCR|aLHND
16	26213 61231	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2SPLARM|3AAC|46VULN|5DUST|7DUR|89RCR|aLIT
17	26213 61233	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2SPLARM|3AAC|46VULN|5DUST|7DUR|89RCR|aBELT
18	26213 61236	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2SPLARM|3AAC|46VULN|5DUST|7DUR|89RCR|aLHND
19	21213 61232	   	271.97	DCR|DCR|2VULN|1DMG|1ZMB	1DMG|2SNITOX|3AAC|46VULN|5DUST|7DUR|89RCR|aZMB
20	26213 61232	   	271.97	DCR|DCR|2VULN|1DMG|1ZMB	1DMG|2SPLARM|3AAC|46VULN|5DUST|7DUR|89RCR|aZMB
21	22161 31562	   	268.89	DCR|DCR|2DMG|1VULN|1ASPD	13DMG|2LHND|4ASPD|5CGEN|6MDPS|7aRCR|8LSRICY|9VULN
