0	Index      	 *	Score 	Summary	Detail	
1	12631 21543	 * 	289.47	DCR|DCR|2VULN|1MLV|1ASPD|1AART	13LIT|2AART|4aVULN|5TLV|6MLV|78RCR|9ASPD
2	11213 22444	 * 	278.06	DCR|DCR|3ASPD|1VULN|1DMG	1LIT|238ASPD|4LHND|5MDPS|69RCR|7DMG|aVULN
3	11223 22444	   	278.06	DCR|DCR|3ASPD|1VULN|1DMG	1LIT|238ASPD|4BEXP|5MDPS|69RCR|7DMG|aVULN
4	11233 22444	   	277.96	DCR|DCR|3ASPD|1VULN|1DMG	1LIT|238ASPD|4LEGI|5MDPS|69RCR|7DMG|aVULN
5	12631 21523	   	275.82	DCR|DCR|2VULN|1MLV|1AART	13LIT|2AART|4aVULN|5TLV|6MLV|78RCR|9CGEN
6	12631 21532	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	13LIT|2AART|4VULN|5TLV|6MLV|78RCR|9BBNT|aDMG
7	16112 56232	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LIT|2VULN|3BEXP|4DMG|5CGEN|6aRCR|7MLV|8AART|9FEWX
8	23436 23361	 * 	264.88	DCR|2VULN|2DMG|2MLV|2CDMG|1ASPD	1RMIN|28DMG|38MLV|4ASPD|56VULN|78CDMG|8BPWR|9RCR|aCGEN
9	23436 23362	   	264.88	DCR|2VULN|2DMG|2MLV|2CDMG|1ASPD	1RMIN|28DMG|38MLV|4ASPD|56VULN|78CDMG|8BPWR|9RCR|aBEXP
10	23436 23363	   	264.88	DCR|2VULN|2DMG|2MLV|2CDMG|1ASPD	1RMIN|28DMG|38MLV|4ASPD|56VULN|78CDMG|8BPWR|9RCR|aBBNT
11	16212 13322	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LIT|2VULN|3RMIN|4RPLT|5TBNT|6aRCR|7CDMG|8DMG|9LWND
12	16212 13352	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LIT|2VULN|3RMIN|4RPLT|5TBNT|6aRCR|7CDMG|8DMG|9LHND
13	23243 63533	   	263.68	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1ZMB	1RMIN|2DMG|3VULN|4BBNT|5ASPD|6aRCR|7RPLT|8ZMB|9LHND
14	23122 62433	   	263.68	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1ZMB	1RMIN|2DMG|3RPLT|4VULN|5BBNT|6ASPD|7ZMB|8aRCR|9LHND
15	23243 12433	   	263.68	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1ZMB	1RMIN|2DMG|3VULN|4BBNT|5ASPD|6RPLT|7ZMB|8aRCR|9LHND
16	23122 62423	   	263.58	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1ZMB	1RMIN|2DMG|3RPLT|4VULN|5BBNT|6ASPD|7ZMB|8aRCR|9LEGI
17	23243 12423	   	263.58	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1ZMB	1RMIN|2DMG|3VULN|4BBNT|5ASPD|6RPLT|7ZMB|8aRCR|9LEGI
18	23243 63523	   	263.58	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1ZMB	1RMIN|2DMG|3VULN|4BBNT|5ASPD|6aRCR|7RPLT|8ZMB|9LEGI
19	12631 21511	 * 	263.35	DCR|DCR|1VULN|2MLV|1AART	13LIT|2AART|4VULN|5TLV|6aMLV|78RCR|9RCVC
20	12631 21561	   	263.35	DCR|DCR|1VULN|2MLV|1AART	13LIT|2AART|4VULN|5TLV|6aMLV|78RCR|9DMSP
21	12631 21541	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	13LIT|2AART|4VULN|5TLV|6MLV|78RCR|9ASPD|aLWND
22	12631 21542	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	13LIT|2AART|4VULN|5TLV|6MLV|78RCR|9ASPD|aLHND
23	12131 21543	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1LIT|2AART|3AME|4ERES|5TLV|6MLV|78RCR|9ASPD|aVULN
24	56122 26332	   	261.15	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1ZMB	1ZMB|2RPLT|3MLV|4VULN|5BBNT|6LIT|7aRCR|8CDMG|9FEWX
25	16112 51422	 * 	260.48	DCR|DCR|1VULN|1DMG|2CDMG	1LIT|2VULN|3BEXP|4DMG|5CGEN|69RCR|7AELOIC|8aCDMG
26	31225 51422	   	259.69	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1DUR|2AAC|3VULN|4MLV|5LIT|69RCR|7AELOIC|8SELL|aCDMG
